Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;BG Name IFH;Actie;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH07;976569;976569;11382505;Van Craesbeeckstraat 11-13-13A-15-15B;Van Craesbeeckstraat 11-13-13A-15-15B;Building Group verwijderen;Van Craesbeeckstraat;13;B;D;2019-12-18 11:00:40;Dave Ruelens;MDU;0;5;2;7;BUILDING template
ANTWERPEN-WEST - FH07;976570;976570;11382505;Van Craesbeeckstraat 11-13-13A-15-15B;Van Craesbeeckstraat 11-13-13A-15-15B;Building Group verwijderen;Van Craesbeeckstraat;15;A;D;2019-10-16 10:50:14;Dave Ruelens;MDU;0;5;2;7;BUILDING template
ANTWERPEN-WEST - FH07;6058494;6058494;11382502;Volkstraat 10-10A;Volkstraat 10-10A;building groep naam in IFH aanpassen;Volkstraat;10;A;XC;2019-11-06 08:00:21;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2061587;2061587;11382502;Volkstraat 10-10A;Volkstraat 10-10A;building groep naam in IFH aanpassen;Volkstraat;10;;XC;2019-11-06 08:00:21;Geert Stockman;MDU;0;8;0;8;BUILDING template
ANTWERPEN-WEST - FH07;976260;976260;11382562;Volkstraat 2-4-6;Volkstraat 2-4-6;building groep naam in IFH aanpassen;Volkstraat;6;;XA;2019-11-06 08:25:13;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;5576383;5576383;11382562;Volkstraat 2-4-6;Volkstraat 2-4-6;building groep naam in IFH aanpassen;Volkstraat;2;;XA;2019-11-06 08:25:13;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;2061581;2061581;11382562;Volkstraat 2-4-6;Volkstraat 2-4-6;building groep naam in IFH aanpassen;Volkstraat;4;;XA;2019-11-06 08:25:13;Geert Stockman;MDU;0;25;1;26;BUILDING template
ANTWERPEN-WEST - FH07;1502910;1502910;11382583;Volkstraat 62-64;Volkstraat 62-64;building groep naam in IFH aanpassen;Volkstraat;62;;XC;2019-12-09 19:10:14;Geert Stockman;MDU;2;10;0;12;BUILDING template
ANTWERPEN-WEST - FH07;2061632;2061632;11382583;Volkstraat 62-64;Volkstraat 62-64;building groep naam in IFH aanpassen;Volkstraat;64;;XC;2019-12-09 19:10:14;Geert Stockman;MDU;1;6;0;7;BUILDING template
ANTWERPEN-WEST - FH07;1989051;1989051;11382481;Willem Lepelstraat 13-15-17;Willem Lepelstraat 13 - 15 - 17;building groep naam in IFH aanpassen;Willem Lepelstraat;15;;XA;2019-11-06 10:35:14;Ryan De Vries;MDU;0;50;2;52;BUILDING template
ANTWERPEN-WEST - FH07;976545;976545;11382481;Willem Lepelstraat 13-15-17;Willem Lepelstraat 13 - 15 - 17;building groep naam in IFH aanpassen;Willem Lepelstraat;13;;XA;2019-11-06 10:35:14;Ryan De Vries;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH07;5575917;5575917;11382481;Willem Lepelstraat 13-15-17;Willem Lepelstraat 13 - 15 - 17;building groep naam in IFH aanpassen;Willem Lepelstraat;17;;XA;2019-11-06 10:35:14;Ryan De Vries;MDU;0;50;2;52;BUILDING template
ANTWERPEN-WEST - FH07;1989061;1989061;11382584;Willem Lepelstraat 18-20;Willem Lepelstraat 18 - 20;Building Group verwijderen;Willem Lepelstraat;18;;D;2019-12-23 13:55:11;Peter Cremers;MDU;1;3;0;4;BUILDING template
ANTWERPEN-WEST - FH07;4517195;4517195;11382584;Willem Lepelstraat 18-20;Willem Lepelstraat 18 - 20;Building Group verwijderen;Willem Lepelstraat;20;;;2019-12-23 13:55:12;Peter Cremers;SDU;0;1;0;1;BUILDING template
ANTWERPEN-WEST - FH07;976546;976546;11382482;Willem Lepelstraat 19-21;Willem Lepelstraat 19 - 21;Building Group verwijderen;Willem Lepelstraat;19;;D;2019-10-28 14:15:27;Peter Cremers;MDU;0;11;1;12;BUILDING template
ANTWERPEN-WEST - FH07;5575918;5575918;11382482;Willem Lepelstraat 19-21;Willem Lepelstraat 19 - 21;Building Group verwijderen;Willem Lepelstraat;21;;D;2019-10-28 14:10:20;Ryan De Vries;MDU;0;11;1;12;BUILDING template
ANTWERPEN-WEST - FH07;6339524;6339524;11382483;Willem Lepelstraat 23-23A-25-25A;Willem Lepelstraat 23 A - 23 B - 25 A - 25 B;Building Group verwijderen;Willem Lepelstraat;23;A;D;2019-10-14 14:30:27;Dave Ruelens;MDU;0;5;1;6;BUILDING template
ANTWERPEN-WEST - FH07;1989079;1989079;11382483;Willem Lepelstraat 23-23A-25-25A;Willem Lepelstraat 23 A - 23 B - 25 A - 25 B;Building Group verwijderen;Willem Lepelstraat;25;A;D;2019-10-16 11:25:14;Dave Ruelens;MDU;0;5;2;7;BUILDING template
ANTWERPEN-WEST - FH07;976540;976540;11382483;Willem Lepelstraat 23-23A-25-25A;Willem Lepelstraat 23 A - 23 B - 25 A - 25 B;Building Group verwijderen;Willem Lepelstraat;23;B;D;2019-10-14 14:30:23;Dave Ruelens;MDU;0;10;0;10;BUILDING template
ANTWERPEN-WEST - FH07;111555;111555;11382483;Willem Lepelstraat 23-23A-25-25A;Willem Lepelstraat 23 A - 23 B - 25 A - 25 B;Building Group verwijderen;Willem Lepelstraat;25;B;;2019-12-23 14:40:13;Peter Cremers;SDU;0;0;0;0;BUILDING template
ANTWERPEN-WEST - FH07;976542;976542;11382480;Willem Lepelstraat 5-7;Willem lepel 5-7;Bg Aanmaken in IFH;Willem Lepelstraat;7;;C;2019-11-05 12:35:14;Ryan De Vries;MDU;0;10;2;12;BUILDING template
ANTWERPEN-WEST - FH07;976541;976541;11382480;Willem Lepelstraat 5-7;Willem lepel 5-7;Bg Aanmaken in IFH;Willem Lepelstraat;5;;C;2019-11-05 12:35:14;Ryan De Vries;MDU;0;10;2;12;BUILDING template
