Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Opdrachttemplate
SINT-NIKLAAS - FH02;3504323;3504323;;;Mercatorstraat;9;;;BUILDING template
SINT-NIKLAAS - FH02;56065;56065;;;Mercatorstraat;147;;;BUILDING template
SINT-NIKLAAS - FH02;3484838;3484838;;;Ankerstraat;63;;;BUILDING template
SINT-NIKLAAS - FH02;3517646;3517646;;;Veldstraat;29;;;BUILDING template
SINT-NIKLAAS - FH02;3500266;3500266;;;Knaptandstraat;26;;;BUILDING template
SINT-NIKLAAS - FH02;3486978;3486978;;;Brugsken;34;;;BUILDING template
SINT-NIKLAAS - FH02;4449124;4449124;;;Mercatorstraat;11;;;BUILDING template
SINT-NIKLAAS - FH02;3504491;3504491;11489710;;Mercatorstraat;151;;20200108074212;BUILDING template
SINT-NIKLAAS - FH02;68477;68477;11489715;Ankerstraat 150_Regentiestraat 77;Regentiestraat;77;;20200108093445;BUILDING template
SINT-NIKLAAS - FH02;3517649;3517649;;;Veldstraat;31;;;BUILDING template
SINT-NIKLAAS - FH02;3500269;3500269;;;Knaptandstraat;28;;;BUILDING template
SINT-NIKLAAS - FH02;3486980;3486980;;;Brugsken;36;;;BUILDING template
SINT-NIKLAAS - FH02;3504327;3504327;;;Mercatorstraat;13;;;BUILDING template
SINT-NIKLAAS - FH02;3484842;3484842;;;Ankerstraat;69;;;BUILDING template
SINT-NIKLAAS - FH02;3517654;3517654;;;Veldstraat;33;;;BUILDING template
SINT-NIKLAAS - FH02;3948699;3948699;;;Knaptandstraat;30;;;BUILDING template
SINT-NIKLAAS - FH02;1513567;1513567;;;Brugsken;38;;;BUILDING template
SINT-NIKLAAS - FH02;56088;56088;;;Mercatorstraat;15;;;BUILDING template
SINT-NIKLAAS - FH02;4447930;4447930;;;Mercatorstraat;155;;;BUILDING template
SINT-NIKLAAS - FH02;3484845;3484845;;;Ankerstraat;71;;;BUILDING template
SINT-NIKLAAS - FH02;4261387;4261387;;;Veldstraat;35;;;BUILDING template
SINT-NIKLAAS - FH02;3500276;3500276;;;Knaptandstraat;32;;;BUILDING template
SINT-NIKLAAS - FH02;3486982;3486982;;;Brugsken;42;;;BUILDING template
SINT-NIKLAAS - FH02;56093;56093;;;Mercatorstraat;17;;;BUILDING template
SINT-NIKLAAS - FH02;3504502;3504502;;;Mercatorstraat;157;;;BUILDING template
SINT-NIKLAAS - FH02;3484846;3484846;;;Ankerstraat;73;;;BUILDING template
SINT-NIKLAAS - FH02;3948832;3948832;;;Veldstraat;37;;;BUILDING template
SINT-NIKLAAS - FH02;3500281;3500281;;;Knaptandstraat;34;;;BUILDING template
SINT-NIKLAAS - FH02;3486983;3486983;;;Brugsken;44;;;BUILDING template
SINT-NIKLAAS - FH02;1449708;1449708;;;Mercatorstraat;21;;;BUILDING template
SINT-NIKLAAS - FH02;3504503;3504503;;;Mercatorstraat;159;;;BUILDING template
SINT-NIKLAAS - FH02;5999565;5999565;;Ankerstraat 150_Regentiestraat 77;Ankerstraat;150;;;BUILDING template
SINT-NIKLAAS - FH02;3517655;3517655;;;Veldstraat;39;;;BUILDING template
SINT-NIKLAAS - FH02;3500286;3500286;;;Knaptandstraat;36;;;BUILDING template
SINT-NIKLAAS - FH02;4466402;4466402;;;Brugsken;46;;;BUILDING template
SINT-NIKLAAS - FH02;4449107;4449107;;;Mercatorstraat;23;;;BUILDING template
