Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Wall Mount;BG Primair adres;Opdrachttemplate
MECHELEN - FH02;3036018;BL0216;3;7092704;3036018;;Hanswijkstraat 4-6-8A-8B-10;Hanswijkstraat;4;;D;2019-03-21 14:51:48;Wim Lambrechts;MDU;3;9;1;13;Y;;BUILDING template
MECHELEN - FH02;4764803;BL0216;3;7092768;4764803;;Hanswijkstraat 4-6-8A-8B-10;Hanswijkstraat;6;;D;2019-03-14;Wim Lambrechts;MDU;0;2;0;2;Y;;BUILDING template
MECHELEN - FH02;6733075;BL0216;3;38099637;6733075;;Hanswijkstraat 4-6-8A-8B-10;Hanswijkstraat;6;1;D;;;MDU;0;1;0;1;Y;;BUILDING template
MECHELEN - FH02;6733076;BL0216;3;38099755;6733076;;Hanswijkstraat 4-6-8A-8B-10;Hanswijkstraat;6;2;D;;;MDU;0;1;0;1;Y;;BUILDING template
MECHELEN - FH02;6733077;BL0216;3;38099813;6733077;;Hanswijkstraat 4-6-8A-8B-10;Hanswijkstraat;6;3;D;;;MDU;0;1;0;1;Y;;BUILDING template
MECHELEN - FH02;5904518;BL0216;3;7092784;5904518;;Hanswijkstraat 4-6-8A-8B-10;Hanswijkstraat;8;A;D;2019-03-21 14:51:46;Wim Lambrechts;MDU;0;1;0;1;Y;;BUILDING template
MECHELEN - FH02;5904519;BL0216;3;7092785;5904519;;Hanswijkstraat 4-6-8A-8B-10;Hanswijkstraat;8;B;D;2019-03-21 14:51:44;Wim Lambrechts;MDU;0;1;0;1;Y;;BUILDING template
MECHELEN - FH02;5839547;BL0216;3;7092783;5839547;;Hanswijkstraat 8C-8D-8E-8F;Hanswijkstraat;8;C;C;2019-03-21 14:51:43;Wim Lambrechts;MDU;0;1;0;1;Y;;BUILDING template
MECHELEN - FH02;6545210;BL0216;3;38103302;6545210;38103749;Hanswijkstraat 8C-8D-8E-8F;Hanswijkstraat;8;D;C;;;MDU;0;1;0;1;N;;BUILDING template
MECHELEN - FH02;6733172;BL0216;3;38103424;6733172;38103749;Hanswijkstraat 8C-8D-8E-8F;Hanswijkstraat;8;E;C;;;MDU;0;1;0;1;N;;BUILDING template
MECHELEN - FH02;6733173;BL0216;3;38103566;6733173;38103749;Hanswijkstraat 8C-8D-8E-8F;Hanswijkstraat;8;F;C;;;MDU;0;1;0;1;N;;BUILDING template
