Projectnummer;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
KNOKKE-HEIST - FH10;293714;BL1036;;31668513;293714;;Dalgang 2_Jozef Nellenslaan 6;Dalgang;2;;;;Geert Stockman;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;293793;BL1036;;33578722;293793;;Dalgang 2_Jozef Nellenslaan 6;Jozef Nellenslaan;6;;;;Geert Stockman;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;292995;BL1003;;31668458;292995;;Duinbergenlaan 111-113_Patriottenstraat 2;Duinbergenlaan;111;;;;Geert Stockman;MDU;0;28;1;29;BUILDING template
KNOKKE-HEIST - FH10;5579333;BL1003;;33578984;5579333;;Duinbergenlaan 111-113_Patriottenstraat 2;Duinbergenlaan;113;;;;Geert Stockman;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;5579538;BL1003;;33578724;5579538;;Duinbergenlaan 111-113_Patriottenstraat 2;Patriottenstraat;2;;;;Geert Stockman;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;295465;BL1044;;31668656;295465;;Duinbergenlaan 57-59_Meeuwendreef 2;Duinbergenlaan;57;;;;Maayken Vanfleteren;MDU;1;17;1;19;BUILDING template
KNOKKE-HEIST - FH10;295467;BL1044;;33578981;295467;;Duinbergenlaan 57-59_Meeuwendreef 2;Duinbergenlaan;59;;;;Maayken Vanfleteren;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;295441;BL1044;;33578720;295441;;Duinbergenlaan 57-59_Meeuwendreef 2;Meeuwendreef;2;;;;Maayken Vanfleteren;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;292975;BL1023;;31668442;292975;;Duinbergenlaan 85-87;Duinbergenlaan;85;;;;Hidde Kiekens;MDU;0;45;2;47;BUILDING template
KNOKKE-HEIST - FH10;5579332;BL1023;;33578982;5579332;;Duinbergenlaan 85-87;Duinbergenlaan;87;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2759095;BL1030;;31668289;2759095;;Duinbergenlaan 88-90;Duinbergenlaan;88;;;;Hidde Kiekens;MDU;0;3;0;3;BUILDING template
KNOKKE-HEIST - FH10;293520;BL1030;;31668465;293520;;Duinbergenlaan 88-90;Duinbergenlaan;90;;;;Hidde Kiekens;MDU;1;0;0;1;BUILDING template
KNOKKE-HEIST - FH10;4335928;BL1030;;31668758;4335928;;Duinendreef 37-39;Duinendreef;37;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;2759146;BL1030;;33578987;2759146;;Duinendreef 37-39;Duinendreef;39;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;3939546;BL1030;;31668740;3939546;;Duinendreef 41-43;Duinendreef;41;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;4335931;BL1030;;33578988;4335931;;Duinendreef 41-43;Duinendreef;43;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
KNOKKE-HEIST - FH10;4335932;BL1030;;31668759;4335932;;Duinendreef 45-47;Duinendreef;45;;;;Hidde Kiekens;MDU;0;1;0;1;BUILDING template
