Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate
EVERE - FH04;Arnold Sohiestraat - Rue Arnold Sohie;13;;1140;Evere;152322;174149;NB-11401300440;NB-11401300440;BUILDING template
EVERE - FH04;Arnold Sohiestraat - Rue Arnold Sohie;15;;1140;Evere;152321;174150;NB-11401500441;NB-11401500441;BUILDING template
EVERE - FH04;Arnold Sohiestraat - Rue Arnold Sohie;26;;1140;Evere;152313;174204;NB-11402600442;NB-11402600442;BUILDING template
EVERE - FH04;Carlistraat - Rue Carli;7;;1140;Evere;151621;174409;NB-1140700443;NB-1140700443;BUILDING template
EVERE - FH04;Carlistraat - Rue Carli;19;;1140;Evere;151596;174473;NB-11401900444;NB-11401900444;BUILDING template
EVERE - FH04;Carlistraat - Rue Carli;19;;1140;Evere;151595;174477;NB-11401900445;NB-11401900445;BUILDING template
EVERE - FH04;Doolegtstraat - Rue du Doolegt;4;;1140;Evere;151932;174215;NB-1140400446;NB-1140400446;BUILDING template
EVERE - FH04;Doolegtstraat - Rue du Doolegt;8;;1140;Evere;151962;174132;NB-1140800447;NB-1140800447;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;2;;1140;Evere;152334;174061;NB-1140200448;NB-1140200448;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;13;;1140;Evere;152315;174078;NB-11401300449;NB-11401300449;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;27;;1140;Evere;152384;174149;NB-11402700450;NB-11402700450;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;39;B;1140;Evere;152413;174185;NB-114039B00451;NB-114039B00451;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;40;;1140;Evere;152438;174118;NB-11404000452;NB-11404000452;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;57;;1140;Evere;152442;174264;NB-11405700453;NB-11405700453;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;91;;1140;Evere;152477;174354;NB-11409100454;NB-11409100454;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;124;;1140;Evere;152509;174382;NB-114012400455;NB-114012400455;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;133;;1140;Evere;152522;174504;NB-114013300456;NB-114013300456;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;134;;1140;Evere;152511;174405;NB-114013400457;NB-114013400457;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;136;;1140;Evere;152511;174411;NB-114013600458;NB-114013600458;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;137;;1140;Evere;152527;174510;NB-114013700459;NB-114013700459;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;160;;1140;Evere;152552;174502;NB-114016000460;NB-114016000460;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;169;;1140;Evere;152580;174589;NB-114016900462;NB-114016900462;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;8;;1140;Evere;152344;174072;NB-1140800463;NB-1140800463;BUILDING template
EVERE - FH04;Edward Dekosterstraat - Rue Edouard Dekoster;164;;1140;Evere;152559;174506;NB-114016400461;NB-114016400461;BUILDING template
EVERE - FH04;Edward Stuckensstraat - Rue Edouard Stuckens;8;;1140;Evere;152345;174074;NB-1140800464;NB-1140800464;BUILDING template
EVERE - FH04;Edward Stuckensstraat - Rue Edouard Stuckens;10;;1140;Evere;152349;174077;NB-11401000465;NB-11401000465;BUILDING template
EVERE - FH04;Edward Stuckensstraat - Rue Edouard Stuckens;13;;1140;Evere;152315;174078;NB-11401300466;NB-11401300466;BUILDING template
EVERE - FH04;Edward Stuckensstraat - Rue Edouard Stuckens;13;;1140;Evere;152331;174095;NB-11401300467;NB-11401300467;BUILDING template
EVERE - FH04;Edward Stuckensstraat - Rue Edouard Stuckens;14;;1140;Evere;151748;173921;NB-11401400468;NB-11401400468;BUILDING template
