OpdrachtID;Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate;Adres
817870;KNOKKE-HEIST - FH03;Taborastraat;2;;8300;Knokke-Heist;74750,0;227405,0;NB-8300200427;NB-8300200427;BUILDING template;Taborastraat 2 8300 Knokke-Heist
817871;KNOKKE-HEIST - FH03;Taborastraat;3;;8300;Knokke-Heist;74734,0;227381,0;NB-8300300428;NB-8300300428;BUILDING template;Taborastraat 3 8300 Knokke-Heist
817872;KNOKKE-HEIST - FH03;Taborastraat;12;;8300;Knokke-Heist;74704,0;227410,0;NB-83001200429;NB-83001200429;BUILDING template;Taborastraat 12 8300 Knokke-Heist
817873;KNOKKE-HEIST - FH03;Van Bunnenplein;4;;8300;Knokke-Heist;74747,0;227552,0;NB-8300400430;NB-8300400430;BUILDING template;Van Bunnenplein 4 8300 Knokke-Heist
817874;KNOKKE-HEIST - FH03;Van Bunnenplein;10;;8300;Knokke-Heist;74800,0;227596,0;NB-83001000431;NB-83001000431;BUILDING template;Van Bunnenplein 10 8300 Knokke-Heist
817875;KNOKKE-HEIST - FH03;Van Bunnenplein;24;;8300;Knokke-Heist;74804,17;227595,26;NB-83002400432;NB-83002400432;BUILDING template;Van Bunnenplein 24 8300 Knokke-Heist
816596;KNOKKE-HEIST - FH03;Burg. Frans Desmidtplein;14;;8300;Knokke-Heist;74756,0;226893,0;NB-83001400194;NB-83001400194;BUILDING template;Burg. Frans Desmidtplein 14 8300 Knokke-Heist
817876;KNOKKE-HEIST - FH03;Van Bunnenplein;29;;8300;Knokke-Heist;74822,0;227515,0;NB-83002900433;NB-83002900433;BUILDING template;Van Bunnenplein 29 8300 Knokke-Heist
816597;KNOKKE-HEIST - FH03;Burg. Frans Desmidtplein;12;;8300;Knokke-Heist;74768,0;226892,0;NB-83001200195;NB-83001200195;BUILDING template;Burg. Frans Desmidtplein 12 8300 Knokke-Heist
817877;KNOKKE-HEIST - FH03;Zegemeerpad;3;A;8300;Knokke-Heist;73978,0;226798,0;NB-83003A00434;NB-83003A00434;BUILDING template;Zegemeerpad 3 A 8300 Knokke-Heist
816600;KNOKKE-HEIST - FH03;Dumortierlaan;1;;8300;Knokke-Heist;74784,0;227265,0;NB-8300100197;NB-8300100197;BUILDING template;Dumortierlaan 1 8300 Knokke-Heist
816601;KNOKKE-HEIST - FH03;Dumortierlaan;3;;8300;Knokke-Heist;74795,0;227275,0;NB-8300300198;NB-8300300198;BUILDING template;Dumortierlaan 3 8300 Knokke-Heist
816625;KNOKKE-HEIST - FH03;Dumortierlaan;4;;8300;Knokke-Heist;74781,0;227227,0;NB-8300400199;NB-8300400199;BUILDING template;Dumortierlaan 4 8300 Knokke-Heist
816626;KNOKKE-HEIST - FH03;Dumortierlaan;5;;8300;Knokke-Heist;74800,0;227275,0;NB-8300500200;NB-8300500200;BUILDING template;Dumortierlaan 5 8300 Knokke-Heist
816627;KNOKKE-HEIST - FH03;Dumortierlaan;5;;8300;Knokke-Heist;74800,0;227275,0;NB-8300500201;NB-8300500201;BUILDING template;Dumortierlaan 5 8300 Knokke-Heist
816628;KNOKKE-HEIST - FH03;Dumortierlaan;7;;8300;Knokke-Heist;74800,0;227275,0;NB-8300700202;NB-8300700202;BUILDING template;Dumortierlaan 7 8300 Knokke-Heist
816632;KNOKKE-HEIST - FH03;Dumortierlaan;10;;8300;Knokke-Heist;74811,0;227249,0;NB-83001000203;NB-83001000203;BUILDING template;Dumortierlaan 10 8300 Knokke-Heist
