       OpdrachtID;Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;Opdrachttemplate;Adres
555776;KNOKKE-HEIST - FH04;Marie-Jos̩straat;8;;8300;Knokke-Heist;75026,0;227644,0;NB-830083a7464;BUILDING template;Marie-Jos̩straat 8 8300 Knokke-Heist
555778;KNOKKE-HEIST - FH04;Marie-Jos̩straat;21;;8300;Knokke-Heist;75058,15;227613,25;NB-8300215b3994;BUILDING template;Marie-Jos̩straat 21 8300 Knokke-Heist
556547;KNOKKE-HEIST - FH04;Zeedijk-Knokke;674;;8300;Knokke-Heist;75045,0;227692,0;NB-830067483f505;BUILDING template;Zeedijk-Knokke 674 8300 Knokke-Heist
555268;KNOKKE-HEIST - FH04;Antoine Breartstraat;10;;8300;Knokke-Heist;75316,3;227748,01;NB-830010806555;BUILDING template;Antoine Breartstraat 10 8300 Knokke-Heist
555780;KNOKKE-HEIST - FH04;Strandstraat;6;;8300;Knokke-Heist;75682,0;227845,0;NB-830067ee628;BUILDING template;Strandstraat 6 8300 Knokke-Heist
556549;KNOKKE-HEIST - FH04;Zeedijk-Knokke;675;;8300;Knokke-Heist;75045,0;227692,0;NB-830067510a819;BUILDING template;Zeedijk-Knokke 675 8300 Knokke-Heist
555782;KNOKKE-HEIST - FH04;Strandstraat;7;;8300;Knokke-Heist;75712,31;227831,59;NB-83007a41d56;BUILDING template;Strandstraat 7 8300 Knokke-Heist
555784;KNOKKE-HEIST - FH04;Strandstraat;10;;8300;Knokke-Heist;75685,0;227838,0;NB-830010c6a594;BUILDING template;Strandstraat 10 8300 Knokke-Heist
555530;KNOKKE-HEIST - FH04;Kustlaan;69;;8300;Knokke-Heist;75268,0;227689,0;NB-830069fa4c05;BUILDING template;Kustlaan 69 8300 Knokke-Heist
556298;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;744;;8300;Knokke-Heist;75424,0;227787,0;NB-83007446eb712;BUILDING template;Zeedijk-Het Zoute 744 8300 Knokke-Heist
555787;KNOKKE-HEIST - FH04;Strandstraat;14;;8300;Knokke-Heist;75688,0;227831,0;NB-830014f33a26;BUILDING template;Strandstraat 14 8300 Knokke-Heist
555532;KNOKKE-HEIST - FH04;Kustlaan;73;;8300;Knokke-Heist;75276,0;227694,0;NB-83007319b940;BUILDING template;Kustlaan 73 8300 Knokke-Heist
556300;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;745;;8300;Knokke-Heist;75429,0;227788,0;NB-8300745953465;BUILDING template;Zeedijk-Het Zoute 745 8300 Knokke-Heist
555534;KNOKKE-HEIST - FH04;Kustlaan;77;;8300;Knokke-Heist;75290,0;227700,0;NB-83007742d573;BUILDING template;Kustlaan 77 8300 Knokke-Heist
555790;KNOKKE-HEIST - FH04;Strandstraat;15;;8300;Knokke-Heist;75713,0;227819,0;NB-830015199467;BUILDING template;Strandstraat 15 8300 Knokke-Heist
556302;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;746;;8300;Knokke-Heist;75435,0;227789,0;NB-8300746d32b59;BUILDING template;Zeedijk-Het Zoute 746 8300 Knokke-Heist
556304;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;747;;8300;Knokke-Heist;75441,94;227785,1;NB-8300747620293;BUILDING template;Zeedijk-Het Zoute 747 8300 Knokke-Heist
556306;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;748;;8300;Knokke-Heist;75509,0;227794,0;NB-830074887f925;BUILDING template;Zeedijk-Het Zoute 748 8300 Knokke-Heist
555283;KNOKKE-HEIST - FH04;Antoine Breartstraat;11;;8300;Knokke-Heist;75316,3;227748,01;NB-830011ae3f87;BUILDING template;Antoine Breartstraat 11 8300 Knokke-Heist
556308;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;749;;8300;Knokke-Heist;75443,2759;227783,7802;NB-8300749adfa56;BUILDING template;Zeedijk-Het Zoute 749 8300 Knokke-Heist
556564;KNOKKE-HEIST - FH04;Zeedijk-Knokke;677;;8300;Knokke-Heist;75045,0;227692,0;NB-830067742c246;BUILDING template;Zeedijk-Knokke 677 8300 Knokke-Heist
555285;KNOKKE-HEIST - FH04;Antoine Breartstraat;15;;8300;Knokke-Heist;75316,3;227748,01;NB-830015d36c23;BUILDING template;Antoine Breartstraat 15 8300 Knokke-Heist
556310;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;753;;8300;Knokke-Heist;75535,0;227809,0;NB-8300753d1ee85;BUILDING template;Zeedijk-Het Zoute 753 8300 Knokke-Heist
556566;KNOKKE-HEIST - FH04;Zeedijk-Knokke;679;;8300;Knokke-Heist;75064,0;227698,0;NB-8300679624c94;BUILDING template;Zeedijk-Knokke 679 8300 Knokke-Heist
555288;KNOKKE-HEIST - FH04;Antoine Breartstraat;16;;8300;Knokke-Heist;75316,3;227748,01;NB-830016fe7755;BUILDING template;Antoine Breartstraat 16 8300 Knokke-Heist
556312;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;754;;8300;Knokke-Heist;75540,0;227810,0;NB-8300754f20014;BUILDING template;Zeedijk-Het Zoute 754 8300 Knokke-Heist
556314;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;755;;8300;Knokke-Heist;75546,0;227813,0;NB-8300755158745;BUILDING template;Zeedijk-Het Zoute 755 8300 Knokke-Heist
556573;KNOKKE-HEIST - FH04;Zeedijk-Knokke;681;;8300;Knokke-Heist;75074,0;227701,0;NB-83006819a5625;BUILDING template;Zeedijk-Knokke 681 8300 Knokke-Heist
556318;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;756;;8300;Knokke-Heist;75554,0;227815,0;NB-8300756392577;BUILDING template;Zeedijk-Het Zoute 756 8300 Knokke-Heist
555808;KNOKKE-HEIST - FH04;Strandstraat;20;;8300;Knokke-Heist;75691,0;227824,0;NB-830020499d95;BUILDING template;Strandstraat 20 8300 Knokke-Heist
556320;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;760;;8300;Knokke-Heist;75597,1606;227826,0758;NB-83007605fa217;BUILDING template;Zeedijk-Het Zoute 760 8300 Knokke-Heist
555810;KNOKKE-HEIST - FH04;Swolfsstraat;3;;8300;Knokke-Heist;75123,0;227696,0;NB-830036a5726;BUILDING template;Swolfsstraat 3 8300 Knokke-Heist
556322;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;762;;8300;Knokke-Heist;75605,0;227830,0;NB-83007628d2549;BUILDING template;Zeedijk-Het Zoute 762 8300 Knokke-Heist
555812;KNOKKE-HEIST - FH04;Swolfsstraat;7;;8300;Knokke-Heist;75123,0;227696,0;NB-830078e3d54;BUILDING template;Swolfsstraat 7 8300 Knokke-Heist
555301;KNOKKE-HEIST - FH04;Antoine Breartstraat;19;;8300;Knokke-Heist;75316,3;227748,01;NB-830019228c92;BUILDING template;Antoine Breartstraat 19 8300 Knokke-Heist
556581;KNOKKE-HEIST - FH04;Zeedijk-Knokke;684;;8300;Knokke-Heist;75084,0;227705,0;NB-8300684beab57;BUILDING template;Zeedijk-Knokke 684 8300 Knokke-Heist
555558;KNOKKE-HEIST - FH04;Kustlaan;79;;8300;Knokke-Heist;75290,0;227700,0;NB-830079694700;BUILDING template;Kustlaan 79 8300 Knokke-Heist
555814;KNOKKE-HEIST - FH04;Swolfsstraat;10;;8300;Knokke-Heist;75108,0;227676,0;NB-830010b06382;BUILDING template;Swolfsstraat 10 8300 Knokke-Heist
555303;KNOKKE-HEIST - FH04;Antoine Breartstraat;13;A;8300;Knokke-Heist;75316,3;227748,01;NB-830013A9438;BUILDING template;Antoine Breartstraat 13 A 8300 Knokke-Heist
555560;KNOKKE-HEIST - FH04;Kustlaan;113;;8300;Knokke-Heist;75384,0;227721,0;NB-8300113890c35;BUILDING template;Kustlaan 113 8300 Knokke-Heist
556330;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;765;;8300;Knokke-Heist;75624,0;227836,0;NB-8300765b3dd79;BUILDING template;Zeedijk-Het Zoute 765 8300 Knokke-Heist
556590;KNOKKE-HEIST - FH04;Zeedijk-Knokke;686;;8300;Knokke-Heist;75094,78;227702,96;NB-8300686e4d793;BUILDING template;Zeedijk-Knokke 686 8300 Knokke-Heist
555567;KNOKKE-HEIST - FH04;Kustlaan;117;;8300;Knokke-Heist;75400,5202;227717,6326;NB-8300117b26468;BUILDING template;Kustlaan 117 8300 Knokke-Heist
555574;KNOKKE-HEIST - FH04;Kustlaan;125;;8300;Knokke-Heist;75420,0;227719,0;NB-8300125d80d96;BUILDING template;Kustlaan 125 8300 Knokke-Heist
555831;KNOKKE-HEIST - FH04;Swolfsstraat;15;;8300;Knokke-Heist;75136,0;227658,0;NB-830015cfcc22;BUILDING template;Swolfsstraat 15 8300 Knokke-Heist
555320;KNOKKE-HEIST - FH04;Antoine Breartstraat;15;a;8300;Knokke-Heist;75316,3;227748,01;NB-830015a7e72;BUILDING template;Antoine Breartstraat 15 a 8300 Knokke-Heist
555576;KNOKKE-HEIST - FH04;Kustlaan;129;;8300;Knokke-Heist;75432,0;227720,0;NB-8300129f9ce30;BUILDING template;Kustlaan 129 8300 Knokke-Heist
556345;KNOKKE-HEIST - FH04;Zeedijk-Het Zoute;769;;8300;Knokke-Heist;75648,0;227845,0;NB-8300769d64d09;BUILDING template;Zeedijk-Het Zoute 769 8300 Knokke-Heist
555322;KNOKKE-HEIST - FH04;Antoine Breartstraat;16;a;8300;Knokke-Heist;75316,3;227748,01;NB-830016aa907;BUILDING template;Antoine Breartstraat 16 a 8300 Knokke-Heist
555324;KNOKKE-HEIST - FH04;Antoine Breartstraat;17;a;8300;Knokke-Heist;75316,3;227748,01;NB-830017af742;BUILDING template;Antoine Breartstraat 17 a 8300 Knokke-Heist
556606;KNOKKE-HEIST - FH04;Zeedijk-Knokke;687;;8300;Knokke-Heist;75094,78;227702,96;NB-830068714dd27;BUILDING template;Zeedijk-Knokke 687 8300 Knokke-Heist
555327;KNOKKE-HEIST - FH04;De Wielingen;9;;8300;Knokke-Heist;75963,55;227930,85;NB-83009fdac74;BUILDING template;De Wielingen 9 8300 Knokke-Heist
555583;KNOKKE-HEIST - FH04;Kustlaan;133;;8300;Knokke-Heist;75447,0;227721,0;NB-830013321fc61;BUILDING template;Kustlaan 133 8300 Knokke-Heist
556608;KNOKKE-HEIST - FH04;Zeedijk-Knokke;688;;8300;Knokke-Heist;75116,74;227714,01;NB-8300688350d56;BUILDING template;Zeedijk-Knokke 688 8300 Knokke-Heist
555329;KNOKKE-HEIST - FH04;De Wielingen;12;;8300;Knokke-Heist;75972,0;227984,0;NB-830012248607;BUILDING template;De Wielingen 12 8300 Knokke-Heist
