File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502391;'20200128103112;320674;'33860000;'11010;Gulden-Vliesstraat;'1;'A;8300;Knokke-Heist;;'74673,779;'226733,808;;Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';3;8346208;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';320674;8346208
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502391;'20200128103112;320674;'33860000;'11010;Gulden-Vliesstraat;'1;'A;8300;Knokke-Heist;;'74673,779;'226733,808;;Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';4;8346209;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';320674;8346209
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502391;'20200128103112;320674;'33860000;'11010;Gulden-Vliesstraat;'1;'A;8300;Knokke-Heist;;'74673,779;'226733,808;;Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';5;8346210;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';320674;8346210
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502391;'20200128103112;320674;'33860000;'11010;Gulden-Vliesstraat;'1;'A;8300;Knokke-Heist;;'74673,779;'226733,808;;Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';6;8346211;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';320674;8346211
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502391;'20200128103112;320674;'33860000;'11010;Gulden-Vliesstraat;'1;'A;8300;Knokke-Heist;;'74673,779;'226733,808;;Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';7;8350560;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';320674;8350560
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502391;'20200128103112;320674;'33860000;'11010;Gulden-Vliesstraat;'1;'A;8300;Knokke-Heist;;'74673,779;'226733,808;;Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';8;8355317;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';320674;8355317
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502391;'20200128103112;320674;'33860000;'11010;Gulden-Vliesstraat;'1;'A;8300;Knokke-Heist;;'74673,779;'226733,808;;Y;NA;6;4;Unknown;Unknown;A - Floorbox;None;B;BOWN;;;;;Y;MODIFY;;;';9;8355318;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;B;BOWN;;;;;N;KEEP;;;';320674;8355318
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502134;'20200128103514;2760038;'33860000;'11010;Gulden-Vliesstraat;'3;';8300;Knokke-Heist;;'74665,889;'226733,796;;Y;NA;3;10;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;8333389;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';2760038;8333389
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502134;'20200128103514;2760038;'33860000;'11010;Gulden-Vliesstraat;'3;';8300;Knokke-Heist;;'74665,889;'226733,796;;Y;NA;3;10;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;8337587;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';2760038;8337587
;;;Zoning;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;7574792;'20190722133421;W03-C-Knokke-Heist-FH01;19625;FTTH-Cu;;';';;;;;;;8502134;'20200128103514;2760038;'33860000;'11010;Gulden-Vliesstraat;'3;';8300;Knokke-Heist;;'74665,889;'226733,796;;Y;NA;3;10;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;8341762;LU;1;;;;;;Y;;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';2760038;8341762
