adres_full;SU;BU;LU;File_SSV_Action;File_SSV_Status;File_SSV_Error;Area_Type;Area_FID;Area_Version;Area_Name;Zoning_FID;Zoning_Version;Zoning_Name;Zoning_Id;Zoning_Tech;BG_Id;BG_Version;BG_Name;BG_SSV_Action;BG_SSV_Status;BG_SSV_Error;BG_Building_SSV_Action;BG_Building_SSV_Status;BG_Building_SSV_Error;Building_FID;Building_Version;LAM_MK;LAM_City_Code;LAM_Street_Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall_Mount;SS_Reason;Number_Floors;Height_Cable;Orig_VC_Type;New_VC_Type;VC_Method;Intro_Tube;Prov_Status;Prov_Reason;Prov_Planned;Prov_Mod_By;Prov_Mod_Date;Comments;SSV_Flag;SSV_Action;SSV_Status;SSV_Error;SSV_Date;Seq;LU_Key;LAM_SK;Nature;Nr_TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD_Details;CAD_Type;CAD_Type_Descr;CAD_SubType;Prov_Status_LU;Prov_Reason_LU;Prov_Planned_LU;Prov_Mod_By_LU;Prov_Mod_Date_LU;Comments_LU;SSV_Flag_LU;SSV_Action_LU;SSV_Status_LU;SSV_Error_LU;SSV_Date_LU;planrrr_bid;planrrr_uid;BT;GUESSED_UNITS_FLOOR;Seq_test;maxSeq;newSeq;LAM Nature index;Unit Counter_x;GUESSED_FLOOR;GUESSED_FLOOR_TRUNC;SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP;Unit Counter_y;;MERGED_PBOX;MERGED_APP;;MERGED_FLOOR
Hoveniersstraat 2;0;0;3;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790419;'20200424132612;103368;'60370000;'13444;Hoveniersstraat;'2;';9100;Sint-Niklaas;;'133781,781;'205820,285;;Y;NA;3;6;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;2105197;;LU;1;;;;;;Y;#A1/1A1/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;N;KEEP;;;';103368;2105197;MDU;1.0;3;3;3;103368-LU3;3.0;2.0;2;;;;;;;;;;201;201;;2
Kongostraat 117;0;0;2;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;10471934;'20200130174954;103401;'60370000;'16590;Kongostraat;'117;';9100;Sint-Niklaas;;'133920,755;'205550,292;;Y;NA;2;8;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;2097423;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;N;KEEP;;;';103401;2097423;MDU;1.0;1;2;1;103401-LU1;1.0;0.0;0;;;;;;;;;;1;1;;0
Kongostraat 117;0;0;2;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;10471934;'20200130174954;103401;'60370000;'16590;Kongostraat;'117;';9100;Sint-Niklaas;;'133920,755;'205550,292;;Y;NA;2;8;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;11048960;;LU;1;;;;;;Y;;HOUSE;;NA;;;;;;;N;KEEP;;;';103401;11048960;MDU;1.0;2;2;2;103401-LU2;2.0;1.0;1;;;;;;;;;;101;101;;1
Hemelaerstraat 1;0;2;1;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790454;'20200130174900;103621;'60370000;'12129;Hemelaerstraat;'1;';9100;Sint-Niklaas;;'133845,259;'206129,516;;N;IRREG;3;11;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;2094231;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;KEEP;;;';103621;2094231;MDU;1.0;1;3;1;103621-BU1;1.0;0.0;0;W03-D-Sint-Niklaas-FH01;103621;BU;;;0;1;1.0;;1;1;;0
Hemelaerstraat 1;0;2;1;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790454;'20200130174900;103621;'60370000;'12129;Hemelaerstraat;'1;';9100;Sint-Niklaas;;'133845,259;'206129,516;;N;IRREG;3;11;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;11093305;;BU;1;;;;;;Y;;;;NA;;;;;;;N;KEEP;;;';103621;11093305;MDU;1.0;2;3;2;103621-BU2;2.0;1.0;1;;;;;;;;;;101;101;;1
Hemelaerstraat 1;0;2;1;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790454;'20200130174900;103621;'60370000;'12129;Hemelaerstraat;'1;';9100;Sint-Niklaas;;'133845,259;'206129,516;;N;IRREG;3;11;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;11093306;;LU;1;;;;;;Y;;;;NA;;;;;;;N;KEEP;;;';103621;11093306;MDU;1.0;3;3;3;103621-LU1;3.0;2.0;2;W03-D-Sint-Niklaas-FH01;103621;LU;;;1;1;2.0;;1;102;;1
Hemelaerstraat 14;0;0;3;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790456;'20200130174900;103624;'60370000;'12129;Hemelaerstraat;'14;';9100;Sint-Niklaas;;'133828,106;'206083,082;;N;IRREG;4;16;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';1;2100044;;LU;1;;;;;;Y;#A.GV/MA.17/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';103624;2100044;MDU;0.75;1;10;1;103624-LU1;1.0;0.0;0;;;;;;;;;;1;1;;0
Hemelaerstraat 14;0;0;3;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790456;'20200130174900;103624;'60370000;'12129;Hemelaerstraat;'14;';9100;Sint-Niklaas;;'133828,106;'206083,082;;N;IRREG;4;16;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';2;2100089;;LU;1;;;;;;Y;#AGV/LA.16/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';103624;2100089;MDU;0.75;2;10;2;103624-LU2;2.0;1.3333333333333333;1;;;;;;;;;;101;101;;1
Hemelaerstraat 14;0;0;3;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790456;'20200130174900;103624;'60370000;'12129;Hemelaerstraat;'14;';9100;Sint-Niklaas;;'133828,106;'206083,082;;N;IRREG;4;16;Unknown;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';10;11093991;;LU;1;;;;;;Y;;;;APPART;;;;;;;N;KEEP;;;';103624;11093991;MDU;0.75;10;10;10;103624-LU3;3.0;2.666666666666667;2;;;;;;;;;;201;201;;2
Hemelaerstraat 33;0;0;2;;;;Zoning;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;6832225;'20191109094846;W03-D-Sint-Niklaas-FH01;19108;FTTH-Cu;;';';;;;;;;790457;'20200130174900;103625;'60370000;'12129;Hemelaerstraat;'33;';9100;Sint-Niklaas;;'133766,847;'206034,755;;Y;NA;3;9;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;2112084;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;N;KEEP;;;';103625;2112084;MDU;0.6666666666666666;1;2;1;103625-LU1;1.0;0.0;0;;;;;;;;;;1;1;;0
