adres_full;SU;BU;LU;File_SSV_Action;File_SSV_Status;File_SSV_Error;Area_Type;Area_FID;Area_Version;Area_Name;Zoning_FID;Zoning_Version;Zoning_Name;Zoning_Id;Zoning_Tech;BG_Id;BG_Version;BG_Name;BG_SSV_Action;BG_SSV_Status;BG_SSV_Error;BG_Building_SSV_Action;BG_Building_SSV_Status;BG_Building_SSV_Error;Building_FID;Building_Version;LAM_MK;LAM_City_Code;LAM_Street_Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall_Mount;SS_Reason;Number_Floors;Height_Cable;Orig_VC_Type;New_VC_Type;VC_Method;Intro_Tube;Prov_Status;Prov_Reason;Prov_Planned;Prov_Mod_By;Prov_Mod_Date;Comments;SSV_Flag;SSV_Action;SSV_Status;SSV_Error;SSV_Date;Seq;LU_Key;LAM_SK;Nature;Nr_TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD_Details;CAD_Type;CAD_Type_Descr;CAD_SubType;Prov_Status_LU;Prov_Reason_LU;Prov_Planned_LU;Prov_Mod_By_LU;Prov_Mod_Date_LU;Comments_LU;SSV_Flag_LU;SSV_Action_LU;SSV_Status_LU;SSV_Error_LU;SSV_Date_LU;planrrr_bid;planrrr_uid;BT;GUESSED_UNITS_FLOOR;Seq_test;maxSeq;newSeq;LAM Nature index;Unit Counter_x;GUESSED_FLOOR;GUESSED_FLOOR_TRUNC;SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP;Unit Counter_y;MERGED_PBOX;MERGED_APP;;MERGED_FLOOR
Bondgenotenlaan 69;0;1;3;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';';;;;;;;20974693;'20191129173420;1318478;'33860000;'3174;Bondgenotenlaan;'69;';8301;Knokke-Heist;;'71321,11;'225592,07;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;8345956;;LU;1;;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;N;KEEP;;;';1318478;8345956;MDU;1.0;3;4;3;1318478-LU3;4.0;3.0;3;W03-C-Knokke-Heist-FH11;1318478;LU;301;;3;;4.0;301;301;;3
Sint-Jozefsstraat 9;1;0;9;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';'Sint-Jozefsstraat 5-7-9;NEW;;;NEW;;;21256341;'20191129173413;1320201;'33860000;'29062;Sint-Jozefsstraat;'9;';8301;Knokke-Heist;;'71035;'226046;;N;IRREG;4;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';1;11198820;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';1320201;11198820;MDU;2.25;1;9;1;1320201-LU1;1.0;0.0;0;W03-C-Knokke-Heist-FH11;1320201;LU;11;;1;;1.0;11;101;;1
Sint-Jozefsstraat 9;1;0;9;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';'Sint-Jozefsstraat 5-7-9;NEW;;;NEW;;;21256341;'20191129173413;1320201;'33860000;'29062;Sint-Jozefsstraat;'9;';8301;Knokke-Heist;;'71035;'226046;;N;IRREG;4;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';2;11198821;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';1320201;11198821;MDU;2.25;2;9;2;1320201-LU2;2.0;0.4444444444444444;0;W03-C-Knokke-Heist-FH11;1320201;LU;12;;1;;2.0;12;102;;1
Sint-Jozefsstraat 9;1;0;9;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';'Sint-Jozefsstraat 5-7-9;NEW;;;NEW;;;21256341;'20191129173413;1320201;'33860000;'29062;Sint-Jozefsstraat;'9;';8301;Knokke-Heist;;'71035;'226046;;N;IRREG;4;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';3;11198822;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';1320201;11198822;MDU;2.25;3;9;3;1320201-LU3;3.0;0.8888888888888888;0;W03-C-Knokke-Heist-FH11;1320201;LU;13;;1;;3.0;13;103;;1
Sint-Jozefsstraat 9;1;0;9;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';'Sint-Jozefsstraat 5-7-9;NEW;;;NEW;;;21256341;'20191129173413;1320201;'33860000;'29062;Sint-Jozefsstraat;'9;';8301;Knokke-Heist;;'71035;'226046;;N;IRREG;4;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';4;11198823;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';1320201;11198823;MDU;2.25;4;9;4;1320201-LU4;4.0;1.3333333333333333;1;W03-C-Knokke-Heist-FH11;1320201;LU;21;;2;;4.0;21;201;;2
Sint-Jozefsstraat 9;1;0;9;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';'Sint-Jozefsstraat 5-7-9;NEW;;;NEW;;;21256341;'20191129173413;1320201;'33860000;'29062;Sint-Jozefsstraat;'9;';8301;Knokke-Heist;;'71035;'226046;;N;IRREG;4;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';5;11198824;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';1320201;11198824;MDU;2.25;5;9;5;1320201-LU5;5.0;1.777777777777778;1;W03-C-Knokke-Heist-FH11;1320201;LU;22;;2;;5.0;22;202;;2
Sint-Jozefsstraat 9;1;0;9;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';'Sint-Jozefsstraat 5-7-9;NEW;;;NEW;;;21256341;'20191129173413;1320201;'33860000;'29062;Sint-Jozefsstraat;'9;';8301;Knokke-Heist;;'71035;'226046;;N;IRREG;4;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';6;11198825;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';1320201;11198825;MDU;2.25;6;9;6;1320201-LU6;6.0;2.2222222222222223;2;W03-C-Knokke-Heist-FH11;1320201;LU;31;;3;;6.0;31;301;;3
Sint-Jozefsstraat 9;1;0;9;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';'Sint-Jozefsstraat 5-7-9;NEW;;;NEW;;;21256341;'20191129173413;1320201;'33860000;'29062;Sint-Jozefsstraat;'9;';8301;Knokke-Heist;;'71035;'226046;;N;IRREG;4;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';7;11198826;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';1320201;11198826;MDU;2.25;7;9;7;1320201-LU7;7.0;2.666666666666667;2;W03-C-Knokke-Heist-FH11;1320201;LU;32;;3;;7.0;32;302;;3
Sint-Jozefsstraat 9;1;0;9;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';'Sint-Jozefsstraat 5-7-9;NEW;;;NEW;;;21256341;'20191129173413;1320201;'33860000;'29062;Sint-Jozefsstraat;'9;';8301;Knokke-Heist;;'71035;'226046;;N;IRREG;4;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';8;11198827;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';1320201;11198827;MDU;2.25;8;9;8;1320201-LU8;8.0;3.1111111111111107;3;W03-C-Knokke-Heist-FH11;1320201;LU;33;;3;;8.0;33;303;;3
Sint-Jozefsstraat 9;1;0;9;;;;Zoning;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;8387197;'20191223093129;W03-C-Knokke-Heist-FH11;21143;FTTH-Cu;;';'Sint-Jozefsstraat 5-7-9;NEW;;;NEW;;;21256341;'20191129173413;1320201;'33860000;'29062;Sint-Jozefsstraat;'9;';8301;Knokke-Heist;;'71035;'226046;;N;IRREG;4;4;Unknown;Unknown;X - Awaiting decision on B;None;;;;;;;Y;MODIFY;;;';9;11198828;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';1320201;11198828;MDU;2.25;9;9;9;1320201-LU9;9.0;3.5555555555555554;3;W03-C-Knokke-Heist-FH11;1320201;LU;34;;3;;9.0;34;304;;3
