LAM_MK;SSV_Action;LU_Key;SSV_Action_LU
NB-20003501542;;1741682;DELETE
NB-20002701540;;1647900;DELETE
NB-200062e0517;;11192524;DELETE
NB-20006701541;;1792646;DELETE
NB-200032695193;;11192036;DELETE
;;11192361;DELETE
;;11192364;DELETE
;;11192038;DELETE
;;10358670;DELETE
;;11192216;DELETE
;;10362287;DELETE
;;11193911;DELETE
;;11192531;DELETE
;;11192533;DELETE
;;11192363;DELETE
;;11192032;DELETE
;;1853030;DELETE
;;11192526;DELETE
;;11192232;DELETE
;;11192034;DELETE
;;11192520;DELETE
;;11192519;DELETE
;;11192031;DELETE
;;11192440;DELETE
;;11192439;DELETE
;;1680073;DELETE
;;11136213;DELETE
;;1647955;DELETE
;;11192362;DELETE
;;11192395;DELETE
;;11192037;DELETE
;;11192033;DELETE
;;11192522;DELETE
;;1647953;DELETE
;;1680072;DELETE
;;1630606;DELETE
;;11192235;DELETE
;;1841832;DELETE
;;11192575;DELETE
;;11192532;DELETE
;;11192527;DELETE
;;11192035;DELETE
;;11192523;DELETE
;;11192525;DELETE
;;1628978;DELETE
;;1807426;DELETE
;;11192030;DELETE
;;11192353;DELETE
;;1630605;DELETE
;;11192608;DELETE
;;1647954;DELETE
;;11193917;DELETE
;;11192490;DELETE
;;11192342;DELETE
;;1655024;DELETE
;;1751735;DELETE
;;11192399;DELETE
;;11192521;DELETE
;;11192598;DELETE
