LAM_MK;SSV_Action;LU_Key;SSV_Action_LU;Opdrachtnummer;LAM MK
NB-200015596677;DELETE;NB-200015596677---3;DELETE;;
NB-20009601396;DELETE;NB-200052f10f73---17;DELETE;;
NB-20009301393;DELETE;NB-200052f10f73---11;DELETE;;
NB-200019A1116;DELETE;NB-200052f10f73---19;DELETE;;
NB-20002401392;DELETE;NB-200052f10f73---4;DELETE;;
NB-200033A3613;DELETE;NB-200052f10f73---16;DELETE;;
NB-2000112E01394;DELETE;NB-200052f10f73---9;DELETE;;
NB-200033ab8833;DELETE;NB-20006c06715---13;DELETE;;
;;NB-200052f10f73---5;DELETE;;
;;NB-200033ab8833---0;DELETE;;
;;NB-200019A1116---4;DELETE;;
;;NB-200052f10f73---36;DELETE;;
;;NB-200052f10f73---22;DELETE;;
;;NB-200052f10f73---38;DELETE;;
;;NB-200052f10f73---37;DELETE;;
;;NB-200052f10f73---34;DELETE;;
;;NB-200052f10f73---10;DELETE;;
;;NB-20006c06715---5;DELETE;;
;;NB-200052f10f73---0;DELETE;;
;;NB-200033ab8833---2;DELETE;;
;;NB-200052f10f73---24;DELETE;;
;;NB-20006c06715---4;DELETE;;
;;NB-200052f10f73---23;DELETE;;
;;NB-200033ab8833---1;DELETE;;
;;NB-200052f10f73---14;DELETE;;
;;NB-200015596677---0;DELETE;;
;;NB-200033ab8833---6;DELETE;;
;;NB-20006c06715---10;DELETE;;
;;NB-200019A1116---3;DELETE;;
;;NB-20006c06715---3;DELETE;;
;;NB-20006c06715---8;DELETE;;
;;NB-200052f10f73---31;DELETE;;
;;NB-200019A1116---5;DELETE;;
;;NB-200052f10f73---29;DELETE;;
;;NB-20006c06715---1;DELETE;;
;;NB-200015596677---2;DELETE;;
;;NB-20006c06715---12;DELETE;;
;;NB-200052f10f73---15;DELETE;;
;;NB-200033ab8833---3;DELETE;;
;;NB-200033ab8833---5;DELETE;;
;;NB-200052f10f73---2;DELETE;;
;;NB-200052f10f73---20;DELETE;;
;;NB-20006c06715---9;DELETE;;
;;NB-20006c06715---7;DELETE;;
;;NB-200033A3613---0;DELETE;;
;;NB-200052f10f73---30;DELETE;;
;;NB-200052f10f73---6;DELETE;;
;;NB-200052f10f73---8;DELETE;;
;;NB-200019A1116---0;DELETE;;
;;NB-200019A1116---2;DELETE;;
;;NB-200052f10f73---28;DELETE;;
;;NB-200052f10f73---39;DELETE;;
;;NB-200052f10f73---7;DELETE;;
;;NB-200015596677---4;DELETE;;
;;NB-200052f10f73---13;DELETE;;
;;NB-20006c06715---6;DELETE;;
;;NB-200052f10f73---26;DELETE;;
;;NB-200052f10f73---21;DELETE;;
;;NB-200052f10f73---1;DELETE;;
;;NB-20006c06715---0;DELETE;;
;;NB-20006c06715---11;DELETE;;
;;NB-200052f10f73---35;DELETE;;
;;NB-200033ab8833---4;DELETE;;
;;NB-200052f10f73---12;DELETE;;
;;NB-200052f10f73---3;DELETE;;
;;NB-200052f10f73---33;DELETE;;
;;NB-200052f10f73---25;DELETE;;
;;NB-200033ab8833---7;DELETE;;
;;NB-200052f10f73---18;DELETE;;
;;NB-200052f10f73---27;DELETE;;
;;NB-20006c06715---2;DELETE;;
;;NB-200019A1116---1;DELETE;;
;;NB-20006c06715---14;DELETE;;
;;NB-200015596677---1;DELETE;;
;;NB-200052f10f73---32;DELETE;;
