LAM_MK;SSV_Action;LU_Key;SSV_Action_LU
56798;DELETE;10413991;DELETE
109167;DELETE;1654982;DELETE
109967;DELETE;11140308;DELETE
177007;DELETE;11139923;DELETE
962184;DELETE;11140768;DELETE
1945572;DELETE;1637848;DELETE
1953326;DELETE;1688636;DELETE
4037939;DELETE;1853408;DELETE
4505225;DELETE;11140764;DELETE
4507361;DELETE;11140392;DELETE
4509062;DELETE;1791818;DELETE
6430565;DELETE;11141570;DELETE
;;1849740;DELETE
;;1777164;DELETE
;;1791816;DELETE
;;11141415;DELETE
;;11140733;DELETE
;;11140992;DELETE
;;10414811;DELETE
;;11142162;DELETE
;;11141773;DELETE
;;1767743;DELETE
;;10416079;DELETE
;;1720146;DELETE
;;11141984;DELETE
;;11142047;DELETE
;;11141327;DELETE
;;11141151;DELETE
;;11126975;DELETE
;;NB-200014cb6a61---1;DELETE
;;11142451;DELETE
;;11142135;DELETE
;;11140007;DELETE
;;1824089;DELETE
;;11140633;DELETE
;;11140369;DELETE
;;1639998;DELETE
;;11141431;DELETE
;;11142091;DELETE
;;1796325;DELETE
;;11142411;DELETE
;;10416115;DELETE
;;11140584;DELETE
;;11141303;DELETE
;;11140710;DELETE
;;10416060;DELETE
;;NB-200055100b90---14;DELETE
;;1615104;DELETE
;;11140810;DELETE
;;11141182;DELETE
;;1799876;DELETE
;;1708393;DELETE
;;11142328;DELETE
;;11141965;DELETE
;;1860925;DELETE
;;10410181;DELETE
;;1732562;DELETE
;;1791593;DELETE
;;11142158;DELETE
;;1820251;DELETE
;;1763530;DELETE
;;11141539;DELETE
;;1661830;DELETE
;;1851597;DELETE
;;11141344;DELETE
;;11141376;DELETE
;;NB-200055100b90---3;DELETE
;;11141678;DELETE
;;1611099;DELETE
;;10416489;DELETE
;;11140772;DELETE
;;10375575;DELETE
;;11142225;DELETE
;;1732556;DELETE
;;11141784;DELETE
;;11140806;DELETE
;;11140872;DELETE
;;1763532;DELETE
;;10416054;DELETE
;;11141038;DELETE
;;10416073;DELETE
;;11142404;DELETE
;;11140365;DELETE
;;11140000;DELETE
;;11140711;DELETE
;;11142003;DELETE
;;1645887;DELETE
;;11140965;DELETE
;;11139915;DELETE
;;1741635;DELETE
;;11141351;DELETE
;;11142215;DELETE
;;11127059;DELETE
;;10411221;DELETE
;;1851595;DELETE
;;11141389;DELETE
;;1679982;DELETE
;;11140784;DELETE
;;11142295;DELETE
;;11141232;DELETE
;;1698324;DELETE
;;1689462;DELETE
;;10411224;DELETE
;;11142110;DELETE
;;1615077;DELETE
;;1770122;DELETE
;;11140994;DELETE
;;11139940;DELETE
;;11140472;DELETE
;;11139998;DELETE
;;10410211;DELETE
;;1840192;DELETE
;;1834315;DELETE
;;11140708;DELETE
;;1661831;DELETE
;;11140755;DELETE
;;1775701;DELETE
;;10411222;DELETE
;;11141417;DELETE
;;11140309;DELETE
;;1725161;DELETE
;;11139945;DELETE
;;11142021;DELETE
;;1688888;DELETE
;;1840191;DELETE
;;11140536;DELETE
;;1639990;DELETE
;;NB-200055100b90---13;DELETE
;;11141233;DELETE
;;11141945;DELETE
;;NB-2000165fa106---0;DELETE
;;11140950;DELETE
;;11142125;DELETE
;;11140759;DELETE
;;10415426;DELETE
;;NB-20002eeab84---0;DELETE
;;10376195;DELETE
;;11139951;DELETE
;;11140434;DELETE
;;11140809;DELETE
;;11142417;DELETE
;;11141532;DELETE
;;10414074;DELETE
;;11141585;DELETE
