LAM_MK;SSV_Action;LU_Key;SSV_Action_LU;Opdrachtnummer;LAM MK
2448672;DELETE;1186397;DELETE;;
4029706;DELETE;11137964;DELETE;;
;;1162892;DELETE;;
;;1186392;DELETE;;
;;11137975;DELETE;;
;;11130912;DELETE;;
;;1186395;DELETE;;
;;11137942;DELETE;;
;;11130918;DELETE;;
;;10734661;DELETE;;
;;1186365;DELETE;;
;;11137962;DELETE;;
;;11130906;DELETE;;
;;11137967;DELETE;;
;;1186364;DELETE;;
;;1186361;DELETE;;
;;11130915;DELETE;;
;;11137963;DELETE;;
;;11130913;DELETE;;
;;10735471;DELETE;;
;;11130881;DELETE;;
;;11130882;DELETE;;
;;11137939;DELETE;;
;;11137943;DELETE;;
;;11137955;DELETE;;
;;1186389;DELETE;;
;;1153168;DELETE;;
;;1186394;DELETE;;
;;1166238;DELETE;;
;;1186399;DELETE;;
;;11137971;DELETE;;
;;11137978;DELETE;;
;;1186396;DELETE;;
;;11137977;DELETE;;
;;1186363;DELETE;;
;;1186391;DELETE;;
;;11137933;DELETE;;
;;11137972;DELETE;;
;;11137926;DELETE;;
;;1157830;DELETE;;
;;1186393;DELETE;;
;;1186390;DELETE;;
;;11130917;DELETE;;
;;11130916;DELETE;;
;;10863067;DELETE;;
;;10734115;DELETE;;
;;1186360;DELETE;;
;;1186398;DELETE;;
;;11137934;DELETE;;
;;1186362;DELETE;;
;;11130880;DELETE;;
;;11130914;DELETE;;
