LAM_MK;SSV_Action;LU_Key;SSV_Action_LU;Opdrachtnummer;LAM MK
;;NB-830147A4b87---0;DELETE;NB-830126ec2717;2762237
;;NB-83015159e938---1;DELETE;NB-83015159e938;299916
NB-83015041a07;DELETE;NB-8301118a2dd21---0;DELETE;NB-8301118a2dd21;4334131
;;NB-83015159e938---2;DELETE;NB-8301120f23f04;4334133
NB-830147A4b87;DELETE;NB-8301131da622---0;DELETE;NB-8301131da622;4335263
NB-830156A5462;DELETE;NB-8301120f23f04---0;DELETE;NB-830115c70024;71734
;;NB-83015041a07---0;DELETE;;
;;NB-830156A5462---0;DELETE;;
;;NB-83015159e938---0;DELETE;;
NB-830156B3399;DELETE;NB-830156B3399---0;DELETE;;
;;NB-830115c70024---0;DELETE;;
;;NB-830126ec2717---0;DELETE;;
;;NB-83015159e938---3;DELETE;;
