LU_Key;SSV_Action_LU
11192195;DELETE
11192163;DELETE
11192172;DELETE
11192450;DELETE
11192178;DELETE
11192160;DELETE
11192462;DELETE
11192456;DELETE
11192182;DELETE
11192453;DELETE
11192162;DELETE
1785535;DELETE
11192079;DELETE
11192173;DELETE
11192463;DELETE
11192181;DELETE
11192165;DELETE
11192194;DELETE
11192196;DELETE
11192457;DELETE
11192166;DELETE
1785534;DELETE
11192185;DELETE
11192161;DELETE
11192171;DELETE
11192155;DELETE
11192167;DELETE
11192158;DELETE
11192168;DELETE
11192183;DELETE
11192078;DELETE
11192175;DELETE
11192174;DELETE
11192186;DELETE
11192190;DELETE
11192156;DELETE
11192170;DELETE
11192187;DELETE
11192159;DELETE
11192452;DELETE
11192447;DELETE
11192188;DELETE
11192191;DELETE
11192176;DELETE
11192154;DELETE
11192193;DELETE
11192180;DELETE
1785525;DELETE
11192448;DELETE
11192454;DELETE
11192077;DELETE
11192164;DELETE
11192169;DELETE
11192449;DELETE
11192461;DELETE
11192459;DELETE
11192197;DELETE
11192464;DELETE
11192189;DELETE
11192192;DELETE
11192177;DELETE
11192458;DELETE
11192184;DELETE
11192455;DELETE
11192157;DELETE
11192179;DELETE
11192080;DELETE
11192460;DELETE
11192451;DELETE
