File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;adres
;;;Zoning;6832763;20191109094846;W03-D-Sint-Niklaas-FH02;6832763;20191109094846;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;25840326;20200113151238;3484823;60370000;635;Ankerstraat;49;A;9100;Sint-Niklaas;;134362,564;206204,06;;Y;NA;0;0;Unknown;;;None;;;;;;;;;;;;1;11262892;;LU;1;;;;;;N;;;;;;;;;;;;;;;;2;0;0;2;NL;MDU;Ankerstraat49A
;;;Zoning;6832763;20191109094846;W03-D-Sint-Niklaas-FH02;6832763;20191109094846;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;25840326;20200113151238;3484823;60370000;635;Ankerstraat;49;A;9100;Sint-Niklaas;;134362,564;206204,06;;Y;NA;0;0;Unknown;;;None;;;;;;;;;;;;2;11262893;;LU;1;;;;;;N;;;;;;;;;;;;;;;;2;0;0;2;NL;MDU;Ankerstraat49A
;;;Zoning;6832763;20191109094846;W03-D-Sint-Niklaas-FH02;6832763;20191109094846;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;25839786;20200113145436;3500130;60370000;16086;Klein-Hulststraat;112;;9100;Sint-Niklaas;;134799,608;206401,046;;Y;NA;0;0;Unknown;;;None;;;;;;;;;;;;1;11262889;;LU;1;;;;;;N;;;;;;;;;;;;;;;;2;0;0;2;NL;MDU;Klein-Hulststraat112
;;;Zoning;6832763;20191109094846;W03-D-Sint-Niklaas-FH02;6832763;20191109094846;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;25839786;20200113145436;3500130;60370000;16086;Klein-Hulststraat;112;;9100;Sint-Niklaas;;134799,608;206401,046;;Y;NA;0;0;Unknown;;;None;;;;;;;;;;;;2;11262890;;LU;1;;;;;;N;;;;;;;;;;;;;;;;2;0;0;2;NL;MDU;Klein-Hulststraat112
;;;Zoning;6832763;20191109094846;W03-D-Sint-Niklaas-FH02;6832763;20191109094846;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;25839756;20200113144834;4017159;60370000;20504;Mercatorstraat;56;;9100;Sint-Niklaas;;134457,941;206669,871;;N;IRREG;0;0;Unknown;;;None;;;;;;;;;;;;1;11262888;;BU;1;;;;;;N;;;;;;;;;;;;;;;;0;1;0;1;NL;SDU;Mercatorstraat56
;;;Zoning;6832763;20191109094846;W03-D-Sint-Niklaas-FH02;6832763;20191109094846;W03-D-Sint-Niklaas-FH02;19109;FTTH-Cu;;;;;;;;;;25839794;20200113145634;4449109;60370000;20504;Mercatorstraat;25;;9100;Sint-Niklaas;;134338,438;206694,034;;N;IRREG;0;0;Unknown;;;None;;;;;;;;;;;;1;11262891;;LU;1;;;;;;N;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Mercatorstraat25
