File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;adres
;;;Zoning;7577430;20191109094845;W03-C-Knokke-Heist-FH04;7577430;20191109094845;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;25756396;20200108144517;320868;33860000;17524;Kustlaan;139;;8300;Knokke-Heist;;75525;227741;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11261106;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Kustlaan139
;;;Zoning;7577430;20191109094845;W03-C-Knokke-Heist-FH04;7577430;20191109094845;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;25756751;20200108144507;320874;33860000;35710;Zeedijk-Het Zoute;760;;8300;Knokke-Heist;;75597;227826;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11261521;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Zeedijk-Het Zoute760
;;;Zoning;7577430;20191109094845;W03-C-Knokke-Heist-FH04;7577430;20191109094845;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;25756742;20200108144507;320876;33860000;35710;Zeedijk-Het Zoute;754;;8300;Knokke-Heist;;75540;227810;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11261516;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Zeedijk-Het Zoute754
;;;Zoning;7577430;20191109094845;W03-C-Knokke-Heist-FH04;7577430;20191109094845;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;25756746;20200108144507;320877;33860000;35710;Zeedijk-Het Zoute;755;;8300;Knokke-Heist;;75546;227813;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;3;11261519;;LU;1;;;;;;;;;;;;;;;;;;;;;;3;0;0;3;NL;MDU;Zeedijk-Het Zoute755
;;;Zoning;7577430;20191109094845;W03-C-Knokke-Heist-FH04;7577430;20191109094845;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;25756746;20200108144507;320877;33860000;35710;Zeedijk-Het Zoute;755;;8300;Knokke-Heist;;75546;227813;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;2;11261518;;LU;1;;;;;;;;;;;;;;;;;;;;;;3;0;0;3;NL;MDU;Zeedijk-Het Zoute755
;;;Zoning;7577430;20191109094845;W03-C-Knokke-Heist-FH04;7577430;20191109094845;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;25756746;20200108144507;320877;33860000;35710;Zeedijk-Het Zoute;755;;8300;Knokke-Heist;;75546;227813;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11261517;;LU;1;;;;;;;;;;;;;;;;;;;;;;3;0;0;3;NL;MDU;Zeedijk-Het Zoute755
;;;Zoning;7577430;20191109094845;W03-C-Knokke-Heist-FH04;7577430;20191109094845;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;25756451;20200108144520;321345;33860000;17524;Kustlaan;237;;8300;Knokke-Heist;;75722;227816;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11261149;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Kustlaan237
;;;Zoning;7577430;20191109094845;W03-C-Knokke-Heist-FH04;7577430;20191109094845;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;25756465;20200108144521;321346;33860000;17524;Kustlaan;271;;8300;Knokke-Heist;;75774;227835;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11261182;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Kustlaan271
;;;Zoning;7577430;20191109094845;W03-C-Knokke-Heist-FH04;7577430;20191109094845;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;25756472;20200108144521;321347;33860000;17524;Kustlaan;273;;8300;Knokke-Heist;;75806;227847;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11261183;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Kustlaan273
;;;Zoning;7577430;20191109094845;W03-C-Knokke-Heist-FH04;7577430;20191109094845;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;;;;;;;;;25756486;20200108144521;321349;33860000;17524;Kustlaan;303;;8300;Knokke-Heist;;75865;227869;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;;;;;;1;11261194;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Kustlaan303
