File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;adres
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;754382;20191016183618;3044769;37370000;29089;Sint-Maartensdal;2;;3000;Leuven;;173685,04;174782,142;;N;MON;11;0;Undefined;Unknown;E - CAT5e-6;None;;;;;;;;;;;;1;1898928;3566031;LU;1;1;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;130;0;2;132;NL;MDU;Sint-Maartensdal2
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;754382;20191016183618;3044769;37370000;29089;Sint-Maartensdal;2;;3000;Leuven;;173685,04;174782,142;;N;MON;11;0;Undefined;Unknown;E - CAT5e-6;None;;;;;;;;;;;;2;1898929;3566032;LU;1;2;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;130;0;2;132;NL;MDU;Sint-Maartensdal2
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;754382;20191016183618;3044769;37370000;29089;Sint-Maartensdal;2;;3000;Leuven;;173685,04;174782,142;;N;MON;11;0;Undefined;Unknown;E - CAT5e-6;None;;;;;;;;;;;;3;1898930;3566033;LU;1;3;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;130;0;2;132;NL;MDU;Sint-Maartensdal2
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;754382;20191016183618;3044769;37370000;29089;Sint-Maartensdal;2;;3000;Leuven;;173685,04;174782,142;;N;MON;11;0;Undefined;Unknown;E - CAT5e-6;None;;;;;;;;;;;;4;1898931;3566034;LU;1;4;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;130;0;2;132;NL;MDU;Sint-Maartensdal2
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;754382;20191016183618;3044769;37370000;29089;Sint-Maartensdal;2;;3000;Leuven;;173685,04;174782,142;;N;MON;11;0;Undefined;Unknown;E - CAT5e-6;None;;;;;;;;;;;;5;1898932;886811;LU;1;5;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;130;0;2;132;NL;MDU;Sint-Maartensdal2
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;754382;20191016183618;3044769;37370000;29089;Sint-Maartensdal;2;;3000;Leuven;;173685,04;174782,142;;N;MON;11;0;Undefined;Unknown;E - CAT5e-6;None;;;;;;;;;;;;6;1898933;1737677;LU;1;6;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;130;0;2;132;NL;MDU;Sint-Maartensdal2
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;754382;20191016183618;3044769;37370000;29089;Sint-Maartensdal;2;;3000;Leuven;;173685,04;174782,142;;N;MON;11;0;Undefined;Unknown;E - CAT5e-6;None;;;;;;;;;;;;7;1898934;3566035;LU;1;7;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;130;0;2;132;NL;MDU;Sint-Maartensdal2
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;754382;20191016183618;3044769;37370000;29089;Sint-Maartensdal;2;;3000;Leuven;;173685,04;174782,142;;N;MON;11;0;Undefined;Unknown;E - CAT5e-6;None;;;;;;;;;;;;8;1898935;3566036;LU;1;8;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;130;0;2;132;NL;MDU;Sint-Maartensdal2
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;754382;20191016183618;3044769;37370000;29089;Sint-Maartensdal;2;;3000;Leuven;;173685,04;174782,142;;N;MON;11;0;Undefined;Unknown;E - CAT5e-6;None;;;;;;;;;;;;9;1898936;3566037;LU;1;9;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;130;0;2;132;NL;MDU;Sint-Maartensdal2
;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;754382;20191016183618;3044769;37370000;29089;Sint-Maartensdal;2;;3000;Leuven;;173685,04;174782,142;;N;MON;11;0;Undefined;Unknown;E - CAT5e-6;None;;;;;;;;;;;;10;1898937;3566038;LU;1;10;;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;;;;;;;;;;;;;130;0;2;132;NL;MDU;Sint-Maartensdal2
