LAM_MK;SSV_Action;LU_Key;SSV_Action_LU
4444753;DELETE;11095092;DELETE
4447882;DELETE;11095091;DELETE
1513965;DELETE;2116950;DELETE
4447909;DELETE;2112414;DELETE
4447904;DELETE;11095088;DELETE
3525075;DELETE;11194794;DELETE
4447907;DELETE;2094914;DELETE
68445;DELETE;2124677;DELETE
68449;DELETE;11095095;DELETE
4447894;DELETE;11095094;DELETE
4447928;DELETE;11194787;DELETE
4447902;DELETE;11095086;DELETE
3529869;DELETE;11100659;DELETE
4447899;DELETE;11095090;DELETE
6388618;DELETE;11194793;DELETE
68411;DELETE;11194792;DELETE
4449057;DELETE;11194789;DELETE
4447905;DELETE;11194811;DELETE
;;11194748;DELETE
;;11194791;DELETE
;;11095087;DELETE
;;11095093;DELETE
;;2097950;DELETE
;;2101771;DELETE
;;11194807;DELETE
;;2096703;DELETE
;;11095085;DELETE
;;11194790;DELETE
;;2097506;DELETE
;;11095089;DELETE
;;2096702;DELETE
