File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LU;BU;SU;TOTAAL;LANGUAGE;BT;adres
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;21704397;20200106111850;901192;41630000;27289;Scheerstraat;12;;2800;Mechelen;;157792,039;190946,926;;N;GLASS;3;0;Unknown;Unknown;;None;;;;;;;;;;;;1;11231807;;LU;1;;;;;;;;;;;;;;;;;;;;;;1;0;0;1;NL;SDU;Scheerstraat12
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;21704316;20200106150751;904909;41630000;9632;Geitestraat;18;;2800;Mechelen;;157809,112;190779,25;;Y;NA;3;10;Unknown;Unknown;;None;;;;;;;;;;;;1;11231755;;BU;1;;;;;;;;;;;;;;;;;;;;;;0;1;0;1;NL;SDU;Geitestraat18
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450495;20200106124532;905279;41630000;23024;Onder-den-Toren;8;A;2800;Mechelen;;157660,617;190935,126;;Y;NA;3;12;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;1;1593837;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;3;1;0;4;NL;MDU;Onder-den-Toren8A
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;450500;20200106142114;905286;41630000;1640;Begijnenstraat;11;;2800;Mechelen;;157683,362;190847,824;;N;IRREG;6;14;Unknown;Unknown;;None;;;;;;;;;;;;1;1559560;;LU;1;;;;;;Y;#A.1/DP.;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;9;0;0;9;NL;MDU;Begijnenstraat11
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;21704608;20200106133637;905511;41630000;32627;Vismarkt;3;;2800;Mechelen;;157537,97;190722,873;;Y;NA;2;3;Unknown;Unknown;;None;;;;;;;;;;;;1;11231835;;BU;1;;;;;;;;;;;;;;;;;;;;;;0;1;0;1;NL;SDU;Vismarkt3
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;21704371;20200106134313;905663;41630000;22017;Nauwstraat;3;;2800;Mechelen;;157624,258;190669,499;;Y;NA;3;10;Unknown;Unknown;;None;;;;;;;;;;;;1;11231794;;LU;1;;;;;;;;;;;;;;;;;;;;;;2;0;0;2;NL;MDU;Nauwstraat3
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;25717429;20200106150611;905713;41630000;20401;Melaan;16;;2800;Mechelen;;157475,244;190929,206;;N;NA;0;0;Unknown;Fiber;;None;;;;;;;;;;;;1;11259323;;LU;1;;;;;;N;;;;;;;;;;;;;;;;2;0;0;2;NL;MDU;Melaan16
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;7092643;20191206132132;929564;41630000;6329;Goswin de Stassartstraat;31;;2800;Mechelen - Malines;;157804,994;191268,371;;Y;NA;3;10;Unknown;Unknown;D - Facade Box;None;;;;;;;;;;;;1;10446698;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;2;1;0;3;NL;MDU;Goswin de Stassartstraat31
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;451909;20200106113431;929598;41630000;5972;Kanunnik De Deckerstraat;17;;2800;Mechelen;;157667,715;191209,101;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;;;;;;1;1566299;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU;Kanunnik De Deckerstraat17
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;10472545;20200106094426;929599;41630000;5972;Kanunnik De Deckerstraat;1;;2800;Mechelen - Malines;;157790,851;191299,015;;Y;NA;1;4;Unknown;Unknown;;None;;;;;;;;;;;;1;1557409;3864146;LU;1;;LU1;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU;Kanunnik De Deckerstraat1
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;7092644;20191206132132;930426;41630000;798;Arme-Clarenstraat;26;;2800;Mechelen - Malines;;157414,749;191059,768;;N;GLASS;2;20;Unknown;Unknown;;None;;;;;;;;;;;;1;10448325;;BU;1;;;;;;Y;;INDU;NIJVERHEIDSGEBOUW - ENTREPRISE INDUSTRIELLE;;;;;;;;;;;;;0;1;2;3;NL;SDU;Arme-Clarenstraat26
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;427006;20191206132015;3029548;41630000;798;Arme-Clarenstraat;24;;2800;Mechelen;;157426,172;191054,611;;Y;NA;1;3;Unknown;Unknown;;None;;;;;;;;;;;;1;1572171;;BU;1;;;;;;Y;;SPORTS;SPORTGEBOUW - INSTALLATION SPORTIVES;;;;;;;;;;;;;0;1;0;1;NL;SDU;Arme-Clarenstraat24
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;25717624;20200106151059;3030806;41630000;1625;Nieuwe Beggaardenstraat;39;;2800;Mechelen;;157356,258;191048,557;;N;NA;0;0;Unknown;Fiber;;None;;;;;;;;;;;;1;11259368;;LU;1;;;;;;N;;;;;;;;;;;;;;;;2;0;0;2;NL;MDU;Nieuwe Beggaardenstraat39
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;428300;20200106151859;3031557;41630000;3390;Borzestraat;26;;2800;Mechelen;;157809,548;190694,965;;Y;NA;3;10;Unknown;Unknown;;None;;;;;;;;;;;;5;1573277;;BU;1;;;;;;Y;#HA.GV/L/K6;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;COMM;;;;;;;;;;;;0;1;0;1;NL;SDU;Borzestraat26
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;429180;20191206132010;3033125;41630000;6243;Jef Denynplein;2;;2800;Mechelen;;157519,046;191047,863;;N;IRREG;3;15;Unknown;Unknown;;None;;;;;;;;;;;;1;1568868;;BU;1;;;;;;Y;;EDUC;ONDERWIJSGEBOUW - BATIMENT D' ENSEIGNEMENT;;;;;;;;;;;;;0;1;1;2;NL;SDU;Jef Denynplein2
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;21704349;20200106145041;3037648;41630000;13778;Ijzerenleen;42;;2800;Mechelen;;157675,329;190727,555;;N;MON;4;0;Unknown;Unknown;;None;;;;;;;;;;;;1;11231769;;BU;1;;;;;;;;;;;;;;;;;;;;;;0;1;0;1;NL;SDU;Ijzerenleen42
;;;Zoning;6833207;20200106153141;W03-D-Mechelen-FH01;6833207;20200106153141;W03-D-Mechelen-FH01;19106;FTTH-Cu;;;;;;;;;;436863;20200106152053;3047268;41630000;27117;Schaalstraat;12;;2800;Mechelen;;157734,935;190672,31;;Y;NA;3;12;Unknown;Unknown;;None;;;;;;;;;;;;1;1561085;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;1;0;0;1;NL;SDU;Schaalstraat12
