Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
HASSELT - FH05;2426312;1;BL0003;2426312;BL0003;BUILDING template;;Oude Luikerbaan;104;
HASSELT - FH05;2426313;1;BL0006;2426313;BL0006;BUILDING template;;Oude Luikerbaan;105;
HASSELT - FH05;2426315;1;BL0003;2426315;BL0003;BUILDING template;;Oude Luikerbaan;106;
HASSELT - FH05;328542;1;BL0006;328542;BL0006;BUILDING template;;Oude Luikerbaan;107;
HASSELT - FH05;2426317;1;BL0003;2426317;BL0003;BUILDING template;;Oude Luikerbaan;108;
HASSELT - FH05;4227121;1;BL0003;4227121;BL0003;BUILDING template;;Oude Luikerbaan;110;
HASSELT - FH05;2426318;1;BL0003;2426318;BL0003;BUILDING template;;Oude Luikerbaan;112;
HASSELT - FH05;2426319;1;BL0003;2426319;BL0003;BUILDING template;;Oude Luikerbaan;118;
HASSELT - FH05;2426320;1;BL0003;2426320;BL0003;BUILDING template;;Oude Luikerbaan;120;
HASSELT - FH05;4896735;1;BL0006;4896735;BL0006;BUILDING template;;Oude Luikerbaan;121;
HASSELT - FH05;2426322;1;BL0003;2426322;BL0003;BUILDING template;;Oude Luikerbaan;122;
HASSELT - FH05;4896736;1;BL0006;4896736;BL0006;BUILDING template;;Oude Luikerbaan;123;
HASSELT - FH05;4896738;1;BL0006;4896738;BL0006;BUILDING template;;Oude Luikerbaan;125;
HASSELT - FH05;2426323;1;BL0003;2426323;BL0003;BUILDING template;;Oude Luikerbaan;126;
HASSELT - FH05;3922303;1;BL0006;3922303;BL0006;BUILDING template;;Oude Luikerbaan;127;
HASSELT - FH05;328546;1;BL0003;328546;BL0003;BUILDING template;;Oude Luikerbaan;138;
HASSELT - FH05;2426326;1;BL0003;2426326;BL0003;BUILDING template;;Oude Luikerbaan;140;
HASSELT - FH05;328540;1;BL0003;328540;BL0003;BUILDING template;;Oude Luikerbaan;142;
HASSELT - FH05;2426330;1;BL0003;2426330;BL0003;BUILDING template;;Oude Luikerbaan;144;
HASSELT - FH05;2426331;1;BL0003;2426331;BL0003;BUILDING template;;Oude Luikerbaan;146;
HASSELT - FH05;2426332;1;BL0003;2426332;BL0003;BUILDING template;;Oude Luikerbaan;148;
HASSELT - FH05;2426333;1;BL0003;2426333;BL0003;BUILDING template;;Oude Luikerbaan;150;
HASSELT - FH05;3990101;1;BL0003;3990101;BL0003;BUILDING template;;Oude Luikerbaan;152;
HASSELT - FH05;328543;1;BL0003;328543;BL0003;BUILDING template;;Oude Luikerbaan;156;
HASSELT - FH05;2426334;1;BL0003;2426334;BL0003;BUILDING template;Gouverneur Roppesingel 133-135_Oude Luikerbaan 160;Oude Luikerbaan;160;
