Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH06;2760502;;BL0609;2760502;BL0609;BUILDING template;;D Hooghestraat;2;B
KNOKKE-HEIST - FH06;2760506;;BL0610;2760506;BL0610;BUILDING template;;D Hooghestraat;9;
KNOKKE-HEIST - FH06;2760507;;BL0609;2760507;BL0609;BUILDING template;;D Hooghestraat;10;
KNOKKE-HEIST - FH06;2760512;;BL0615;2760512;BL0615;BUILDING template;;Julius Hostestraat;4;
KNOKKE-HEIST - FH06;2760514;;BL0612;2760514;BL0612;BUILDING template;Julius Hostestraat 5-7;Julius Hostestraat;5;
KNOKKE-HEIST - FH06;2760517;;BL0612;2760517;BL0612;BUILDING template;;Julius Hostestraat;11;
KNOKKE-HEIST - FH06;2761403;;BL0608;2761403;BL0608;BUILDING template;Zeedijk-Knokke 604-605;Zeedijk-Knokke;605;
KNOKKE-HEIST - FH06;2761404;;BL0608;2761404;BL0608;BUILDING template;;Zeedijk-Knokke;606;
KNOKKE-HEIST - FH06;2761405;;BL0608;2761405;BL0608;BUILDING template;;Zeedijk-Knokke;607;
KNOKKE-HEIST - FH06;2761407;;BL0608;2761407;BL0608;BUILDING template;Zeedijk-Knokke 608-609-610;Zeedijk-Knokke;608;
KNOKKE-HEIST - FH06;2761410;;BL0608;2761410;BL0608;BUILDING template;Zeedijk-Knokke 608-609-610;Zeedijk-Knokke;610;
KNOKKE-HEIST - FH06;2761411;;BL0608;2761411;BL0608;BUILDING template;Zeedijk-Knokke 611-612;Zeedijk-Knokke;611;
KNOKKE-HEIST - FH06;2761413;;BL0608;2761413;BL0608;BUILDING template;Zeedijk-Knokke 613-614;Zeedijk-Knokke;613;
KNOKKE-HEIST - FH06;2761415;;BL0608;2761415;BL0608;BUILDING template;Zeedijk-Knokke 617-618;Zeedijk-Knokke;617;
KNOKKE-HEIST - FH06;2761416;;BL0608;2761416;BL0608;BUILDING template;Zeedijk-Knokke 617-618;Zeedijk-Knokke;618;
KNOKKE-HEIST - FH06;2761423;;BL0608;2761423;BL0608;BUILDING template;;Zeedijk-Knokke;623;
KNOKKE-HEIST - FH06;2761426;;BL0608;2761426;BL0608;BUILDING template;Zeedijk-Knokke 625-626;Zeedijk-Knokke;625;
KNOKKE-HEIST - FH06;2761427;;BL0608;2761427;BL0608;BUILDING template;;Zeedijk-Knokke;627;
KNOKKE-HEIST - FH06;2761433;;BL0608;2761433;BL0608;BUILDING template;Zeedijk-Knokke 629-630;Zeedijk-Knokke;629;
KNOKKE-HEIST - FH06;2761434;;BL0608;2761434;BL0608;BUILDING template;Zeedijk-Knokke 629-630;Zeedijk-Knokke;630;
KNOKKE-HEIST - FH06;2761443;;BL0609;2761443;BL0609;BUILDING template;Zeedijk-Knokke 633-634-635;Zeedijk-Knokke;634;
KNOKKE-HEIST - FH06;2761866;;BL0614;2761866;BL0614;BUILDING template;;Koningslaan;97;
KNOKKE-HEIST - FH06;2761873;;BL0614;2761873;BL0614;BUILDING template;;Koningslaan;103;
KNOKKE-HEIST - FH06;2761879;;BL0614;2761879;BL0614;BUILDING template;;Koningslaan;107;
KNOKKE-HEIST - FH06;2761884;;BL0614;2761884;BL0614;BUILDING template;;Koningslaan;113;
KNOKKE-HEIST - FH06;2761886;;BL0614;2761886;BL0614;BUILDING template;;Koningslaan;115;
KNOKKE-HEIST - FH06;2761889;;BL0614;2761889;BL0614;BUILDING template;Koningslaan 119-121;Koningslaan;119;
KNOKKE-HEIST - FH06;2761893;;BL0614;2761893;BL0614;BUILDING template;;Koningslaan;123;
KNOKKE-HEIST - FH06;2761904;;BL0613;2761904;BL0613;BUILDING template;;Koningslaan;137;
KNOKKE-HEIST - FH06;2761913;;BL0613;2761913;BL0613;BUILDING template;Zeedijk-Albertstrand 576_Koningslaan 145-147-149-153;Koningslaan;149;
KNOKKE-HEIST - FH06;2761949;;BL0615;2761949;BL0615;BUILDING template;;Koningslaan;198;
KNOKKE-HEIST - FH06;2761950;;BL0615;2761950;BL0615;BUILDING template;;Koningslaan;200;
KNOKKE-HEIST - FH06;2761952;;BL0615;2761952;BL0615;BUILDING template;Koningslaan 202-204;Koningslaan;202;
KNOKKE-HEIST - FH06;2761955;;BL0615;2761955;BL0615;BUILDING template;;Koningslaan;206;
KNOKKE-HEIST - FH06;2761956;;BL0615;2761956;BL0615;BUILDING template;;Koningslaan;208;
KNOKKE-HEIST - FH06;2761958;;BL0615;2761958;BL0615;BUILDING template;;Koningslaan;212;
KNOKKE-HEIST - FH06;2761961;;BL0615;2761961;BL0615;BUILDING template;;Koningslaan;216;
KNOKKE-HEIST - FH06;2761962;;BL0615;2761962;BL0615;BUILDING template;;Koningslaan;220;
KNOKKE-HEIST - FH06;2761964;;BL0615;2761964;BL0615;BUILDING template;;Koningslaan;222;
KNOKKE-HEIST - FH06;2761966;;BL0615;2761966;BL0615;BUILDING template;;Koningslaan;224;
KNOKKE-HEIST - FH06;2761968;;BL0615;2761968;BL0615;BUILDING template;;Koningslaan;226;
KNOKKE-HEIST - FH06;2761970;;BL0615;2761970;BL0615;BUILDING template;;Koningslaan;230;
KNOKKE-HEIST - FH06;2761976;;BL0612;2761976;BL0612;BUILDING template;;Koningslaan;240;
KNOKKE-HEIST - FH06;2761978;;BL0612;2761978;BL0612;BUILDING template;;Koningslaan;242;
KNOKKE-HEIST - FH06;2761979;;BL0612;2761979;BL0612;BUILDING template;;Koningslaan;244;
KNOKKE-HEIST - FH06;2761981;;BL0612;2761981;BL0612;BUILDING template;;Koningslaan;246;
KNOKKE-HEIST - FH06;2761983;;BL0612;2761983;BL0612;BUILDING template;;Koningslaan;248;
KNOKKE-HEIST - FH06;2762804;;BL0616;2762804;BL0616;BUILDING template;;Leopoldlaan;67;
