Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH11;8334234;;BL1138;4177137;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;21;
KNOKKE-HEIST - FH11;2765817;;BL1142;2765817;BL1142;BUILDING template;Albrecht Rodenbachstraat;22;
KNOKKE-HEIST - FH11;8338479;;BL1142;2765817;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;22;
KNOKKE-HEIST - FH11;4160433;;BL1138;4160433;BL1138;BUILDING template;Albrecht Rodenbachstraat;23;
KNOKKE-HEIST - FH11;8361228;;BL1138;4160433;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;23;
KNOKKE-HEIST - FH11;4336885;;BL1142;4336885;BL1142;BUILDING template;Albrecht Rodenbachstraat;24;
KNOKKE-HEIST - FH11;8362950;;BL1142;4336885;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;24;
KNOKKE-HEIST - FH11;2765818;;BL1138;2765818;BL1138;BUILDING template;Albrecht Rodenbachstraat;25;
KNOKKE-HEIST - FH11;8349883;;BL1138;2765818;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;25;
KNOKKE-HEIST - FH11;2765819;;BL1142;2765819;BL1142;BUILDING template;Albrecht Rodenbachstraat;26;
KNOKKE-HEIST - FH11;8337422;;BL1142;2765819;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;26;
KNOKKE-HEIST - FH11;301636;;BL1138;301636;BL1138;BUILDING template;Albrecht Rodenbachstraat;27;
KNOKKE-HEIST - FH11;8359654;;BL1138;301636;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;27;
KNOKKE-HEIST - FH11;2765820;;BL1142;2765820;BL1142;BUILDING template;Albrecht Rodenbachstraat;28;
KNOKKE-HEIST - FH11;8362965;;BL1142;2765820;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;28;
KNOKKE-HEIST - FH11;2765821;;BL1138;2765821;BL1138;BUILDING template;Albrecht Rodenbachstraat;29;
KNOKKE-HEIST - FH11;8349378;;BL1138;2765821;BL1138;(L/B/S)U template;Albrecht Rodenbachstraat;29;
KNOKKE-HEIST - FH11;2765823;;BL1142;2765823;BL1142;BUILDING template;Albrecht Rodenbachstraat;30;
KNOKKE-HEIST - FH11;8333232;;BL1142;2765823;BL1142;(L/B/S)U template;Albrecht Rodenbachstraat;30;
KNOKKE-HEIST - FH11;302637;;BL1117;302637;BL1117;BUILDING template;Badersstraat;1;
KNOKKE-HEIST - FH11;8357210;;BL1117;302637;BL1117;(L/B/S)U template;Badersstraat;1;
KNOKKE-HEIST - FH11;302639;;BL1118;302639;BL1118;BUILDING template;Badersstraat;2;
KNOKKE-HEIST - FH11;8340931;;BL1118;302639;BL1118;(L/B/S)U template;Badersstraat;2;
KNOKKE-HEIST - FH11;2757926;;BL1117;2757926;BL1117;BUILDING template;Badersstraat;3;
KNOKKE-HEIST - FH11;8350782;;BL1117;2757926;BL1117;(L/B/S)U template;Badersstraat;3;
KNOKKE-HEIST - FH11;302640;;BL1118;302640;BL1118;BUILDING template;Badersstraat;4;
KNOKKE-HEIST - FH11;8335738;;BL1118;302640;BL1118;(L/B/S)U template;Badersstraat;4;
KNOKKE-HEIST - FH11;4337269;;BL1117;4337269;BL1117;BUILDING template;Badersstraat;5;
KNOKKE-HEIST - FH11;8356676;;BL1117;4337269;BL1117;(L/B/S)U template;Badersstraat;5;
KNOKKE-HEIST - FH11;4337363;;BL1118;4337363;BL1118;BUILDING template;Badersstraat;6;
KNOKKE-HEIST - FH11;8361158;;BL1118;4337363;BL1118;(L/B/S)U template;Badersstraat;6;
KNOKKE-HEIST - FH11;2757927;;BL1117;2757927;BL1117;BUILDING template;Badersstraat;7;
KNOKKE-HEIST - FH11;8351315;;BL1117;2757927;BL1117;(L/B/S)U template;Badersstraat;7;
KNOKKE-HEIST - FH11;2757928;;BL1118;2757928;BL1118;BUILDING template;Badersstraat;8;
KNOKKE-HEIST - FH11;8356150;;BL1118;2757928;BL1118;(L/B/S)U template;Badersstraat;8;
KNOKKE-HEIST - FH11;2757929;;BL1117;2757929;BL1117;BUILDING template;Badersstraat;9;
KNOKKE-HEIST - FH11;8361722;;BL1117;2757929;BL1117;(L/B/S)U template;Badersstraat;9;
KNOKKE-HEIST - FH11;2757930;;BL1118;2757930;BL1118;BUILDING template;Badersstraat;10;
KNOKKE-HEIST - FH11;8342520;;BL1118;2757930;BL1118;(L/B/S)U template;Badersstraat;10;
KNOKKE-HEIST - FH11;2757931;;BL1117;2757931;BL1117;BUILDING template;Badersstraat;11;
KNOKKE-HEIST - FH11;8361723;;BL1117;2757931;BL1117;(L/B/S)U template;Badersstraat;11;
KNOKKE-HEIST - FH11;2757932;;BL1117;2757932;BL1117;BUILDING template;Badersstraat;13;
KNOKKE-HEIST - FH11;8335755;;BL1117;2757932;BL1117;(L/B/S)U template;Badersstraat;13;
KNOKKE-HEIST - FH11;2757933;;BL1118;2757933;BL1118;BUILDING template;Badersstraat;14;
KNOKKE-HEIST - FH11;8339430;;BL1118;2757933;BL1118;(L/B/S)U template;Badersstraat;14;
KNOKKE-HEIST - FH11;302644;;BL1117;302644;BL1117;BUILDING template;Badersstraat;15;
KNOKKE-HEIST - FH11;8362882;;BL1117;302644;BL1117;(L/B/S)U template;Badersstraat;15;
KNOKKE-HEIST - FH11;302646;;BL1118;302646;BL1118;BUILDING template;Badersstraat;16;
KNOKKE-HEIST - FH11;8332574;;BL1118;302646;BL1118;(L/B/S)U template;Badersstraat;16;
KNOKKE-HEIST - FH11;302645;;BL1117;302645;BL1117;BUILDING template;Badersstraat;17;
KNOKKE-HEIST - FH11;8361734;;BL1117;302645;BL1117;(L/B/S)U template;Badersstraat;17;
KNOKKE-HEIST - FH11;302647;;BL1118;302647;BL1118;BUILDING template;Badersstraat;18;
KNOKKE-HEIST - FH11;8361180;;BL1118;302647;BL1118;(L/B/S)U template;Badersstraat;18;
KNOKKE-HEIST - FH11;4190337;;BL1117;4190337;BL1117;BUILDING template;Badersstraat;19;
