Projectnummer;LAM MK;LU Key;CLUSTER_NR;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH09;278;278;3;BL0917;BL0917;BUILDING template;Serweytens de Mercxstraat;21;
KNOKKE-HEIST - FH09;9883;9883;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;2;
KNOKKE-HEIST - FH09;9885;9885;1;BL0905;BL0905;BUILDING template;Jozef Dhoorelaan;18;
KNOKKE-HEIST - FH09;71496;71496;2;BL0910;BL0910;BUILDING template;Heldenplein;1;
KNOKKE-HEIST - FH09;71499;71499;2;BL0918;BL0918;BUILDING template;Heldenplein;33;
KNOKKE-HEIST - FH09;71632;71632;2;BL0911;BL0911;BUILDING template;Serweytens de Mercxstraat;34;
KNOKKE-HEIST - FH09;71634;71634;2;BL0911;BL0911;BUILDING template;Serweytens de Mercxstraat;24;
KNOKKE-HEIST - FH09;71699;71699;2;BL0911;BL0911;BUILDING template;Albatrosstraat;21;
KNOKKE-HEIST - FH09;71700;71700;2;BL0911;BL0911;BUILDING template;Albatrosstraat;19;
KNOKKE-HEIST - FH09;71705;71705;2;BL0918;BL0918;BUILDING template;Albatrosstraat;8;
KNOKKE-HEIST - FH09;71706;71706;2;BL0911;BL0911;BUILDING template;Albatrosstraat;13;
KNOKKE-HEIST - FH09;71710;71710;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;18;
KNOKKE-HEIST - FH09;71712;71712;2;BL0911;BL0911;BUILDING template;Graaf d Ursellaan;21;
KNOKKE-HEIST - FH09;71713;71713;2;BL0918;BL0918;BUILDING template;Graaf d Ursellaan;2;
KNOKKE-HEIST - FH09;71737;71737;1;BL0909;BL0909;BUILDING template;Elizabetlaan;325;
KNOKKE-HEIST - FH09;71741;71741;1;BL0909;BL0909;BUILDING template;Duinenstraat;1;
KNOKKE-HEIST - FH09;71743;71743;1;BL0908;BL0908;BUILDING template;Duinenstraat;2;
KNOKKE-HEIST - FH09;71747;71747;2;BL0910;BL0910;BUILDING template;O.-L.-Vrouwstraat;3;
KNOKKE-HEIST - FH09;71748;71748;2;BL0918;BL0918;BUILDING template;O.-L.-Vrouwstraat;2;
KNOKKE-HEIST - FH09;290493;290493;1;BL0907;BL0907;BUILDING template;Vuurtorenstraat;1;
KNOKKE-HEIST - FH09;290495;290495;1;BL0907;BL0907;BUILDING template;Vuurtorenstraat;3;
KNOKKE-HEIST - FH09;290499;290499;1;BL0907;BL0907;BUILDING template;Kardinaal Mercierstraat;4;
KNOKKE-HEIST - FH09;290630;290630;1;BL0906;BL0906;BUILDING template;Elizabetlaan;411;
KNOKKE-HEIST - FH09;290632;290632;1;BL0906;BL0906;BUILDING template;Elizabetlaan;399;
