Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
MECHELEN - FH02;3035342;;BL0028;3035342;BL0028;BUILDING template;Albert Geudensstraat;1;
MECHELEN - FH02;11090250;;BL0028;3035342;BL0028;(L/B/S)U template;Albert Geudensstraat;1;
MECHELEN - FH02;11090246;;BL0028;3035342;BL0028;(L/B/S)U template;Albert Geudensstraat;1;
MECHELEN - FH02;11090249;;BL0028;3035342;BL0028;(L/B/S)U template;Albert Geudensstraat;1;
MECHELEN - FH02;11090247;;BL0028;3035342;BL0028;(L/B/S)U template;Albert Geudensstraat;1;
MECHELEN - FH02;11090248;;BL0028;3035342;BL0028;(L/B/S)U template;Albert Geudensstraat;1;
MECHELEN - FH02;11090243;;BL0028;3035342;BL0028;(L/B/S)U template;Albert Geudensstraat;1;
MECHELEN - FH02;11090245;;BL0028;3035342;BL0028;(L/B/S)U template;Albert Geudensstraat;1;
MECHELEN - FH02;1557811;;BL0028;3035342;BL0028;(L/B/S)U template;Albert Geudensstraat;1;
MECHELEN - FH02;11090244;;BL0028;3035342;BL0028;(L/B/S)U template;Albert Geudensstraat;1;
MECHELEN - FH02;11090242;;BL0028;3035342;BL0028;(L/B/S)U template;Albert Geudensstraat;1;
MECHELEN - FH02;383268;;BL0027;383268;BL0027;BUILDING template;Albert Geudensstraat;2;
MECHELEN - FH02;11089268;;BL0027;383268;BL0027;(L/B/S)U template;Albert Geudensstraat;2;
MECHELEN - FH02;11089271;;BL0027;383268;BL0027;(L/B/S)U template;Albert Geudensstraat;2;
MECHELEN - FH02;11089273;;BL0027;383268;BL0027;(L/B/S)U template;Albert Geudensstraat;2;
MECHELEN - FH02;11089275;;BL0027;383268;BL0027;(L/B/S)U template;Albert Geudensstraat;2;
MECHELEN - FH02;11089274;;BL0027;383268;BL0027;(L/B/S)U template;Albert Geudensstraat;2;
MECHELEN - FH02;11089272;;BL0027;383268;BL0027;(L/B/S)U template;Albert Geudensstraat;2;
MECHELEN - FH02;11089269;;BL0027;383268;BL0027;(L/B/S)U template;Albert Geudensstraat;2;
MECHELEN - FH02;11089270;;BL0027;383268;BL0027;(L/B/S)U template;Albert Geudensstraat;2;
MECHELEN - FH02;4232314;;BL0028;4232314;BL0028;BUILDING template;Albert Geudensstraat;3;
MECHELEN - FH02;1576136;;BL0028;4232314;BL0028;(L/B/S)U template;Albert Geudensstraat;3;
MECHELEN - FH02;1576135;;BL0028;4232314;BL0028;(L/B/S)U template;Albert Geudensstraat;3;
MECHELEN - FH02;11090251;;BL0028;4232314;BL0028;(L/B/S)U template;Albert Geudensstraat;3;
MECHELEN - FH02;1576137;;BL0028;4232314;BL0028;(L/B/S)U template;Albert Geudensstraat;3;
MECHELEN - FH02;383272;;BL0027;383272;BL0027;BUILDING template;Albert Geudensstraat;4;
MECHELEN - FH02;1581886;;BL0027;383272;BL0027;(L/B/S)U template;Albert Geudensstraat;4;
MECHELEN - FH02;3035344;;BL0028;3035344;BL0028;BUILDING template;Albert Geudensstraat;5;
MECHELEN - FH02;1585983;;BL0028;3035344;BL0028;(L/B/S)U template;Albert Geudensstraat;5;
MECHELEN - FH02;3035345;;BL0027;3035345;BL0027;BUILDING template;Albert Geudensstraat;6;
MECHELEN - FH02;11089267;;BL0027;3035345;BL0027;(L/B/S)U template;Albert Geudensstraat;6;
MECHELEN - FH02;11089266;;BL0027;3035345;BL0027;(L/B/S)U template;Albert Geudensstraat;6;
MECHELEN - FH02;3035346;;BL0028;3035346;BL0028;BUILDING template;Albert Geudensstraat;7;
MECHELEN - FH02;1591688;;BL0028;3035346;BL0028;(L/B/S)U template;Albert Geudensstraat;7;
MECHELEN - FH02;383271;;BL0027;383271;BL0027;BUILDING template;Albert Geudensstraat;8;
MECHELEN - FH02;1594003;;BL0027;383271;BL0027;(L/B/S)U template;Albert Geudensstraat;8;
MECHELEN - FH02;3035348;;BL0028;3035348;BL0028;BUILDING template;Albert Geudensstraat;9;
MECHELEN - FH02;11090252;;BL0028;3035348;BL0028;(L/B/S)U template;Albert Geudensstraat;9;
MECHELEN - FH02;11062018;;BL0028;3035348;BL0028;(L/B/S)U template;Albert Geudensstraat;9;
MECHELEN - FH02;1595794;;BL0028;3035348;BL0028;(L/B/S)U template;Albert Geudensstraat;9;
MECHELEN - FH02;383269;;BL0027;383269;BL0027;BUILDING template;Albert Geudensstraat;10;
MECHELEN - FH02;1558571;;BL0027;383269;BL0027;(L/B/S)U template;Albert Geudensstraat;10;
MECHELEN - FH02;3035350;;BL0028;3035350;BL0028;BUILDING template;Albert Geudensstraat;11;
MECHELEN - FH02;1560088;;BL0028;3035350;BL0028;(L/B/S)U template;Albert Geudensstraat;11;
MECHELEN - FH02;3035351;;BL0027;3035351;BL0027;BUILDING template;Albert Geudensstraat;12;
MECHELEN - FH02;1561263;;BL0027;3035351;BL0027;(L/B/S)U template;Albert Geudensstraat;12;
MECHELEN - FH02;3035353;;BL0028;3035353;BL0028;BUILDING template;Albert Geudensstraat;13;
MECHELEN - FH02;1562410;;BL0028;3035353;BL0028;(L/B/S)U template;Albert Geudensstraat;13;
MECHELEN - FH02;3035354;;BL0027;3035354;BL0027;BUILDING template;Albert Geudensstraat;14;
MECHELEN - FH02;1563641;;BL0027;3035354;BL0027;(L/B/S)U template;Albert Geudensstraat;14;
MECHELEN - FH02;3035355;;BL0028;3035355;BL0028;BUILDING template;Albert Geudensstraat;15;
MECHELEN - FH02;1564700;;BL0028;3035355;BL0028;(L/B/S)U template;Albert Geudensstraat;15;
MECHELEN - FH02;11090254;;BL0028;3035355;BL0028;(L/B/S)U template;Albert Geudensstraat;15;
MECHELEN - FH02;11090253;;BL0028;3035355;BL0028;(L/B/S)U template;Albert Geudensstraat;15;
MECHELEN - FH02;3035356;;BL0027;3035356;BL0027;BUILDING template;Albert Geudensstraat;16;
MECHELEN - FH02;1565626;;BL0027;3035356;BL0027;(L/B/S)U template;Albert Geudensstraat;16;
MECHELEN - FH02;3035357;;BL0028;3035357;BL0028;BUILDING template;Albert Geudensstraat;17;
MECHELEN - FH02;1566539;;BL0028;3035357;BL0028;(L/B/S)U template;Albert Geudensstraat;17;
MECHELEN - FH02;383270;;BL0027;383270;BL0027;BUILDING template;Albert Geudensstraat;18;
MECHELEN - FH02;11096389;;BL0027;383270;BL0027;(L/B/S)U template;Albert Geudensstraat;18;
MECHELEN - FH02;1567345;;BL0027;383270;BL0027;(L/B/S)U template;Albert Geudensstraat;18;
MECHELEN - FH02;1567346;;BL0027;383270;BL0027;(L/B/S)U template;Albert Geudensstraat;18;
MECHELEN - FH02;3035359;;BL0028;3035359;BL0028;BUILDING template;Albert Geudensstraat;19;
MECHELEN - FH02;1568077;;BL0028;3035359;BL0028;(L/B/S)U template;Albert Geudensstraat;19;
MECHELEN - FH02;3035360;;BL0028;3035360;BL0028;BUILDING template;Albert Geudensstraat;21;
MECHELEN - FH02;11089263;;BL0028;3035360;BL0028;(L/B/S)U template;Albert Geudensstraat;21;
MECHELEN - FH02;354054;;BL0031;354054;BL0031;BUILDING template;Arsenaalstraat;2;
MECHELEN - FH02;1569197;;BL0031;354054;BL0031;(L/B/S)U template;Arsenaalstraat;2;
MECHELEN - FH02;354055;;BL0031;354055;BL0031;BUILDING template;Arsenaalstraat;4;
MECHELEN - FH02;1581891;;BL0031;354055;BL0031;(L/B/S)U template;Arsenaalstraat;4;
MECHELEN - FH02;3029550;;BL0031;3029550;BL0031;BUILDING template;Arsenaalstraat;6;
MECHELEN - FH02;11090223;;BL0031;3029550;BL0031;(L/B/S)U template;Arsenaalstraat;6;
MECHELEN - FH02;1589329;;BL0031;3029550;BL0031;(L/B/S)U template;Arsenaalstraat;6;
MECHELEN - FH02;402665;;BL0032;402665;BL0032;BUILDING template;Arsenaalstraat;7;
MECHELEN - FH02;1591703;;BL0032;402665;BL0032;(L/B/S)U template;Arsenaalstraat;7;
MECHELEN - FH02;1443868;;BL0031;1443868;BL0031;BUILDING template;Arsenaalstraat;8;
MECHELEN - FH02;1594008;;BL0031;1443868;BL0031;(L/B/S)U template;Arsenaalstraat;8;
MECHELEN - FH02;4756744;;BL0032;4756744;BL0032;BUILDING template;Arsenaalstraat;9;
MECHELEN - FH02;1595804;;BL0032;4756744;BL0032;(L/B/S)U template;Arsenaalstraat;9;
MECHELEN - FH02;4767185;;BL0031;4767185;BL0031;BUILDING template;Arsenaalstraat;10;
MECHELEN - FH02;1558578;;BL0031;4767185;BL0031;(L/B/S)U template;Arsenaalstraat;10;
MECHELEN - FH02;4756747;;BL0032;4756747;BL0032;BUILDING template;Arsenaalstraat;11;
MECHELEN - FH02;1560103;;BL0032;4756747;BL0032;(L/B/S)U template;Arsenaalstraat;11;
MECHELEN - FH02;3943959;;BL0031;3943959;BL0031;BUILDING template;Arsenaalstraat;12;
MECHELEN - FH02;1561272;;BL0031;3943959;BL0031;(L/B/S)U template;Arsenaalstraat;12;
