Projectnummer;LU Key;CLUSTER_NR;LAM MK;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH10;2067987;;2067987;BL0032;BL0032;BUILDING template;Kapucinessenstraat;13;
ANTWERPEN-WEST - FH10;2067989;;2067989;BL0032;BL0032;BUILDING template;Kapucinessenstraat;15;
ANTWERPEN-WEST - FH10;2067990;;2067990;BL0029;BL0029;BUILDING template;Kapucinessenstraat;18;
ANTWERPEN-WEST - FH10;2067991;;2067991;BL0029;BL0029;BUILDING template;Kapucinessenstraat;20;
ANTWERPEN-WEST - FH10;2067992;;2067992;BL0029;BL0029;BUILDING template;Kapucinessenstraat;22;
ANTWERPEN-WEST - FH10;2067993;;2067993;BL0029;BL0029;BUILDING template;Kapucinessenstraat;24;
ANTWERPEN-WEST - FH10;2067996;;2067996;BL0029;BL0029;BUILDING template;Kapucinessenstraat;26;
ANTWERPEN-WEST - FH10;2067998;;2067998;BL0029;BL0029;BUILDING template;Kapucinessenstraat;30;
ANTWERPEN-WEST - FH10;2067999;;2067999;BL0029;BL0029;BUILDING template;Kapucinessenstraat;32;
ANTWERPEN-WEST - FH10;2068000;;2068000;BL0029;BL0029;BUILDING template;Kapucinessenstraat;36;
ANTWERPEN-WEST - FH10;2068004;;2068004;BL0029;BL0029;BUILDING template;Kapucinessenstraat;40;
ANTWERPEN-WEST - FH10;2068005;;2068005;BL0029;BL0029;BUILDING template;Kapucinessenstraat;42;
ANTWERPEN-WEST - FH10;2068006;;2068006;BL0029;BL0029;BUILDING template;Kapucinessenstraat;44;
ANTWERPEN-WEST - FH10;2068007;;2068007;BL0031;BL0031;BUILDING template;Kapucinessenstraat;47;
ANTWERPEN-WEST - FH10;2068008;;2068008;BL0031;BL0031;BUILDING template;Kapucinessenstraat;49;
ANTWERPEN-WEST - FH10;2068009;;2068009;BL0031;BL0031;BUILDING template;Kapucinessenstraat;51;
ANTWERPEN-WEST - FH10;2068010;;2068010;BL0030;BL0030;BUILDING template;Kapucinessenstraat;52;
ANTWERPEN-WEST - FH10;2068011;;2068011;BL0030;BL0030;BUILDING template;Kapucinessenstraat;54;
ANTWERPEN-WEST - FH10;2068012;;2068012;BL0030;BL0030;BUILDING template;Kapucinessenstraat;58;
ANTWERPEN-WEST - FH10;29810;;29810;BL0008;BL0008;BUILDING template;Beeldhouwersstraat;24;
ANTWERPEN-WEST - FH10;30225;;30225;BL0017;BL0017;BUILDING template;Zwijgerstraat;2;
ANTWERPEN-WEST - FH10;30235;;30235;BL0020;BL0020;BUILDING template;Marnixplaats;3;
ANTWERPEN-WEST - FH10;30245;;30245;BL0025;BL0025;BUILDING template;Verbondstraat;116;
ANTWERPEN-WEST - FH10;30251;;30251;BL0006;BL0006;BUILDING template;Amerikalei;166;
