Projectnummer;LU Key;CLUSTER_NR;LAM MK;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH10;4518810;;4518810;BL0023;BL0023;BUILDING template;Verbondstraat;40;
ANTWERPEN-WEST - FH10;4518851;;4518851;BL0010;BL0010;BUILDING template;Kasteelstraat;9;
ANTWERPEN-WEST - FH10;4518853;;4518853;BL0010;BL0010;BUILDING template;Kasteelstraat;17;
ANTWERPEN-WEST - FH10;4518860;;4518860;BL0010;BL0010;BUILDING template;Verschansingstraat;9;
ANTWERPEN-WEST - FH10;4518862;;4518862;BL0010;BL0010;BUILDING template;Verschansingstraat;47;
ANTWERPEN-WEST - FH10;4519420;;4519420;BL0026;BL0026;BUILDING template;Verbondstraat;75;
ANTWERPEN-WEST - FH10;4519429;;4519429;BL0026;BL0026;BUILDING template;Tolstraat;54;
ANTWERPEN-WEST - FH10;4519431;;4519431;BL0026;BL0026;BUILDING template;Tolstraat;60;
ANTWERPEN-WEST - FH10;4519679;;4519679;BL0007;BL0007;BUILDING template;Admiraal de Boisotstraat;49;
ANTWERPEN-WEST - FH10;4519680;;4519680;BL0007;BL0007;BUILDING template;Admiraal de Boisotstraat;51;
