Projectnummer;LAM MK;LU Key;CLUSTER_NR;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH01;1621817;1621817;2;BL0127;BL0127;BUILDING template;Avenue Vincent Van Gogh - Vincent Van Goghlaan;9;
EVERE - FH01;3916119;3916119;2;BL0127;BL0127;BUILDING template;Avenue Vincent Van Gogh - Vincent Van Goghlaan;10;
EVERE - FH01;3918850;3918850;2;BL0127;BL0127;BUILDING template;Avenue Vincent Van Gogh - Vincent Van Goghlaan;4;
EVERE - FH01;4109913;4109913;2;BL0127;BL0127;BUILDING template;Avenue Vincent Van Gogh - Vincent Van Goghlaan;5;
EVERE - FH01;1621878;1621878;1;BL0128;BL0128;BUILDING template;Rue Fernand Léger - Fernand Légerstraat;40;A
EVERE - FH01;1621880;1621880;1;BL0128;BL0128;BUILDING template;Rue Fernand Léger - Fernand Légerstraat;42;A
EVERE - FH01;1621881;1621881;1;BL0128;BL0128;BUILDING template;Rue Fernand Léger - Fernand Légerstraat;44;A
EVERE - FH01;1621883;1621883;1;BL0128;BL0128;BUILDING template;Rue Fernand Léger - Fernand Légerstraat;46;A
EVERE - FH01;1621884;1621884;1;BL0128;BL0128;BUILDING template;Rue Fernand Léger - Fernand Légerstraat;48;A
EVERE - FH01;4120030;4120030;1;BL0128;BL0128;BUILDING template;Rue Fernand Léger - Fernand Légerstraat;50;A
EVERE - FH01;1623617;1623617;2;BL0129;BL0129;BUILDING template;Avenue Jules Bordet - Jules Bordetlaan;106;
EVERE - FH01;1623864;1623864;3;BL0119;BL0119;BUILDING template;Avenue du Cimetière de Bruxelles - Kerkhof van Brussellaan;116;
EVERE - FH01;1623962;1623962;5;BL0116;BL0116;BUILDING template;Avenue des Anciens Combattants - Oud-Strijderslaan;42;
EVERE - FH01;1624362;1624362;3;BL0118;BL0118;BUILDING template;Rue des Deux Maisons - Twee Huizenstraat;57;A
EVERE - FH01;6071469;6071469;3;BL0118;BL0118;BUILDING template;Rue des Deux Maisons - Twee Huizenstraat;43;
EVERE - FH01;1620301;1620301;1;BL0128;BL0128;BUILDING template;Rue Auguste Renoir - Auguste Renoirstraat;3;A
EVERE - FH01;1620303;1620303;1;BL0128;BL0128;BUILDING template;Rue Auguste Renoir - Auguste Renoirstraat;5;A
