Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
HASSELT - FH01;707135;4;BL0107;707135;BL0107;BUILDING template;;Harmoniestraat;49;
HASSELT - FH01;707122;4;BL0107;707122;BL0107;BUILDING template;;Kanunnik Eybenstraat;1;
HASSELT - FH01;2449535;4;BL0107;2449535;BL0107;BUILDING template;;Kanunnik Eybenstraat;3;
HASSELT - FH01;2449537;4;BL0107;2449537;BL0107;BUILDING template;;Kanunnik Eybenstraat;9;
HASSELT - FH01;707123;4;BL0107;707123;BL0107;BUILDING template;;Kanunnik Eybenstraat;11;
HASSELT - FH01;2449541;4;BL0107;2449541;BL0107;BUILDING template;;Kanunnik Eybenstraat;13;
HASSELT - FH01;707128;4;BL0107;707128;BL0107;BUILDING template;;Pastoor Van Dijckstraat;2;
HASSELT - FH01;707131;4;BL0107;707131;BL0107;BUILDING template;;Pastoor Van Dijckstraat;4;
HASSELT - FH01;2444512;4;BL0107;2444512;BL0107;BUILDING template;;Pastoor Van Dijckstraat;6;
HASSELT - FH01;707103;4;BL0107;707103;BL0107;BUILDING template;;Runkstersteenweg;84;
HASSELT - FH01;2436994;4;BL0107;2436994;BL0107;BUILDING template;;Runkstersteenweg;86;
HASSELT - FH01;2437002;4;BL0107;2437002;BL0107;BUILDING template;;Runkstersteenweg;88;
HASSELT - FH01;2437009;4;BL0107;2437009;BL0107;BUILDING template;;Runkstersteenweg;90;
HASSELT - FH01;2437018;4;BL0107;2437018;BL0107;BUILDING template;Runkstersteenweg 92-94;Runkstersteenweg;92;
HASSELT - FH01;4901598;4;BL0107;4901598;BL0107;BUILDING template;Runkstersteenweg 92-94;Runkstersteenweg;94;
HASSELT - FH01;2437031;4;BL0107;2437031;BL0107;BUILDING template;;Runkstersteenweg;96;
HASSELT - FH01;2437041;4;BL0107;2437041;BL0107;BUILDING template;;Runkstersteenweg;98;
HASSELT - FH01;3937624;4;BL0107;3937624;BL0107;BUILDING template;;Runkstersteenweg;100;
HASSELT - FH01;3937625;4;BL0107;3937625;BL0107;BUILDING template;;Runkstersteenweg;102;
HASSELT - FH01;2437058;4;BL0107;2437058;BL0107;BUILDING template;;Runkstersteenweg;104;
HASSELT - FH01;707045;4;BL0107;707045;BL0107;BUILDING template;;Runkstersteenweg;106;
HASSELT - FH01;707111;4;BL0105;707111;BL0105;BUILDING template;;Gaarveldstraat;104;
HASSELT - FH01;2415191;4;BL0105;2415191;BL0105;BUILDING template;;Gaarveldstraat;106;
HASSELT - FH01;2415193;4;BL0105;2415193;BL0105;BUILDING template;;Gaarveldstraat;108;
HASSELT - FH01;4048409;4;BL0105;4048409;BL0105;BUILDING template;;Gaarveldstraat;110;
HASSELT - FH01;2415197;4;BL0105;2415197;BL0105;BUILDING template;;Gaarveldstraat;114;
HASSELT - FH01;4901476;4;BL0105;4901476;BL0105;BUILDING template;;Gaarveldstraat;116;
HASSELT - FH01;2415199;4;BL0105;2415199;BL0105;BUILDING template;;Gaarveldstraat;118;
HASSELT - FH01;2415200;4;BL0105;2415200;BL0105;BUILDING template;;Gaarveldstraat;120;
HASSELT - FH01;4901479;4;BL0105;4901479;BL0105;BUILDING template;;Gaarveldstraat;122;
HASSELT - FH01;2415201;4;BL0105;2415201;BL0105;BUILDING template;;Gaarveldstraat;124;
HASSELT - FH01;2415202;4;BL0105;2415202;BL0105;BUILDING template;;Gaarveldstraat;126;
HASSELT - FH01;2415203;4;BL0105;2415203;BL0105;BUILDING template;;Gaarveldstraat;128;
HASSELT - FH01;2415205;4;BL0105;2415205;BL0105;BUILDING template;;Gaarveldstraat;130;
HASSELT - FH01;2415207;4;BL0105;2415207;BL0105;BUILDING template;;Gaarveldstraat;132;
HASSELT - FH01;707109;4;BL0105;707109;BL0105;BUILDING template;;Gaarveldstraat;134;
HASSELT - FH01;707104;4;BL0105;707104;BL0105;BUILDING template;;Olmenstraat;10;
HASSELT - FH01;2432473;4;BL0105;2432473;BL0105;BUILDING template;;Olmenstraat;12;
HASSELT - FH01;2432476;4;BL0105;2432476;BL0105;BUILDING template;;Olmenstraat;14;
HASSELT - FH01;2432480;4;BL0105;2432480;BL0105;BUILDING template;;Olmenstraat;16;
