Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
MONS - FH01;3125051;;BL0119;3125051;BL0119;BUILDING template;Rue de la Seuwe  -6-7-8-9-;Rue de la Seuwe;7;
MONS - FH01;5324894;;BL0119;5324894;BL0119;BUILDING template;Rue de la Seuwe -6-7-8-9-;Rue de la Seuwe;8;
MONS - FH01;5605539;;BL0119;5605539;BL0119;BUILDING template;Rue de la Seuwe-6-7-8-9-;Rue de la Seuwe;9;
MONS - FH01;3125052;;BL0119;3125052;BL0119;BUILDING template;;Rue de la Seuwe;10;
MONS - FH01;6118909;;BL0119;6118909;BL0119;BUILDING template;Rue de la Seuwe-11-12-13-14;Rue de la Seuwe;11;
MONS - FH01;6493733;;BL0119;6493733;BL0119;BUILDING template;Rue de la Seuwe-11-12-13-14;Rue de la Seuwe;12;
MONS - FH01;6491471;;BL0119;6491471;BL0119;BUILDING template;Rue de la Seuwe -11-12-13-14;Rue de la Seuwe;13;
MONS - FH01;3125053;;BL0119;3125053;BL0119;BUILDING template;Rue de la Seuwe-11-12-13-14;Rue de la Seuwe;14;
MONS - FH01;3125057;;BL0119;3125057;BL0119;BUILDING template;;Rue de la Seuwe;16;
MONS - FH01;5605540;;BL0119;5605540;BL0119;BUILDING template;;Rue de la Seuwe;17;
MONS - FH01;3125060;;BL0119;3125060;BL0119;BUILDING template;Rue de la Seuwe-18-19;Rue de la Seuwe;18;
MONS - FH01;5605541;;BL0119;5605541;BL0119;BUILDING template;Rue de la Seuwe-18-19;Rue de la Seuwe;19;
MONS - FH01;5494266;;BL0119;5494266;BL0119;BUILDING template;;Rue de la Seuwe;20;
MONS - FH01;6217097;;BL0119;6217097;BL0119;BUILDING template;;Rue de la Seuwe;21;
MONS - FH01;5605542;;BL0119;5605542;BL0119;BUILDING template;;Rue de la Seuwe;22;
MONS - FH01;6626338;;BL0119;6626338;BL0119;BUILDING template;Rue de la Seuwe-23-31-;Rue de la Seuwe;23;
MONS - FH01;3125063;;BL0119;3125063;BL0119;BUILDING template;;Rue de la Seuwe;32;
MONS - FH01;4179061;;BL0119;4179061;BL0119;BUILDING template;Rue de la Seuwe- 201-211-221-231-241;Rue de la Seuwe;201;
MONS - FH01;3125064;;BL0119;3125064;BL0119;BUILDING template;;Rue de la Seuwe;211;
MONS - FH01;3125067;;BL0119;3125067;BL0119;BUILDING template;Rue de la Seuwe-201-211-221-231-241;Rue de la Seuwe;231;
MONS - FH01;3125068;;BL0119;3125068;BL0119;BUILDING template;Rue de la Seuwe-201-211-221-231-241;Rue de la Seuwe;241;
MONS - FH01;3125069;;BL0119;3125069;BL0119;BUILDING template;;Rue de la Seuwe;501;
MONS - FH01;6626349;;BL0105;6626349;BL0105;BUILDING template;;Rue de la Tour Auberon;3;A
MONS - FH01;6626351;;BL0105;6626351;BL0105;BUILDING template;;Rue de la Tour Auberon;3;B
MONS - FH01;3155241;;BL0102;3155241;BL0102;BUILDING template;;Rue de Nimy;14;
MONS - FH01;207360;;BL0103;207360;BL0103;BUILDING template;;Rue de Nimy;41;
MONS - FH01;249416;;BL0112;249416;BL0112;BUILDING template;;Rue des Clercs;5;
MONS - FH01;247299;;BL0118;247299;BL0118;BUILDING template;;Rue des Epingliers;2;
MONS - FH01;4127139;;BL0114;4127139;BL0114;BUILDING template;Rue des Fripiers  -19-21;Rue des Fripiers;19;
MONS - FH01;3148308;;BL0114;3148308;BL0114;BUILDING template;;Rue des Fripiers;23;
MONS - FH01;1276711;;BL0103;1276711;BL0103;BUILDING template;05-07 rue des 4 frères Aymond;Rue des Quatre Fils Aymon;5;
MONS - FH01;3159507;;BL0105;3159507;BL0105;BUILDING template;;Rue des Telliers;5;
MONS - FH01;3149225;;BL0118;3149225;BL0118;BUILDING template;;Rue du Hautbois;5;B
MONS - FH01;3149228;;BL0118;3149228;BL0118;BUILDING template;;Rue du Hautbois;7;
MONS - FH01;3149235;;BL0118;3149235;BL0118;BUILDING template;;Rue du Hautbois;11;B
MONS - FH01;3149244;;BL0118;3149244;BL0118;BUILDING template;;Rue du Hautbois;17;
MONS - FH01;3149258;;BL0118;3149258;BL0118;BUILDING template;;Rue du Hautbois;31;
MONS - FH01;246908;;BL0102;246908;BL0102;BUILDING template;Rue du Miroir -9-11;Rue du Miroir;11;
MONS - FH01;5892816;;BL0119;5892816;BL0119;BUILDING template;Rue du Miroi -12 - A-B;Rue du Miroir;12;A
MONS - FH01;246914;;BL0119;246914;BL0119;BUILDING template;Rue du Miroir -16-18-18C-18D-20;Rue du Miroir;18;
MONS - FH01;3154248;;BL0119;3154248;BL0119;BUILDING template;Rue du Miroir 16-18-18C-18D-20;Rue du Miroir;18;C
MONS - FH01;3154250;;BL0119;3154250;BL0119;BUILDING template;Rue du Miroir -16-18-18C-18D-20;Rue du Miroir;18;D
MONS - FH01;3154251;;BL0119;3154251;BL0119;BUILDING template;Rue du Miroir-16-18-18C-18D-20;Rue du Miroir;20;
MONS - FH01;6349600;;BL0103;6349600;BL0103;BUILDING template;26 rue du onze Novembre - 02 rue des Etampes;Rue du Onze Novembre;26;
MONS - FH01;3129265;;BL0107;3129265;BL0107;BUILDING template;;Rue Marguerite Bervoets;3;A
MONS - FH01;249444;;BL0105;249444;BL0105;BUILDING template;;Rue Marguerite Bervoets;4;
MONS - FH01;249446;;BL0105;249446;BL0105;BUILDING template;;Rue Marguerite Bervoets;8;
MONS - FH01;207486;;BL0103;207486;BL0103;BUILDING template;;Rue Neuve;6;A
