Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
MECHELEN - FH01;3030826;4;BL0110;3030826;BL0110;BUILDING template;;Begijnenstraat;12;
MECHELEN - FH01;4238219;4;BL0110;4238219;BL0110;BUILDING template;;Begijnenstraat;14;
MECHELEN - FH01;905283;4;BL0110;905283;BL0110;BUILDING template;;Begijnenstraat;16;
MECHELEN - FH01;4731179;5;BL0116;4731179;BL0116;BUILDING template;;Begijnenstraat;17;
MECHELEN - FH01;905287;4;BL0110;905287;BL0110;BUILDING template;;Begijnenstraat;18;
MECHELEN - FH01;3030828;5;BL0116;3030828;BL0116;BUILDING template;;Begijnenstraat;19;
MECHELEN - FH01;3030829;4;BL0110;3030829;BL0110;BUILDING template;;Begijnenstraat;20;
MECHELEN - FH01;3030831;5;BL0116;3030831;BL0116;BUILDING template;;Begijnenstraat;21;
MECHELEN - FH01;905288;4;BL0110;905288;BL0110;BUILDING template;;Begijnenstraat;22;
MECHELEN - FH01;4082899;5;BL0116;4082899;BL0116;BUILDING template;;Begijnenstraat;23;
MECHELEN - FH01;3030832;5;BL0116;3030832;BL0116;BUILDING template;;Begijnenstraat;25;
MECHELEN - FH01;905647;4;BL0110;905647;BL0110;BUILDING template;;Begijnenstraat;28;
MECHELEN - FH01;3030835;5;BL0116;3030835;BL0116;BUILDING template;;Begijnenstraat;29;
MECHELEN - FH01;905644;5;BL0116;905644;BL0116;BUILDING template;;Begijnenstraat;31;
MECHELEN - FH01;4748706;4;BL0110;4748706;BL0110;BUILDING template;;Begijnenstraat;32;
MECHELEN - FH01;4205021;5;BL0116;4205021;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;33;
MECHELEN - FH01;3030836;4;BL0110;3030836;BL0110;BUILDING template;;Begijnenstraat;34;
MECHELEN - FH01;1459413;5;BL0116;1459413;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;35;
MECHELEN - FH01;3030840;4;BL0110;3030840;BL0110;BUILDING template;;Begijnenstraat;36;
MECHELEN - FH01;1461368;5;BL0116;1461368;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;37;
MECHELEN - FH01;1350667;4;BL0110;1350667;BL0110;BUILDING template;;Begijnenstraat;38;
MECHELEN - FH01;3030841;5;BL0116;3030841;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;39;
MECHELEN - FH01;3030842;4;BL0110;3030842;BL0110;BUILDING template;;Begijnenstraat;40;
MECHELEN - FH01;3943977;5;BL0116;3943977;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;41;
MECHELEN - FH01;4748711;4;BL0110;4748711;BL0110;BUILDING template;;Begijnenstraat;42;
MECHELEN - FH01;1351370;5;BL0116;1351370;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;43;
MECHELEN - FH01;4748712;4;BL0110;4748712;BL0110;BUILDING template;;Begijnenstraat;44;
MECHELEN - FH01;4748677;5;BL0116;4748677;BL0116;BUILDING template;;Begijnenstraat;45;
MECHELEN - FH01;905648;4;BL0110;905648;BL0110;BUILDING template;;Begijnenstraat;48;
MECHELEN - FH01;905645;4;BL0110;905645;BL0110;BUILDING template;Begijnenstraat 50-50A;Begijnenstraat;50;
MECHELEN - FH01;905643;4;BL0110;905643;BL0110;BUILDING template;;Begijnenstraat;52;
MECHELEN - FH01;3030844;4;BL0110;3030844;BL0110;BUILDING template;;Begijnenstraat;56;
MECHELEN - FH01;905642;4;BL0110;905642;BL0110;BUILDING template;;Begijnenstraat;58;
MECHELEN - FH01;905285;5;BL0116;905285;BL0116;BUILDING template;;Begijnenstraat;27;A
MECHELEN - FH01;3943978;5;BL0116;3943978;BL0116;BUILDING template;Begijnenstraat 33-35-37-39-41-43-43A;Begijnenstraat;43;A
MECHELEN - FH01;901609;2;BL0104;901609;BL0104;BUILDING template;;Biest;2;
MECHELEN - FH01;3031078;2;BL0104;3031078;BL0104;BUILDING template;;Biest;4;
MECHELEN - FH01;4731741;2;BL0104;4731741;BL0104;BUILDING template;;Biest;6;
MECHELEN - FH01;901612;2;BL0104;901612;BL0104;BUILDING template;;Biest;10;
MECHELEN - FH01;904912;3;BL0123;904912;BL0123;BUILDING template;;Blauwhondstraat;1;
MECHELEN - FH01;3031270;3;BL0123;3031270;BL0123;BUILDING template;;Blauwhondstraat;3;
MECHELEN - FH01;3031272;3;BL0123;3031272;BL0123;BUILDING template;;Blauwhondstraat;5;
MECHELEN - FH01;3031273;3;BL0123;3031273;BL0123;BUILDING template;Blauwhondstraat 7-9;Blauwhondstraat;7;
MECHELEN - FH01;3031275;3;BL0123;3031275;BL0123;BUILDING template;;Blauwhondstraat;11;
MECHELEN - FH01;3031278;3;BL0123;3031278;BL0123;BUILDING template;;Blauwhondstraat;15;
MECHELEN - FH01;904913;3;BL0123;904913;BL0123;BUILDING template;;Blauwhondstraat;21;
MECHELEN - FH01;904914;3;BL0123;904914;BL0123;BUILDING template;;Blauwhondstraat;25;
MECHELEN - FH01;5403850;3;BL0123;5403850;BL0123;BUILDING template;;Blauwhondstraat;27;
MECHELEN - FH01;3031540;3;BL0124;3031540;BL0124;BUILDING template;;Borzestraat;1;
MECHELEN - FH01;4101347;3;BL0125;4101347;BL0125;BUILDING template;Borzestraat 2_Ijzerenleen 25;Borzestraat;2;
MECHELEN - FH01;3031543;3;BL0125;3031543;BL0125;BUILDING template;;Borzestraat;4;
MECHELEN - FH01;3031545;3;BL0125;3031545;BL0125;BUILDING template;;Borzestraat;6;
MECHELEN - FH01;3031546;3;BL0125;3031546;BL0125;BUILDING template;;Borzestraat;8;
MECHELEN - FH01;3031548;3;BL0125;3031548;BL0125;BUILDING template;;Borzestraat;10;
MECHELEN - FH01;4741917;3;BL0125;4741917;BL0125;BUILDING template;;Borzestraat;12;
MECHELEN - FH01;3031549;3;BL0125;3031549;BL0125;BUILDING template;;Borzestraat;14;
MECHELEN - FH01;4031215;3;BL0125;4031215;BL0125;BUILDING template;;Borzestraat;16;
MECHELEN - FH01;3031550;3;BL0125;3031550;BL0125;BUILDING template;;Borzestraat;18;
MECHELEN - FH01;3031551;3;BL0125;3031551;BL0125;BUILDING template;;Borzestraat;20;
MECHELEN - FH01;3031553;3;BL0125;3031553;BL0125;BUILDING template;;Borzestraat;22;
MECHELEN - FH01;3031556;3;BL0125;3031556;BL0125;BUILDING template;;Borzestraat;24;
MECHELEN - FH01;904599;3;BL0125;904599;BL0125;BUILDING template;;Borzestraat;28;
MECHELEN - FH01;904600;3;BL0125;904600;BL0125;BUILDING template;;Borzestraat;30;
MECHELEN - FH01;3031559;3;BL0125;3031559;BL0125;BUILDING template;;Borzestraat;32;
MECHELEN - FH01;4741889;3;BL0125;4741889;BL0125;BUILDING template;Borzestraat 34-36;Borzestraat;34;
MECHELEN - FH01;3031562;3;BL0125;3031562;BL0125;BUILDING template;;Borzestraat;38;
MECHELEN - FH01;935302;4;BL0114;935302;BL0114;BUILDING template;;Dobbelhuizen;1;
MECHELEN - FH01;3033469;4;BL0113;3033469;BL0113;BUILDING template;;Dobbelhuizen;2;
MECHELEN - FH01;4062645;4;BL0114;4062645;BL0114;BUILDING template;;Dobbelhuizen;3;
MECHELEN - FH01;3033470;4;BL0113;3033470;BL0113;BUILDING template;;Dobbelhuizen;4;
MECHELEN - FH01;3033472;4;BL0114;3033472;BL0114;BUILDING template;;Dobbelhuizen;5;
MECHELEN - FH01;935306;4;BL0113;935306;BL0113;BUILDING template;;Dobbelhuizen;6;
MECHELEN - FH01;3033473;4;BL0114;3033473;BL0114;BUILDING template;;Dobbelhuizen;7;
MECHELEN - FH01;3033474;4;BL0113;3033474;BL0113;BUILDING template;;Dobbelhuizen;8;
MECHELEN - FH01;3033476;4;BL0114;3033476;BL0114;BUILDING template;;Dobbelhuizen;9;
MECHELEN - FH01;4751086;4;BL0113;4751086;BL0113;BUILDING template;;Dobbelhuizen;10;
MECHELEN - FH01;3033477;4;BL0113;3033477;BL0113;BUILDING template;;Dobbelhuizen;12;
MECHELEN - FH01;3033478;4;BL0114;3033478;BL0114;BUILDING template;;Dobbelhuizen;15;
MECHELEN - FH01;3033479;4;BL0114;3033479;BL0114;BUILDING template;;Dobbelhuizen;17;
MECHELEN - FH01;935303;4;BL0114;935303;BL0114;BUILDING template;;Dobbelhuizen;19;
MECHELEN - FH01;3033480;4;BL0113;3033480;BL0113;BUILDING template;;Dobbelhuizen;20;
MECHELEN - FH01;935304;4;BL0114;935304;BL0114;BUILDING template;;Dobbelhuizen;21;
MECHELEN - FH01;3033482;4;BL0113;3033482;BL0113;BUILDING template;;Dobbelhuizen;22;
MECHELEN - FH01;3033483;4;BL0114;3033483;BL0114;BUILDING template;;Dobbelhuizen;23;
MECHELEN - FH01;3033485;4;BL0113;3033485;BL0113;BUILDING template;;Dobbelhuizen;24;
MECHELEN - FH01;4751106;4;BL0114;4751106;BL0114;BUILDING template;;Dobbelhuizen;25;
MECHELEN - FH01;3033486;4;BL0113;3033486;BL0113;BUILDING template;;Dobbelhuizen;26;
MECHELEN - FH01;935307;4;BL0113;935307;BL0113;BUILDING template;;Dobbelhuizen;28;
MECHELEN - FH01;4751109;4;BL0114;4751109;BL0114;BUILDING template;;Dobbelhuizen;29;
MECHELEN - FH01;935308;4;BL0113;935308;BL0113;BUILDING template;;Dobbelhuizen;30;
MECHELEN - FH01;3033489;4;BL0114;3033489;BL0114;BUILDING template;;Dobbelhuizen;31;
MECHELEN - FH01;3033490;4;BL0113;3033490;BL0113;BUILDING template;;Dobbelhuizen;32;
MECHELEN - FH01;3033491;4;BL0114;3033491;BL0114;BUILDING template;;Dobbelhuizen;33;
MECHELEN - FH01;4751123;4;BL0113;4751123;BL0113;BUILDING template;;Dobbelhuizen;34;
MECHELEN - FH01;4751112;4;BL0114;4751112;BL0114;BUILDING template;;Dobbelhuizen;35;
MECHELEN - FH01;4240777;4;BL0113;4240777;BL0113;BUILDING template;;Dobbelhuizen;36;
MECHELEN - FH01;3033492;4;BL0114;3033492;BL0114;BUILDING template;;Dobbelhuizen;37;
MECHELEN - FH01;3033493;4;BL0113;3033493;BL0113;BUILDING template;;Dobbelhuizen;38;
MECHELEN - FH01;4751114;4;BL0114;4751114;BL0114;BUILDING template;;Dobbelhuizen;39;
MECHELEN - FH01;3033495;4;BL0113;3033495;BL0113;BUILDING template;;Dobbelhuizen;40;
MECHELEN - FH01;3033499;4;BL0114;3033499;BL0114;BUILDING template;;Dobbelhuizen;41;
MECHELEN - FH01;3033500;4;BL0113;3033500;BL0113;BUILDING template;;Dobbelhuizen;42;
MECHELEN - FH01;4751128;4;BL0113;4751128;BL0113;BUILDING template;;Dobbelhuizen;44;
MECHELEN - FH01;3033501;4;BL0113;3033501;BL0113;BUILDING template;;Dobbelhuizen;46;
MECHELEN - FH01;3033502;4;BL0113;3033502;BL0113;BUILDING template;;Dobbelhuizen;48;
MECHELEN - FH01;1283309;4;BL0113;1283309;BL0113;BUILDING template;;Dobbelhuizen;52;
MECHELEN - FH01;935309;4;BL0113;935309;BL0113;BUILDING template;;Dobbelhuizen;54;
MECHELEN - FH01;905652;4;BL0110;905652;BL0110;BUILDING template;;Drabstraat;2;
MECHELEN - FH01;3033822;4;BL0110;3033822;BL0110;BUILDING template;;Drabstraat;4;
MECHELEN - FH01;3033823;4;BL0110;3033823;BL0110;BUILDING template;;Drabstraat;6;
MECHELEN - FH01;905651;4;BL0110;905651;BL0110;BUILDING template;Drabstraat 6A-8-8A-8B;Drabstraat;8;
MECHELEN - FH01;4748692;4;BL0110;4748692;BL0110;BUILDING template;;Drabstraat;10;
MECHELEN - FH01;4748739;4;BL0110;4748739;BL0110;BUILDING template;Drabstraat 14-16;Drabstraat;14;
MECHELEN - FH01;905649;4;BL0110;905649;BL0110;BUILDING template;;Drabstraat;18;
MECHELEN - FH01;5904645;4;BL0110;5904645;BL0110;BUILDING template;Drabstraat 6A-8-8A-8B;Drabstraat;8;A
MECHELEN - FH01;919858;3;BL0121;919858;BL0121;BUILDING template;;Desire Boucherystraat;2;
MECHELEN - FH01;3031625;3;BL0121;3031625;BL0121;BUILDING template;;Desire Boucherystraat;4;
