Projectnummer;LU Key;LAM MK;CLUSTER_NR;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH01;1621999;1621999;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;7;
EVERE - FH01;1622000;1622000;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;9;
EVERE - FH01;4106716;4106716;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;11;
EVERE - FH01;1502163;1502163;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;15;
EVERE - FH01;1622006;1622006;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;17;
EVERE - FH01;1622008;1622008;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;19;
EVERE - FH01;726580;726580;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;1;A
EVERE - FH01;726579;726579;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;21;
EVERE - FH01;1622012;1622012;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;41;
EVERE - FH01;1622015;1622015;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;43;
EVERE - FH01;1622018;1622018;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;45;
EVERE - FH01;5045909;5045909;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;51;
EVERE - FH01;1622022;1622022;6;BL0103;BL0103;BUILDING template;G. De Lombaerdestraat - Rue Georges De Lombaerde;55;
EVERE - FH01;726567;726567;6;BL0103;BL0103;BUILDING template;Leuvensesteenweg - Chaussée de Louvain;1004;
EVERE - FH01;1620947;1620947;6;BL0103;BL0103;BUILDING template;Leuvensesteenweg - Chaussée de Louvain;1006;
EVERE - FH01;1620948;1620948;6;BL0103;BL0103;BUILDING template;Leuvensesteenweg - Chaussée de Louvain;1008;
EVERE - FH01;1620949;1620949;6;BL0103;BL0103;BUILDING template;Leuvensesteenweg - Chaussée de Louvain;1010;
EVERE - FH01;726568;726568;6;BL0103;BL0103;BUILDING template;Leuvensesteenweg - Chaussée de Louvain;1026;
EVERE - FH01;1622003;1622003;6;BL0103;BL0103;BUILDING template;Rue Georges De Lombaerde - G. De Lombaerdestraat;13;
EVERE - FH01;5045908;5045908;6;BL0103;BL0103;BUILDING template;Rue Georges De Lombaerde - G. De Lombaerdestraat;49;
EVERE - FH01;726071;726071;4;BL0108;BL0108;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;18;
EVERE - FH01;1621731;1621731;4;BL0108;BL0108;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;20;
EVERE - FH01;726073;726073;4;BL0108;BL0108;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;22;
EVERE - FH01;726074;726074;4;BL0108;BL0108;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;24;
EVERE - FH01;1621733;1621733;4;BL0108;BL0108;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;26;
EVERE - FH01;726070;726070;4;BL0108;BL0108;BUILDING template;Hugo Verrieststraat - Rue Hugo Verriest;28;
EVERE - FH01;726102;726102;4;BL0108;BL0108;BUILDING template;Léon Grosjeanlaan - Avenue Léon Grosjean;51;
EVERE - FH01;1621771;1621771;4;BL0108;BL0108;BUILDING template;Léon Grosjeanlaan - Avenue Léon Grosjean;53;
EVERE - FH01;1621772;1621772;4;BL0108;BL0108;BUILDING template;Léon Grosjeanlaan - Avenue Léon Grosjean;57;
EVERE - FH01;726103;726103;4;BL0108;BL0108;BUILDING template;Léon Grosjeanlaan - Avenue Léon Grosjean;59;
