LAM MK;LU Key;BLOCK_NR;BLOCK_NR_LU
2768203;8350516;BL0501;BL0501
2768203;8350517;BL0501;BL0501
2768203;8350518;BL0501;BL0501
2768203;8350519;BL0501;BL0501
2768203;8350520;BL0501;BL0501
2768203;8355240;BL0501;BL0501
2768203;8355241;BL0501;BL0501
2768203;8355242;BL0501;BL0501
2768203;8355243;BL0501;BL0501
2768203;8355244;BL0501;BL0501
2768203;8359737;BL0501;BL0501
2768203;8359738;BL0501;BL0501
2768203;8359739;BL0501;BL0501
2768203;8359740;BL0501;BL0501
2768203;8359741;BL0501;BL0501
2768203;8359742;BL0501;BL0501
2768203;8364106;BL0501;BL0501
2768203;8364107;BL0501;BL0501
2768203;8364108;BL0501;BL0501
2768203;8364109;BL0501;BL0501
2768203;10554713;BL0501;BL0501
2768203;10557872;BL0501;BL0501
2768204;10556571;BL0501;BL0501
2768204;10557665;BL0501;BL0501
2768204;10557726;BL0501;BL0501
2768204;10557778;BL0501;BL0501
2768204;10557779;BL0501;BL0501
2768204;10557780;BL0501;BL0501
2768204;10557781;BL0501;BL0501
2768204;10557789;BL0501;BL0501
2768204;10557790;BL0501;BL0501
2768204;10557791;BL0501;BL0501
2768204;10557798;BL0501;BL0501
2768204;10557873;BL0501;BL0501
2768204;10557888;BL0501;BL0501
2768204;10557898;BL0501;BL0501
2763889;8336539;BL0502;BL0502
2763889;8336540;BL0502;BL0502
2763889;8336541;BL0502;BL0502
2763889;8336542;BL0502;BL0502
2763889;8336543;BL0502;BL0502
2763889;8336544;BL0502;BL0502
2763889;8340653;BL0502;BL0502
2763889;8345106;BL0502;BL0502
2763889;8349472;BL0502;BL0502
2763889;8353679;BL0502;BL0502
2763889;8353680;BL0502;BL0502
2763889;8353681;BL0502;BL0502
2763889;8353682;BL0502;BL0502
2763889;8358699;BL0502;BL0502
2763889;8358700;BL0502;BL0502
2763889;8363039;BL0502;BL0502
2763889;8363040;BL0502;BL0502
2763889;8363041;BL0502;BL0502
4038434;11337767;BL0502;BL0502
338540;8333841;BL0502;BL0502
338540;8338060;BL0502;BL0502
338540;8338061;BL0502;BL0502
338540;8351008;BL0502;BL0502
338540;8355806;BL0502;BL0502
338540;8355807;BL0502;BL0502
338540;8364666;BL0502;BL0502
338540;8364667;BL0502;BL0502
338541;8334334;BL0502;BL0502
338541;8334335;BL0502;BL0502
338541;8334336;BL0502;BL0502
338541;8338582;BL0502;BL0502
338541;8338583;BL0502;BL0502
338541;8342708;BL0502;BL0502
338541;8342709;BL0502;BL0502
338541;8356331;BL0502;BL0502
338541;8356332;BL0502;BL0502
338541;8356333;BL0502;BL0502
338541;8360785;BL0502;BL0502
338541;8360786;BL0502;BL0502
338541;8360787;BL0502;BL0502
338541;8365210;BL0502;BL0502
338541;8365211;BL0502;BL0502
338541;8365212;BL0502;BL0502
338559;11337652;BL0502;BL0502
2758631;8331672;BL0502;BL0502
2758631;8335944;BL0502;BL0502
2758631;8340054;BL0502;BL0502
2758631;8344462;BL0502;BL0502
2758631;8344463;BL0502;BL0502
2758631;8344464;BL0502;BL0502
2758631;8353013;BL0502;BL0502
2758631;8358076;BL0502;BL0502
2758631;8362384;BL0502;BL0502
2758634;8334358;BL0502;BL0502
2758634;8334359;BL0502;BL0502
2758634;8338610;BL0502;BL0502
2758634;8338611;BL0502;BL0502
2758634;8338612;BL0502;BL0502
2758634;8342730;BL0502;BL0502
2758634;8347207;BL0502;BL0502
2758634;8347208;BL0502;BL0502
2758634;8347209;BL0502;BL0502
2758634;8351525;BL0502;BL0502
2758634;8351526;BL0502;BL0502
2758634;8356364;BL0502;BL0502
2758634;8360818;BL0502;BL0502
2758634;8360819;BL0502;BL0502
2758634;8360820;BL0502;BL0502
2758634;8365240;BL0502;BL0502
2758634;8365241;BL0502;BL0502
2758634;8365242;BL0502;BL0502
2758634;8365243;BL0502;BL0502
2758635;8335058;BL0502;BL0502
2758635;8335059;BL0502;BL0502
2758635;8335060;BL0502;BL0502
2758635;8335061;BL0502;BL0502
2758635;8339333;BL0502;BL0502
2758635;8339334;BL0502;BL0502
2758635;8343488;BL0502;BL0502
2758635;8343489;BL0502;BL0502
2758635;8347964;BL0502;BL0502
2758635;8352178;BL0502;BL0502
2758635;8352179;BL0502;BL0502
2758635;8357128;BL0502;BL0502
2758635;8357129;BL0502;BL0502
2758635;8357130;BL0502;BL0502
2758635;8357131;BL0502;BL0502
2758635;8361607;BL0502;BL0502
2758635;8361608;BL0502;BL0502
2758635;8361609;BL0502;BL0502
2758635;8361610;BL0502;BL0502
2758635;8365928;BL0502;BL0502
2758635;8365929;BL0502;BL0502
2758635;8365930;BL0502;BL0502
2758635;8365931;BL0502;BL0502
2758635;8365932;BL0502;BL0502
2758639;11337647;BL0502;BL0502
2758640;8334593;BL0502;BL0502
2758640;8338835;BL0502;BL0502
2758640;8342942;BL0502;BL0502
2758640;8342943;BL0502;BL0502
2758640;8347457;BL0502;BL0502
2758640;8351735;BL0502;BL0502
2758640;8351736;BL0502;BL0502
2758640;8356596;BL0502;BL0502
2758640;8361069;BL0502;BL0502
2758640;8361070;BL0502;BL0502
2758641;8338318;BL0502;BL0502
2758641;8351229;BL0502;BL0502
2758641;8351230;BL0502;BL0502
2758641;8351231;BL0502;BL0502
2758641;8364935;BL0502;BL0502
2758642;8331358;BL0502;BL0502
2758642;8331359;BL0502;BL0502
2758642;8335646;BL0502;BL0502
2758642;8335647;BL0502;BL0502
2758642;8339794;BL0502;BL0502
2758642;8348574;BL0502;BL0502
2758642;8352733;BL0502;BL0502
2758642;8352734;BL0502;BL0502
2758642;8357804;BL0502;BL0502
2758642;8357805;BL0502;BL0502
2758642;8362122;BL0502;BL0502
2758642;8362123;BL0502;BL0502
337188;11337644;BL0502;BL0502
4347645;11337606;BL0502;BL0502
338538;11337604;BL0502;BL0502
2768208;8335423;BL0502;BL0502
2768208;8335424;BL0502;BL0502
2768208;8335425;BL0502;BL0502
2768208;8339582;BL0502;BL0502
2768208;8343807;BL0502;BL0502
2768208;8357452;BL0502;BL0502
2768208;8361928;BL0502;BL0502
2768208;8366215;BL0502;BL0502
2768208;8366216;BL0502;BL0502
2768211;8334355;BL0502;BL0502
2768211;8334356;BL0502;BL0502
2768211;8338606;BL0502;BL0502
2768211;8338607;BL0502;BL0502
2768211;8342727;BL0502;BL0502
2768211;8342728;BL0502;BL0502
2768211;8347204;BL0502;BL0502
2768211;8347205;BL0502;BL0502
2768211;8351521;BL0502;BL0502
2768211;8351522;BL0502;BL0502
2768211;8351523;BL0502;BL0502
2768211;8351524;BL0502;BL0502
2768211;8356360;BL0502;BL0502
2768211;8356361;BL0502;BL0502
2768211;8365237;BL0502;BL0502
2768215;8333372;BL0502;BL0502
2768215;8337572;BL0502;BL0502
2768215;8341745;BL0502;BL0502
2768215;8346176;BL0502;BL0502
2768215;8346177;BL0502;BL0502
2768215;8346178;BL0502;BL0502
2768215;8346179;BL0502;BL0502
2768215;8350543;BL0502;BL0502
2768215;8355290;BL0502;BL0502
2768215;8355291;BL0502;BL0502
2768215;8359772;BL0502;BL0502
2768215;8359773;BL0502;BL0502
2768215;8359774;BL0502;BL0502
2768215;8359775;BL0502;BL0502
2768215;8359776;BL0502;BL0502
2768218;8334360;BL0502;BL0502
2768218;8334361;BL0502;BL0502
2768218;8342731;BL0502;BL0502
2768218;8347210;BL0502;BL0502
2768218;8347211;BL0502;BL0502
2768218;8347212;BL0502;BL0502
2768218;8356365;BL0502;BL0502
337216;8336566;BL0502;BL0502
337216;8340664;BL0502;BL0502
337216;8353704;BL0502;BL0502
337214;11337499;BL0503;BL0503
2758098;8355540;BL0503;BL0503
2758098;8355541;BL0503;BL0503
2758098;8355542;BL0503;BL0503
4345831;8333602;BL0503;BL0503
4345831;8333603;BL0503;BL0503
4345831;8333604;BL0503;BL0503
4345831;8333605;BL0503;BL0503
337213;8335652;BL0503;BL0503
337213;8357814;BL0503;BL0503
337213;8362129;BL0503;BL0503
337212;8335651;BL0503;BL0503
337212;10556846;BL0503;BL0503
337212;10556877;BL0503;BL0503
337212;10557341;BL0503;BL0503
337212;10557645;BL0503;BL0503
337210;8338837;BL0503;BL0503
337210;8342945;BL0503;BL0503
337210;8356597;BL0503;BL0503
337210;8356598;BL0503;BL0503
337210;8356599;BL0503;BL0503
337210;8361072;BL0503;BL0503
337210;8361073;BL0503;BL0503
337210;8361074;BL0503;BL0503
337193;8334604;BL0503;BL0503
337193;8334605;BL0503;BL0503
337193;8338854;BL0503;BL0503
337193;8342959;BL0503;BL0503
337193;8342960;BL0503;BL0503
337193;8347474;BL0503;BL0503
337193;8356620;BL0503;BL0503
337193;8361092;BL0503;BL0503
337193;8361093;BL0503;BL0503
337192;8332500;BL0503;BL0503
337192;8332501;BL0503;BL0503
337192;8354389;BL0503;BL0503
337192;8358976;BL0503;BL0503
337192;8358977;BL0503;BL0503
337192;8358978;BL0503;BL0503
337192;8363279;BL0503;BL0503
337192;8363280;BL0503;BL0503
337187;8331983;BL0503;BL0503
337187;8340401;BL0503;BL0503
337187;8344861;BL0503;BL0503
337187;8349210;BL0503;BL0503
337187;8353400;BL0503;BL0503
337187;8358448;BL0503;BL0503
337187;8362783;BL0503;BL0503
337215;11337559;BL0503;BL0503
2768221;10556188;BL0503;BL0503
2768221;10556192;BL0503;BL0503
2768225;8332468;BL0503;BL0503
2768225;8340867;BL0503;BL0503
2768225;8345310;BL0503;BL0503
2768225;8349691;BL0503;BL0503
2768225;8354360;BL0503;BL0503
2768225;8358955;BL0503;BL0503
2768225;8358956;BL0503;BL0503
2768225;8363247;BL0503;BL0503
4345837;11337547;BL0503;BL0503
2768227;8337819;BL0503;BL0503
2768227;8337820;BL0503;BL0503
2768227;8337821;BL0503;BL0503
2768227;8337822;BL0503;BL0503
2768227;8342947;BL0503;BL0503
2768227;8342948;BL0503;BL0503
2768227;8342949;BL0503;BL0503
2768229;8331365;BL0503;BL0503
2768229;8335653;BL0503;BL0503
2768229;8348580;BL0503;BL0503
2768229;8352739;BL0503;BL0503
2768231;8341411;BL0503;BL0503
2768231;8363812;BL0503;BL0503
2768231;8363813;BL0503;BL0503
2758779;8342977;BL0504;BL0504
2758779;8347488;BL0504;BL0504
2758779;8351768;BL0504;BL0504
2758779;8356635;BL0504;BL0504
2758780;8361655;BL0504;BL0504
2758781;8357190;BL0504;BL0504
2758781;8357191;BL0504;BL0504
2758782;8335119;BL0504;BL0504
2758782;8335120;BL0504;BL0504
2758782;8335121;BL0504;BL0504
2758782;8335122;BL0504;BL0504
2758782;8335123;BL0504;BL0504
2758784;8333050;BL0504;BL0504
2758784;8345866;BL0504;BL0504
2758784;8350251;BL0504;BL0504
2758784;8350252;BL0504;BL0504
2758784;8359492;BL0504;BL0504
2758784;8363821;BL0504;BL0504
2758784;8363822;BL0504;BL0504
2758785;8336294;BL0504;BL0504
2758785;8349236;BL0504;BL0504
2758785;8358479;BL0504;BL0504
72445;8358480;BL0504;BL0504
72445;8358481;BL0504;BL0504
72445;8358482;BL0504;BL0504
72444;8338336;BL0504;BL0504
72444;8351240;BL0504;BL0504
72444;8351241;BL0504;BL0504
72444;8356083;BL0504;BL0504
72444;8360513;BL0504;BL0504
72448;8336803;BL0504;BL0504
72448;8336804;BL0504;BL0504
72448;8345355;BL0504;BL0504
72448;8349749;BL0504;BL0504
72448;8349750;BL0504;BL0504
72448;8354404;BL0504;BL0504
72448;8363297;BL0504;BL0504
72448;8363298;BL0504;BL0504
2764308;10553523;BL0504;BL0504
2764308;10553946;BL0504;BL0504
2764308;10556302;BL0504;BL0504
2764308;10556362;BL0504;BL0504
2764308;10556421;BL0504;BL0504
2764308;10556463;BL0504;BL0504
2764308;10556464;BL0504;BL0504
2764308;10557149;BL0504;BL0504
2764312;8334616;BL0504;BL0504
2764312;8338866;BL0504;BL0504
2764312;8347489;BL0504;BL0504
2764312;8356636;BL0504;BL0504
2764312;8361110;BL0504;BL0504
2764312;8361111;BL0504;BL0504
2764312;8365482;BL0504;BL0504
4347728;8359507;BL0504;BL0504
4347728;8359508;BL0504;BL0504
4347728;8359509;BL0504;BL0504
4347728;8359510;BL0504;BL0504
2764315;8332026;BL0504;BL0504
2764315;8332027;BL0504;BL0504
2764315;8349256;BL0504;BL0504
2764315;8353443;BL0504;BL0504
2764315;8353444;BL0504;BL0504
2764315;8353445;BL0504;BL0504
2764315;8358499;BL0504;BL0504
2764315;8362824;BL0504;BL0504
4070898;8345886;BL0504;BL0504
4070898;8354958;BL0504;BL0504
4070898;8363842;BL0504;BL0504
4070898;8363843;BL0504;BL0504
4070898;10555534;BL0504;BL0504
72433;8332469;BL0504;BL0504
72433;8332470;BL0504;BL0504
72433;8332471;BL0504;BL0504
72433;8332472;BL0504;BL0504
72433;8332473;BL0504;BL0504
72433;8336749;BL0504;BL0504
72433;8336750;BL0504;BL0504
72433;8340868;BL0504;BL0504
72433;8340869;BL0504;BL0504
72433;8340870;BL0504;BL0504
72433;8340871;BL0504;BL0504
72433;8340872;BL0504;BL0504
72433;8340873;BL0504;BL0504
72433;8345311;BL0504;BL0504
72433;8345312;BL0504;BL0504
72433;8349692;BL0504;BL0504
72433;8349693;BL0504;BL0504
72433;8349694;BL0504;BL0504
72433;8349695;BL0504;BL0504
72433;8349696;BL0504;BL0504
72433;8349697;BL0504;BL0504
72433;8349698;BL0504;BL0504
72433;8354361;BL0504;BL0504
72433;8354362;BL0504;BL0504
72433;8354363;BL0504;BL0504
72433;8354364;BL0504;BL0504
72433;8354365;BL0504;BL0504
72433;8358957;BL0504;BL0504
72433;8363248;BL0504;BL0504
72433;8363249;BL0504;BL0504
72433;8363250;BL0504;BL0504
72430;8333046;BL0504;BL0504
72430;8333047;BL0504;BL0504
72430;8333048;BL0504;BL0504
72430;8337275;BL0504;BL0504
72430;8341408;BL0504;BL0504
72430;8341409;BL0504;BL0504
72430;8341410;BL0504;BL0504
72430;8345860;BL0504;BL0504
72430;8345861;BL0504;BL0504
72430;8345862;BL0504;BL0504
72430;8350242;BL0504;BL0504
72430;8350243;BL0504;BL0504
72430;8350244;BL0504;BL0504
72430;8350245;BL0504;BL0504
72430;8350246;BL0504;BL0504
72430;8354937;BL0504;BL0504
72430;8359480;BL0504;BL0504
72430;8363811;BL0504;BL0504
3939531;8332003;BL0504;BL0504
3939531;8336288;BL0504;BL0504
3939531;8340415;BL0504;BL0504
3939531;8349228;BL0504;BL0504
3939531;8349229;BL0504;BL0504
3939531;8353418;BL0504;BL0504
3939531;8353419;BL0504;BL0504
3939531;8358464;BL0504;BL0504
3939531;8362794;BL0504;BL0504
2758530;11337716;BL0504;BL0504
2758533;8333049;BL0504;BL0504
2758533;8337280;BL0504;BL0504
2758533;8337281;BL0504;BL0504
2758533;8337282;BL0504;BL0504
2758533;8337283;BL0504;BL0504
2758533;8341415;BL0504;BL0504
2758533;8341416;BL0504;BL0504
2758533;8341417;BL0504;BL0504
2758533;8341418;BL0504;BL0504
2758533;8341419;BL0504;BL0504
2758533;8341420;BL0504;BL0504
2758533;8350250;BL0504;BL0504
2758533;8359487;BL0504;BL0504
2758533;8359488;BL0504;BL0504
2758533;8359489;BL0504;BL0504
2758533;8359490;BL0504;BL0504
2758533;8359491;BL0504;BL0504
2758533;8363819;BL0504;BL0504
2758533;8363820;BL0504;BL0504
2758535;11337713;BL0504;BL0504
2758537;11337711;BL0504;BL0504
72428;8332010;BL0504;BL0504
72428;8358475;BL0504;BL0504
72428;8362800;BL0504;BL0504
72428;8362801;BL0504;BL0504
1297112;8335104;BL0504;BL0504
1297112;8339370;BL0504;BL0504
1297112;8339371;BL0504;BL0504
1297112;8339372;BL0504;BL0504
1297112;8343524;BL0504;BL0504
1297112;8343525;BL0504;BL0504
1297112;8343526;BL0504;BL0504
1297112;8347989;BL0504;BL0504
1297112;8347990;BL0504;BL0504
1297112;8347991;BL0504;BL0504
1297112;8347992;BL0504;BL0504
1297112;8352216;BL0504;BL0504
1297112;8365965;BL0504;BL0504
1297112;8365966;BL0504;BL0504
72434;8335105;BL0504;BL0504
72434;8335106;BL0504;BL0504
72434;8335107;BL0504;BL0504
72434;8335108;BL0504;BL0504
72434;8339373;BL0504;BL0504
72434;8339374;BL0504;BL0504
72434;8343530;BL0504;BL0504
72434;8343531;BL0504;BL0504
72434;8343532;BL0504;BL0504
72434;8343533;BL0504;BL0504
72434;8347993;BL0504;BL0504
72434;8347994;BL0504;BL0504
72434;8347995;BL0504;BL0504
72434;8347996;BL0504;BL0504
72434;8347997;BL0504;BL0504
72434;8352220;BL0504;BL0504
72434;8352221;BL0504;BL0504
72434;8352222;BL0504;BL0504
72434;8352223;BL0504;BL0504
72434;8357168;BL0504;BL0504
72434;8357169;BL0504;BL0504
72434;8357170;BL0504;BL0504
72434;8361643;BL0504;BL0504
72434;8361644;BL0504;BL0504
72434;8361645;BL0504;BL0504
72434;8361646;BL0504;BL0504
72434;8365968;BL0504;BL0504
72434;8365969;BL0504;BL0504
72434;8365970;BL0504;BL0504
2768223;8332523;BL0504;BL0504
2768223;8332524;BL0504;BL0504
2768223;8332525;BL0504;BL0504
2768223;8336801;BL0504;BL0504
2768223;8340907;BL0504;BL0504
2768223;8340908;BL0504;BL0504
2768223;8349748;BL0504;BL0504
2768223;8358995;BL0504;BL0504
2768223;8363296;BL0504;BL0504
72436;8343216;BL0505;BL0505
72437;8348848;BL0505;BL0505
72437;8358086;BL0505;BL0505
6524118;11337751;BL0505;BL0505
72442;11337769;BL0505;BL0505
2763787;11337802;BL0505;BL0505
72440;11337804;BL0505;BL0505
2763790;8346180;BL0505;BL0505
2763790;8350544;BL0505;BL0505
2763790;8355293;BL0505;BL0505
2763790;8364131;BL0505;BL0505
2763791;8333880;BL0505;BL0505
2763791;8346669;BL0505;BL0505
2763791;8346670;BL0505;BL0505
2763791;8346671;BL0505;BL0505
2763791;8351028;BL0505;BL0505
2763791;8360266;BL0505;BL0505
2763791;8364714;BL0505;BL0505
3939623;8334362;BL0505;BL0505
3939623;8347213;BL0505;BL0505
3939623;8360821;BL0505;BL0505
3939623;8365244;BL0505;BL0505
2763793;8338099;BL0505;BL0505
2763793;8342223;BL0505;BL0505
2763793;8346672;BL0505;BL0505
2763793;8355848;BL0505;BL0505
2763793;8360267;BL0505;BL0505
2763793;8362782;BL0505;BL0505
72441;8333581;BL0505;BL0505
72441;8333582;BL0505;BL0505
72441;8333583;BL0505;BL0505
72441;8337814;BL0505;BL0505
72441;8337815;BL0505;BL0505
72441;8341957;BL0505;BL0505
72441;8341958;BL0505;BL0505
72441;8346393;BL0505;BL0505
72441;8350729;BL0505;BL0505
72441;8350730;BL0505;BL0505
72441;8350731;BL0505;BL0505
72441;8355527;BL0505;BL0505
72441;8355528;BL0505;BL0505
72441;8355529;BL0505;BL0505
72441;8355530;BL0505;BL0505
72441;8355531;BL0505;BL0505
72441;8359976;BL0505;BL0505
72441;8359977;BL0505;BL0505
72441;8359978;BL0505;BL0505
72441;8359979;BL0505;BL0505
72441;8364369;BL0505;BL0505
72441;8364370;BL0505;BL0505
72441;8364371;BL0505;BL0505
72431;8332464;BL0505;BL0505
72431;8332465;BL0505;BL0505
72431;8332466;BL0505;BL0505
2758528;8335056;BL0505;BL0505
2758528;8335057;BL0505;BL0505
2758528;8352177;BL0505;BL0505
2758528;8365926;BL0505;BL0505
2758528;8365927;BL0505;BL0505
4347755;8348575;BL0505;BL0505
4347755;8357807;BL0505;BL0505
4347755;10553602;BL0505;BL0505
4347755;10553836;BL0505;BL0505
2758531;8331360;BL0505;BL0505
2758531;8344171;BL0505;BL0505
2758531;8362126;BL0505;BL0505
2758531;8362127;BL0505;BL0505
2758534;8333584;BL0505;BL0505
72435;8337251;BL0505;BL0505
72435;8337252;BL0505;BL0505
72435;8337253;BL0505;BL0505
72435;8337254;BL0505;BL0505
72435;8337255;BL0505;BL0505
72432;8333014;BL0505;BL0505
72432;8333015;BL0505;BL0505
72432;8333016;BL0505;BL0505
72432;8337256;BL0505;BL0505
72432;8337257;BL0505;BL0505
72432;8337258;BL0505;BL0505
72432;8337259;BL0505;BL0505
72432;8337260;BL0505;BL0505
72432;8341378;BL0505;BL0505
72432;8341379;BL0505;BL0505
72432;8341380;BL0505;BL0505
72432;8341381;BL0505;BL0505
72432;8341382;BL0505;BL0505
72432;8345826;BL0505;BL0505
72432;8345827;BL0505;BL0505
72432;8350222;BL0505;BL0505
72432;8350223;BL0505;BL0505
72432;8350224;BL0505;BL0505
72432;8350225;BL0505;BL0505
72432;8354912;BL0505;BL0505
72432;8354913;BL0505;BL0505
72432;8354914;BL0505;BL0505
72432;8354915;BL0505;BL0505
72432;8354916;BL0505;BL0505
72432;8354917;BL0505;BL0505
72432;8354918;BL0505;BL0505
72432;8354919;BL0505;BL0505
72432;8359445;BL0505;BL0505
72432;8363775;BL0505;BL0505
72432;8363776;BL0505;BL0505
72432;8363777;BL0505;BL0505
72432;8363778;BL0505;BL0505
5579292;11337674;BL0505;BL0505
2758544;11337672;BL0505;BL0505
2758547;8335100;BL0505;BL0505
2758547;8343521;BL0505;BL0505
2758547;8352212;BL0505;BL0505
2758547;8357162;BL0505;BL0505
2758549;8336778;BL0505;BL0505
2758549;8345336;BL0505;BL0505
2758549;8349725;BL0505;BL0505
2758549;8354385;BL0505;BL0505
2758549;8358973;BL0505;BL0505
72418;11337593;BL0505;BL0505
72419;8333017;BL0505;BL0505
72419;8333018;BL0505;BL0505
72419;8333019;BL0505;BL0505
72419;8333020;BL0505;BL0505
72419;8337261;BL0505;BL0505
72419;8337262;BL0505;BL0505
72419;8341383;BL0505;BL0505
72419;8341384;BL0505;BL0505
72419;8341385;BL0505;BL0505
72419;8345828;BL0505;BL0505
72419;8345829;BL0505;BL0505
72419;8345830;BL0505;BL0505
72419;8345831;BL0505;BL0505
72419;8345832;BL0505;BL0505
72419;8345833;BL0505;BL0505
72419;8345834;BL0505;BL0505
72419;8350226;BL0505;BL0505
72419;8350227;BL0505;BL0505
72419;8350228;BL0505;BL0505
72419;8350229;BL0505;BL0505
72419;8350230;BL0505;BL0505
72419;8354920;BL0505;BL0505
72419;8354921;BL0505;BL0505
72419;8354922;BL0505;BL0505
72419;8359446;BL0505;BL0505
72419;8359447;BL0505;BL0505
