Projectnummer;LU Key;CLUSTER_NR;LAM MK;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH12;1299779;;1299779;BL1202;BL1202;BUILDING template;Zuidstraat;27;
KNOKKE-HEIST - FH12;1347237;;1347237;BL1213;BL1213;BUILDING template;Oostenhem;28;
KNOKKE-HEIST - FH12;1441406;;1441406;BL1204;BL1204;BUILDING template;Emanuel Hielstraat;19;
KNOKKE-HEIST - FH12;1448711;;1448711;BL1208;BL1208;BUILDING template;Pinksterbloemhof;6;
KNOKKE-HEIST - FH12;1449134;;1449134;BL1218;BL1218;BUILDING template;Laurierstraat;10;
KNOKKE-HEIST - FH12;1449304;;1449304;BL1209;BL1209;BUILDING template;Hendrik Consciencestraat;65;
KNOKKE-HEIST - FH12;1449722;;1449722;BL1209;BL1209;BUILDING template;Hendrik Consciencestraat;37;
KNOKKE-HEIST - FH12;1459948;;1459948;BL1208;BL1208;BUILDING template;Pinksterbloemhof;13;
KNOKKE-HEIST - FH12;1460912;;1460912;BL1209;BL1209;BUILDING template;Hendrik Consciencestraat;55;
KNOKKE-HEIST - FH12;1461104;;1461104;BL1202;BL1202;BUILDING template;Polderstraat;9;
KNOKKE-HEIST - FH12;1461579;;1461579;BL1204;BL1204;BUILDING template;Emanuel Hielstraat;41;
KNOKKE-HEIST - FH12;1463191;;1463191;BL1202;BL1202;BUILDING template;Zuidstraat;17;
KNOKKE-HEIST - FH12;1467954;;1467954;BL1209;BL1209;BUILDING template;Pannenstraat;290;
KNOKKE-HEIST - FH12;1468910;;1468910;BL1208;BL1208;BUILDING template;Krommedijk;65;
KNOKKE-HEIST - FH12;1468911;;1468911;BL1208;BL1208;BUILDING template;Knokkestraat;298;
KNOKKE-HEIST - FH12;1475681;;1475681;BL1203;BL1203;BUILDING template;Emanuel Hielstraat;14;
KNOKKE-HEIST - FH12;1475682;;1475682;BL1203;BL1203;BUILDING template;Emanuel Hielstraat;12;
KNOKKE-HEIST - FH12;1475709;;1475709;BL1203;BL1203;BUILDING template;Zuidstraat;10;
KNOKKE-HEIST - FH12;1475710;;1475710;BL1203;BL1203;BUILDING template;Zuidstraat;12;
KNOKKE-HEIST - FH12;1476265;;1476265;BL1204;BL1204;BUILDING template;Pannenstraat;167;
KNOKKE-HEIST - FH12;1494374;;1494374;BL1204;BL1204;BUILDING template;Emanuel Hielstraat;1;
KNOKKE-HEIST - FH12;1497556;;1497556;BL1203;BL1203;BUILDING template;Zuidstraat;6;
