Projectnummer;LU Key;CLUSTER_NR;LAM MK;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH10;2757843;;2757843;BL1009;BL1009;BUILDING template;Anemonenlaan;3;
KNOKKE-HEIST - FH10;2757844;;2757844;BL1042;BL1042;BUILDING template;Anemonenlaan;12;
KNOKKE-HEIST - FH10;2757845;;2757845;BL1042;BL1042;BUILDING template;Anemonenlaan;13;
KNOKKE-HEIST - FH10;295469;;295469;BL1042;BL1042;BUILDING template;Anemonenlaan;14;
KNOKKE-HEIST - FH10;295471;;295471;BL1041;BL1041;BUILDING template;Anemonenlaan;10;
KNOKKE-HEIST - FH10;295472;;295472;BL1041;BL1041;BUILDING template;Anemonenlaan;9;
KNOKKE-HEIST - FH10;295571;;295571;BL1009;BL1009;BUILDING template;Anemonenlaan;5;
KNOKKE-HEIST - FH10;296983;;296983;BL1025;BL1025;BUILDING template;Anemonenlaan;7;
KNOKKE-HEIST - FH10;296985;;296985;BL1025;BL1025;BUILDING template;Anemonenlaan;6;
KNOKKE-HEIST - FH10;9867;;9867;BL1009;BL1009;BUILDING template;Anemonenlaan;2;
KNOKKE-HEIST - FH10;8332105;;2757843;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;3;
KNOKKE-HEIST - FH10;8332106;;2757843;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;3;
KNOKKE-HEIST - FH10;8332107;;2757843;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;3;
KNOKKE-HEIST - FH10;8332108;;2757843;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;3;
KNOKKE-HEIST - FH10;8336383;;2757843;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;3;
KNOKKE-HEIST - FH10;8336384;;2757843;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;3;
KNOKKE-HEIST - FH10;8349319;;2757843;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;3;
KNOKKE-HEIST - FH10;8358562;;2757843;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;3;
KNOKKE-HEIST - FH10;8358563;;2757843;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;3;
KNOKKE-HEIST - FH10;8358564;;2757843;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;3;
KNOKKE-HEIST - FH10;8358565;;2757843;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;3;
KNOKKE-HEIST - FH10;8359114;;2757844;BL1042;BL1042;(L/B/S)U template;Anemonenlaan;12;
KNOKKE-HEIST - FH10;8338957;;2757845;BL1042;BL1042;(L/B/S)U template;Anemonenlaan;13;
KNOKKE-HEIST - FH10;8336935;;295469;BL1042;BL1042;(L/B/S)U template;Anemonenlaan;14;
KNOKKE-HEIST - FH10;8361765;;295471;BL1041;BL1041;(L/B/S)U template;Anemonenlaan;10;
KNOKKE-HEIST - FH10;8342082;;295472;BL1041;BL1041;(L/B/S)U template;Anemonenlaan;9;
KNOKKE-HEIST - FH10;8342055;;295571;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;5;
KNOKKE-HEIST - FH10;8338470;;296983;BL1025;BL1025;(L/B/S)U template;Anemonenlaan;7;
KNOKKE-HEIST - FH10;8353538;;296985;BL1025;BL1025;(L/B/S)U template;Anemonenlaan;6;
KNOKKE-HEIST - FH10;8363919;;9867;BL1009;BL1009;(L/B/S)U template;Anemonenlaan;2;
KNOKKE-HEIST - FH10;6344143;;6344143;BL1042;BL1042;BUILDING template;Anemonenlaan;11;
KNOKKE-HEIST - FH10;11390448;;6344143;BL1042;BL1042;(L/B/S)U template;Anemonenlaan;11;
KNOKKE-HEIST - FH10;294681;;294681;BL1050;BL1050;BUILDING template;Arcadelaan;1;
KNOKKE-HEIST - FH10;8350319;;294681;BL1050;BL1050;(L/B/S)U template;Arcadelaan;1;
KNOKKE-HEIST - FH10;2758059;;2758059;BL1007;BL1007;BUILDING template;Bergdreef;1;
KNOKKE-HEIST - FH10;2758060;;2758060;BL1007;BL1007;BUILDING template;Bergdreef;7;
KNOKKE-HEIST - FH10;2758068;;2758068;BL1007;BL1007;BUILDING template;Bergdreef;21;
KNOKKE-HEIST - FH10;2758072;;2758072;BL1019;BL1019;BUILDING template;Bergdreef;31;
KNOKKE-HEIST - FH10;2758073;;2758073;BL1019;BL1019;BUILDING template;Bergdreef;33;
KNOKKE-HEIST - FH10;293452;;293452;BL1007;BL1007;BUILDING template;Bergdreef;19;
KNOKKE-HEIST - FH10;293757;;293757;BL1014;BL1014;BUILDING template;Bergdreef;8;
KNOKKE-HEIST - FH10;293759;;293759;BL1020;BL1020;BUILDING template;Bergdreef;12;
KNOKKE-HEIST - FH10;294229;;294229;BL1007;BL1007;BUILDING template;Bergdreef;23;
KNOKKE-HEIST - FH10;5579279;;5579279;BL1014;BL1014;BUILDING template;Bergdreef;10;
KNOKKE-HEIST - FH10;5579280;;5579280;BL1007;BL1007;BUILDING template;Bergdreef;11;
KNOKKE-HEIST - FH10;8339038;;2758059;BL1007;BL1007;(L/B/S)U template;Bergdreef;1;
KNOKKE-HEIST - FH10;8347666;;2758059;BL1007;BL1007;(L/B/S)U template;Bergdreef;1;
KNOKKE-HEIST - FH10;8356815;;2758059;BL1007;BL1007;(L/B/S)U template;Bergdreef;1;
KNOKKE-HEIST - FH10;8365637;;2758059;BL1007;BL1007;(L/B/S)U template;Bergdreef;1;
KNOKKE-HEIST - FH10;8365638;;2758059;BL1007;BL1007;(L/B/S)U template;Bergdreef;1;
KNOKKE-HEIST - FH10;8347161;;2758060;BL1007;BL1007;(L/B/S)U template;Bergdreef;7;
KNOKKE-HEIST - FH10;8356308;;2758060;BL1007;BL1007;(L/B/S)U template;Bergdreef;7;
KNOKKE-HEIST - FH10;8360764;;2758060;BL1007;BL1007;(L/B/S)U template;Bergdreef;7;
KNOKKE-HEIST - FH10;8365175;;2758060;BL1007;BL1007;(L/B/S)U template;Bergdreef;7;
KNOKKE-HEIST - FH10;8365176;;2758060;BL1007;BL1007;(L/B/S)U template;Bergdreef;7;
KNOKKE-HEIST - FH10;8366221;;2758068;BL1007;BL1007;(L/B/S)U template;Bergdreef;21;
KNOKKE-HEIST - FH10;8334634;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8334635;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8338892;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8338893;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8343000;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8347513;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8347514;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8347515;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8351793;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8351794;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8351795;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8356661;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8356662;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8356663;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8361132;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8361133;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8361134;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8365499;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8365500;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8365501;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8365502;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8365503;;2758072;BL1019;BL1019;(L/B/S)U template;Bergdreef;31;
KNOKKE-HEIST - FH10;8345909;;2758073;BL1019;BL1019;(L/B/S)U template;Bergdreef;33;
KNOKKE-HEIST - FH10;8355299;;293452;BL1007;BL1007;(L/B/S)U template;Bergdreef;19;
KNOKKE-HEIST - FH10;8334109;;293757;BL1014;BL1014;(L/B/S)U template;Bergdreef;8;
KNOKKE-HEIST - FH10;8338347;;293757;BL1014;BL1014;(L/B/S)U template;Bergdreef;8;
KNOKKE-HEIST - FH10;8351249;;293757;BL1014;BL1014;(L/B/S)U template;Bergdreef;8;
KNOKKE-HEIST - FH10;8364957;;293757;BL1014;BL1014;(L/B/S)U template;Bergdreef;8;
KNOKKE-HEIST - FH10;8364958;;293757;BL1014;BL1014;(L/B/S)U template;Bergdreef;8;
