Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH11;1857290;;BL1113;1857290;BUILDING template;;Graaf van Egmontstraat;56;
ANTWERPEN-WEST - FH11;1892021;;BL1121;1892021;BUILDING template;;Gentplaats;5;
ANTWERPEN-WEST - FH11;1892048;;BL1121;1892048;BUILDING template;;Gentplaats;6;
ANTWERPEN-WEST - FH11;1892178;;BL1119;1892178;BUILDING template;Jan van Gentstraat 1-3_Pacificatiestraat 2;Jan van Gentstraat;3;
ANTWERPEN-WEST - FH11;1892212;;BL1119;1892212;BUILDING template;Jan van Gentstraat 5-7-9-11;Jan van Gentstraat;7;
ANTWERPEN-WEST - FH11;1892300;;BL1119;1892300;BUILDING template;;Jan van Gentstraat;29;
ANTWERPEN-WEST - FH11;1893506;;BL1105;1893506;BUILDING template;De Gerlachekaai 6-7-8;De Gerlachekaai;6;
ANTWERPEN-WEST - FH11;1898919;;BL1118;1898919;BUILDING template;;Gijzelaarsstraat;4;
ANTWERPEN-WEST - FH11;1898933;;BL1118;1898933;BUILDING template;;Gijzelaarsstraat;8;
ANTWERPEN-WEST - FH11;1898934;;BL1118;1898934;BUILDING template;;Gijzelaarsstraat;10;
ANTWERPEN-WEST - FH11;1898939;;BL1118;1898939;BUILDING template;;Gijzelaarsstraat;12;
ANTWERPEN-WEST - FH11;1898949;;BL1118;1898949;BUILDING template;;Gijzelaarsstraat;14;
ANTWERPEN-WEST - FH11;1898986;;BL1118;1898986;BUILDING template;;Gijzelaarsstraat;16;
ANTWERPEN-WEST - FH11;1899083;;BL1118;1899083;BUILDING template;;Gijzelaarsstraat;24;
ANTWERPEN-WEST - FH11;1899089;;BL1118;1899089;BUILDING template;;Gijzelaarsstraat;26;
ANTWERPEN-WEST - FH11;1899109;;BL1118;1899109;BUILDING template;;Gijzelaarsstraat;28;
ANTWERPEN-WEST - FH11;1899122;;BL1118;1899122;BUILDING template;;Gijzelaarsstraat;30;
ANTWERPEN-WEST - FH11;1899134;;BL1118;1899134;BUILDING template;;Gijzelaarsstraat;32;
ANTWERPEN-WEST - FH11;1899138;;BL1118;1899138;BUILDING template;;Gijzelaarsstraat;34;
ANTWERPEN-WEST - FH11;1899183;;BL1118;1899183;BUILDING template;;Gijzelaarsstraat;38;
ANTWERPEN-WEST - FH11;1899274;;BL1118;1899274;BUILDING template;;Gijzelaarsstraat;44;
ANTWERPEN-WEST - FH11;1899319;;BL1118;1899319;BUILDING template;;Gijzelaarsstraat;46;
ANTWERPEN-WEST - FH11;1899387;;BL1118;1899387;BUILDING template;;Gijzelaarsstraat;54;
ANTWERPEN-WEST - FH11;1899515;;BL1119;1899515;BUILDING template;;Gijzelaarsstraat;64;
ANTWERPEN-WEST - FH11;1899523;;BL1119;1899523;BUILDING template;;Gijzelaarsstraat;66;
ANTWERPEN-WEST - FH11;1899532;;BL1119;1899532;BUILDING template;;Gijzelaarsstraat;68;
ANTWERPEN-WEST - FH11;1899550;;BL1119;1899550;BUILDING template;;Gijzelaarsstraat;74;
ANTWERPEN-WEST - FH11;1899555;;BL1119;1899555;BUILDING template;;Gijzelaarsstraat;76;
ANTWERPEN-WEST - FH11;1899562;;BL1119;1899562;BUILDING template;;Gijzelaarsstraat;78;
ANTWERPEN-WEST - FH11;1948421;;BL1107;1948421;BUILDING template;;IJzerenpoortkaai;3;
ANTWERPEN-WEST - FH11;1948435;;BL1107;1948435;BUILDING template;;IJzerenpoortkaai;7;
ANTWERPEN-WEST - FH11;1948438;;BL1107;1948438;BUILDING template;;IJzerenpoortkaai;8;
ANTWERPEN-WEST - FH11;1948442;;BL1107;1948442;BUILDING template;;IJzerenpoortkaai;9;
ANTWERPEN-WEST - FH11;1979919;;BL1105;1979919;BUILDING template;;Lakenstraat;3;
ANTWERPEN-WEST - FH11;1979925;;BL1105;1979925;BUILDING template;;Lakenstraat;3;A
ANTWERPEN-WEST - FH11;1979932;;BL1105;1979932;BUILDING template;;Lakenstraat;3;B
ANTWERPEN-WEST - FH11;1979935;;BL1105;1979935;BUILDING template;;Lakenstraat;5;
ANTWERPEN-WEST - FH11;1990345;;BL1110;1990345;BUILDING template;Leuvenstraat 1-3-5-7-9;Leuvenstraat;3;
ANTWERPEN-WEST - FH11;1990349;;BL1110;1990349;BUILDING template;Leuvenstraat 1-3-5-7-9;Leuvenstraat;7;
ANTWERPEN-WEST - FH11;1993988;;BL1108;1993988;BUILDING template;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Luikstraat;1;
ANTWERPEN-WEST - FH11;1993992;;BL1107;1993992;BUILDING template;;Luikstraat;6;
ANTWERPEN-WEST - FH11;1993994;;BL1108;1993994;BUILDING template;;Luikstraat;7;
ANTWERPEN-WEST - FH11;1993995;;BL1107;1993995;BUILDING template;;Luikstraat;8;
ANTWERPEN-WEST - FH11;2023803;;BL1114;2023803;BUILDING template;;Museumstraat;7;
ANTWERPEN-WEST - FH11;2023806;;BL1115;2023806;BUILDING template;;Museumstraat;8;
ANTWERPEN-WEST - FH11;2023858;;BL1114;2023858;BUILDING template;;Museumstraat;15;
ANTWERPEN-WEST - FH11;2023861;;BL1114;2023861;BUILDING template;;Museumstraat;17;
ANTWERPEN-WEST - FH11;2023866;;BL1114;2023866;BUILDING template;;Museumstraat;21;
ANTWERPEN-WEST - FH11;2023868;;BL1114;2023868;BUILDING template;;Museumstraat;23;
ANTWERPEN-WEST - FH11;2023870;;BL1114;2023870;BUILDING template;;Museumstraat;25;
ANTWERPEN-WEST - FH11;2023874;;BL1114;2023874;BUILDING template;;Museumstraat;27;
ANTWERPEN-WEST - FH11;2023876;;BL1114;2023876;BUILDING template;;Museumstraat;29;
ANTWERPEN-WEST - FH11;2023881;;BL1114;2023881;BUILDING template;;Museumstraat;31;
ANTWERPEN-WEST - FH11;2023892;;BL1115;2023892;BUILDING template;;Museumstraat;32;
ANTWERPEN-WEST - FH11;2023898;;BL1114;2023898;BUILDING template;;Museumstraat;35;
ANTWERPEN-WEST - FH11;2023908;;BL1115;2023908;BUILDING template;Museumstraat 36-38-40;Museumstraat;36;
ANTWERPEN-WEST - FH11;2023915;;BL1114;2023915;BUILDING template;;Museumstraat;39;
ANTWERPEN-WEST - FH11;2023925;;BL1114;2023925;BUILDING template;;Museumstraat;41;
ANTWERPEN-WEST - FH11;2023929;;BL1114;2023929;BUILDING template;;Museumstraat;43;
ANTWERPEN-WEST - FH11;2023933;;BL1115;2023933;BUILDING template;;Museumstraat;44;
ANTWERPEN-WEST - FH11;2024583;;BL1102;2024583;BUILDING template;;Namenstraat;3;
ANTWERPEN-WEST - FH11;2024587;;BL1102;2024587;BUILDING template;;Namenstraat;7;
ANTWERPEN-WEST - FH11;2024597;;BL1102;2024597;BUILDING template;;Namenstraat;13;
ANTWERPEN-WEST - FH11;2024600;;BL1102;2024600;BUILDING template;;Namenstraat;17;
ANTWERPEN-WEST - FH11;2038495;;BL1119;2038495;BUILDING template;;Pacificatiestraat;4;
ANTWERPEN-WEST - FH11;2038496;;BL1118;2038496;BUILDING template;;Pacificatiestraat;5;
ANTWERPEN-WEST - FH11;2038504;;BL1118;2038504;BUILDING template;;Pacificatiestraat;11;
ANTWERPEN-WEST - FH11;2038510;;BL1119;2038510;BUILDING template;;Pacificatiestraat;14;
ANTWERPEN-WEST - FH11;2038516;;BL1118;2038516;BUILDING template;;Pacificatiestraat;17;
ANTWERPEN-WEST - FH11;2038522;;BL1118;2038522;BUILDING template;;Pacificatiestraat;19;
ANTWERPEN-WEST - FH11;2038526;;BL1118;2038526;BUILDING template;;Pacificatiestraat;21;
ANTWERPEN-WEST - FH11;2045444;;BL1117;2045444;BUILDING template;;Pourbusstraat;2;A
ANTWERPEN-WEST - FH11;2045445;;BL1116;2045445;BUILDING template;;Pourbusstraat;3;
ANTWERPEN-WEST - FH11;2045446;;BL1117;2045446;BUILDING template;;Pourbusstraat;4;
ANTWERPEN-WEST - FH11;2045449;;BL1116;2045449;BUILDING template;;Pourbusstraat;7;
ANTWERPEN-WEST - FH11;2045450;;BL1117;2045450;BUILDING template;;Pourbusstraat;8;
ANTWERPEN-WEST - FH11;2045451;;BL1116;2045451;BUILDING template;;Pourbusstraat;9;
ANTWERPEN-WEST - FH11;2045452;;BL1117;2045452;BUILDING template;;Pourbusstraat;12;
ANTWERPEN-WEST - FH11;2045453;;BL1116;2045453;BUILDING template;;Pourbusstraat;13;
ANTWERPEN-WEST - FH11;2045454;;BL1117;2045454;BUILDING template;;Pourbusstraat;14;
ANTWERPEN-WEST - FH11;2045456;;BL1117;2045456;BUILDING template;;Pourbusstraat;16;
ANTWERPEN-WEST - FH11;2045458;;BL1117;2045458;BUILDING template;;Pourbusstraat;18;
ANTWERPEN-WEST - FH11;2045461;;BL1117;2045461;BUILDING template;;Pourbusstraat;22;
ANTWERPEN-WEST - FH11;2045463;;BL1117;2045463;BUILDING template;;Pourbusstraat;24;
ANTWERPEN-WEST - FH11;2050228;;BL1103;2050228;BUILDING template;Schalienstraat 1-3-5_Verviersstraat 2-4;Schalienstraat;3;
ANTWERPEN-WEST - FH11;2050230;;BL1102;2050230;BUILDING template;;Schalienstraat;6;
ANTWERPEN-WEST - FH11;2050231;;BL1102;2050231;BUILDING template;;Schalienstraat;8;
ANTWERPEN-WEST - FH11;2050232;;BL1102;2050232;BUILDING template;;Schalienstraat;10;
ANTWERPEN-WEST - FH11;2050234;;BL1102;2050234;BUILDING template;;Schalienstraat;16;
ANTWERPEN-WEST - FH11;2050237;;BL1102;2050237;BUILDING template;Schalienstraat 24-26;Schalienstraat;24;
ANTWERPEN-WEST - FH11;2050501;;BL1111;2050501;BUILDING template;;Scheldestraat;12;
ANTWERPEN-WEST - FH11;2050503;;BL1111;2050503;BUILDING template;;Scheldestraat;14;
ANTWERPEN-WEST - FH11;2050506;;BL1111;2050506;BUILDING template;;Scheldestraat;22;
ANTWERPEN-WEST - FH11;2050509;;BL1111;2050509;BUILDING template;;Scheldestraat;26;
ANTWERPEN-WEST - FH11;2050510;;BL1111;2050510;BUILDING template;;Scheldestraat;28;
ANTWERPEN-WEST - FH11;2050512;;BL1111;2050512;BUILDING template;;Scheldestraat;30;
ANTWERPEN-WEST - FH11;2050514;;BL1111;2050514;BUILDING template;;Scheldestraat;32;
ANTWERPEN-WEST - FH11;2055993;;BL1101;2055993;BUILDING template;Van Der Sweepstraat 3-5-7;Van der Sweepstraat;5;
ANTWERPEN-WEST - FH11;2056917;;BL1110;2056917;BUILDING template;;Timmerwerfstraat;8;
ANTWERPEN-WEST - FH11;2056918;;BL1110;2056918;BUILDING template;;Timmerwerfstraat;10;
ANTWERPEN-WEST - FH11;2060102;;BL1113;2060102;BUILDING template;;Verlatstraat;3;
ANTWERPEN-WEST - FH11;2060104;;BL1113;2060104;BUILDING template;;Verlatstraat;5;
ANTWERPEN-WEST - FH11;2060105;;BL1113;2060105;BUILDING template;Verlatstraat 11-13;Verlatstraat;11;
ANTWERPEN-WEST - FH11;2060106;;BL1113;2060106;BUILDING template;Verlatstraat 11-13;Verlatstraat;13;
ANTWERPEN-WEST - FH11;2060110;;BL1113;2060110;BUILDING template;;Verlatstraat;19;
ANTWERPEN-WEST - FH11;2060111;;BL1114;2060111;BUILDING template;;Verlatstraat;20;
ANTWERPEN-WEST - FH11;2060116;;BL1114;2060116;BUILDING template;;Verlatstraat;24;
ANTWERPEN-WEST - FH11;2060118;;BL1114;2060118;BUILDING template;;Verlatstraat;26;
ANTWERPEN-WEST - FH11;2060119;;BL1114;2060119;BUILDING template;;Verlatstraat;28;
ANTWERPEN-WEST - FH11;2060120;;BL1113;2060120;BUILDING template;;Verlatstraat;29;
ANTWERPEN-WEST - FH11;2060121;;BL1114;2060121;BUILDING template;;Verlatstraat;30;
ANTWERPEN-WEST - FH11;2060122;;BL1113;2060122;BUILDING template;;Verlatstraat;31;
ANTWERPEN-WEST - FH11;2060123;;BL1114;2060123;BUILDING template;;Verlatstraat;32;
ANTWERPEN-WEST - FH11;2060124;;BL1113;2060124;BUILDING template;;Verlatstraat;33;
ANTWERPEN-WEST - FH11;2060125;;BL1114;2060125;BUILDING template;;Verlatstraat;34;
ANTWERPEN-WEST - FH11;2060126;;BL1113;2060126;BUILDING template;;Verlatstraat;35;
ANTWERPEN-WEST - FH11;2060272;;BL1116;2060272;BUILDING template;;Verschansingstraat;4;
ANTWERPEN-WEST - FH11;2060274;;BL1116;2060274;BUILDING template;;Verschansingstraat;6;
ANTWERPEN-WEST - FH11;2060276;;BL1116;2060276;BUILDING template;;Verschansingstraat;8;
ANTWERPEN-WEST - FH11;2060279;;BL1116;2060279;BUILDING template;;Verschansingstraat;12;
ANTWERPEN-WEST - FH11;2060280;;BL1116;2060280;BUILDING template;;Verschansingstraat;14;
ANTWERPEN-WEST - FH11;2060282;;BL1116;2060282;BUILDING template;Verschansingstraat 16-16A;Verschansingstraat;16;
ANTWERPEN-WEST - FH11;2060290;;BL1117;2060290;BUILDING template;;Verschansingstraat;28;
ANTWERPEN-WEST - FH11;2060292;;BL1117;2060292;BUILDING template;;Verschansingstraat;32;
ANTWERPEN-WEST - FH11;2060293;;BL1117;2060293;BUILDING template;;Verschansingstraat;34;
ANTWERPEN-WEST - FH11;2060294;;BL1117;2060294;BUILDING template;;Verschansingstraat;36;
ANTWERPEN-WEST - FH11;2060297;;BL1117;2060297;BUILDING template;;Verschansingstraat;40;
ANTWERPEN-WEST - FH11;2060299;;BL1117;2060299;BUILDING template;;Verschansingstraat;42;
ANTWERPEN-WEST - FH11;2060301;;BL1117;2060301;BUILDING template;;Verschansingstraat;44;
ANTWERPEN-WEST - FH11;2060303;;BL1117;2060303;BUILDING template;;Verschansingstraat;46;
ANTWERPEN-WEST - FH11;2060304;;BL1117;2060304;BUILDING template;;Verschansingstraat;48;
ANTWERPEN-WEST - FH11;2060311;;BL1117;2060311;BUILDING template;Gillisplaats 2_Verschansingstraat 52-54-56_Vlaamsekaai 63;Verschansingstraat;54;
ANTWERPEN-WEST - FH11;2060362;;BL1103;2060362;BUILDING template;Schalienstraat 1-3-5_Verviersstraat 2-4;Verviersstraat;2;
ANTWERPEN-WEST - FH11;2060367;;BL1104;2060367;BUILDING template;;Verviersstraat;9;
ANTWERPEN-WEST - FH11;2060368;;BL1104;2060368;BUILDING template;;Verviersstraat;15;
ANTWERPEN-WEST - FH11;2060961;;BL1105;2060961;BUILDING template;;Visserskaai;2;
ANTWERPEN-WEST - FH11;2060962;;BL1105;2060962;BUILDING template;;Visserskaai;3;
ANTWERPEN-WEST - FH11;2060963;;BL1105;2060963;BUILDING template;;Visserskaai;4;
ANTWERPEN-WEST - FH11;2060964;;BL1105;2060964;BUILDING template;;Visserskaai;8;
ANTWERPEN-WEST - FH11;2060965;;BL1105;2060965;BUILDING template;;Visserskaai;9;
ANTWERPEN-WEST - FH11;2060966;;BL1105;2060966;BUILDING template;;Visserskaai;10;
ANTWERPEN-WEST - FH11;2060967;;BL1112;2060967;BUILDING template;;Vlaamsekaai;2;
ANTWERPEN-WEST - FH11;2060971;;BL1112;2060971;BUILDING template;;Vlaamsekaai;8;
ANTWERPEN-WEST - FH11;2060972;;BL1112;2060972;BUILDING template;;Vlaamsekaai;10;
ANTWERPEN-WEST - FH11;2060973;;BL1112;2060973;BUILDING template;;Vlaamsekaai;14;
ANTWERPEN-WEST - FH11;2060974;;BL1113;2060974;BUILDING template;;Vlaamsekaai;19;
ANTWERPEN-WEST - FH11;2060975;;BL1113;2060975;BUILDING template;;Vlaamsekaai;20;
ANTWERPEN-WEST - FH11;2060977;;BL1113;2060977;BUILDING template;;Vlaamsekaai;24;
ANTWERPEN-WEST - FH11;2060986;;BL1115;2060986;BUILDING template;;Vlaamsekaai;34;
ANTWERPEN-WEST - FH11;2060987;;BL1115;2060987;BUILDING template;;Vlaamsekaai;35;
ANTWERPEN-WEST - FH11;2060989;;BL1116;2060989;BUILDING template;;Vlaamsekaai;43;
ANTWERPEN-WEST - FH11;2060990;;BL1116;2060990;BUILDING template;;Vlaamsekaai;44;
ANTWERPEN-WEST - FH11;2060994;;BL1116;2060994;BUILDING template;;Vlaamsekaai;46;
ANTWERPEN-WEST - FH11;2060995;;BL1116;2060995;BUILDING template;;Vlaamsekaai;47;
ANTWERPEN-WEST - FH11;2060996;;BL1116;2060996;BUILDING template;;Vlaamsekaai;48;
ANTWERPEN-WEST - FH11;2060998;;BL1117;2060998;BUILDING template;;Vlaamsekaai;53;
ANTWERPEN-WEST - FH11;2061005;;BL1117;2061005;BUILDING template;;Vlaamsekaai;58;
ANTWERPEN-WEST - FH11;2061007;;BL1117;2061007;BUILDING template;;Vlaamsekaai;61;
ANTWERPEN-WEST - FH11;2061008;;BL1118;2061008;BUILDING template;;Vlaamsekaai;65;
ANTWERPEN-WEST - FH11;2061009;;BL1118;2061009;BUILDING template;;Vlaamsekaai;66;
ANTWERPEN-WEST - FH11;2061010;;BL1118;2061010;BUILDING template;;Vlaamsekaai;68;
ANTWERPEN-WEST - FH11;2061011;;BL1118;2061011;BUILDING template;;Vlaamsekaai;69;
ANTWERPEN-WEST - FH11;2061012;;BL1118;2061012;BUILDING template;;Vlaamsekaai;71;
ANTWERPEN-WEST - FH11;2061013;;BL1118;2061013;BUILDING template;;Vlaamsekaai;72;
ANTWERPEN-WEST - FH11;2061014;;BL1118;2061014;BUILDING template;;Vlaamsekaai;73;
ANTWERPEN-WEST - FH11;2061015;;BL1118;2061015;BUILDING template;;Vlaamsekaai;76;
ANTWERPEN-WEST - FH11;2061017;;BL1118;2061017;BUILDING template;;Vlaamsekaai;78;
ANTWERPEN-WEST - FH11;2061018;;BL1118;2061018;BUILDING template;;Vlaamsekaai;79;
ANTWERPEN-WEST - FH11;2061022;;BL1118;2061022;BUILDING template;;Vlaamsekaai;85;
ANTWERPEN-WEST - FH11;2061023;;BL1118;2061023;BUILDING template;;Vlaamsekaai;86;
ANTWERPEN-WEST - FH11;2061024;;BL1118;2061024;BUILDING template;;Vlaamsekaai;87;
ANTWERPEN-WEST - FH11;2061025;;BL1118;2061025;BUILDING template;;Vlaamsekaai;88;
ANTWERPEN-WEST - FH11;2061798;;BL1112;2061798;BUILDING template;;Vorstermanstraat;7;
ANTWERPEN-WEST - FH11;2061801;;BL1112;2061801;BUILDING template;;Vorstermanstraat;9;
ANTWERPEN-WEST - FH11;2061804;;BL1113;2061804;BUILDING template;;Vorstermanstraat;16;
ANTWERPEN-WEST - FH11;2062523;;BL1111;2062523;BUILDING template;Waalsekaai 2-3-4-5;Waalsekaai;3;
ANTWERPEN-WEST - FH11;2062526;;BL1111;2062526;BUILDING template;;Waalsekaai;6;
ANTWERPEN-WEST - FH11;2062530;;BL1111;2062530;BUILDING template;;Waalsekaai;8;
ANTWERPEN-WEST - FH11;2062531;;BL1111;2062531;BUILDING template;;Waalsekaai;10;
ANTWERPEN-WEST - FH11;2062533;;BL1110;2062533;BUILDING template;;Waalsekaai;18;
ANTWERPEN-WEST - FH11;2062534;;BL1110;2062534;BUILDING template;;Waalsekaai;19;
ANTWERPEN-WEST - FH11;2062535;;BL1110;2062535;BUILDING template;;Waalsekaai;20;
ANTWERPEN-WEST - FH11;2062536;;BL1110;2062536;BUILDING template;;Waalsekaai;21;
ANTWERPEN-WEST - FH11;2062537;;BL1108;2062537;BUILDING template;;Waalsekaai;25;
ANTWERPEN-WEST - FH11;2062539;;BL1108;2062539;BUILDING template;;Waalsekaai;27;
