Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;Opdrachttemplate;BG Name;Straat;Huisnummer;Huisnummer Toevoeging
ANTWERPEN-WEST - FH11;1028374;;BL1119;1028374;BUILDING template;;Gijzelaarsstraat;86;
ANTWERPEN-WEST - FH11;1028377;;BL1119;1028377;BUILDING template;;Gijzelaarsstraat;60;
ANTWERPEN-WEST - FH11;1028380;;BL1121;1028380;BUILDING template;;Jan van Gentstraat;2;
ANTWERPEN-WEST - FH11;1028381;;BL1119;1028381;BUILDING template;Jan van Gentstraat 1-3_Pacificatiestraat 2;Jan van Gentstraat;1;
ANTWERPEN-WEST - FH11;1028383;;BL1119;1028383;BUILDING template;Jan van Gentstraat 5-7-9-11;Jan van Gentstraat;5;
ANTWERPEN-WEST - FH11;1028385;;BL1121;1028385;BUILDING template;;Vlaamsekaai;92;
ANTWERPEN-WEST - FH11;1028387;;BL1121;1028387;BUILDING template;;Gentplaats;7;
ANTWERPEN-WEST - FH11;1028388;;BL1119;1028388;BUILDING template;Jan van Gentstraat 1-3_Pacificatiestraat 2;Pacificatiestraat;2;
ANTWERPEN-WEST - FH11;1028391;;BL1119;1028391;BUILDING template;;Pacificatiestraat;16;
ANTWERPEN-WEST - FH11;1028394;;BL1119;1028394;BUILDING template;;Bolivarplaats;1;
ANTWERPEN-WEST - FH11;1101504;;BL1102;1101504;BUILDING template;;Waalsekaai;56;
ANTWERPEN-WEST - FH11;1101513;;BL1103;1101513;BUILDING template;Schalienstraat 1-3-5_Verviersstraat 2-4;Schalienstraat;1;
ANTWERPEN-WEST - FH11;1101716;;BL1118;1101716;BUILDING template;;Gijzelaarsstraat;56;
ANTWERPEN-WEST - FH11;1101816;;BL1112;1101816;BUILDING template;;Graaf van Egmontstraat;8;
ANTWERPEN-WEST - FH11;1160389;;BL1121;1160389;BUILDING template;;Gentplaats;4;
ANTWERPEN-WEST - FH11;1288039;;BL1112;1288039;BUILDING template;;Graaf van Egmontstraat;40;
ANTWERPEN-WEST - FH11;1289945;;BL1112;1289945;BUILDING template;;Vorstermanstraat;5;
ANTWERPEN-WEST - FH11;1303250;;BL1112;1303250;BUILDING template;;Graaf van Egmontstraat;24;
ANTWERPEN-WEST - FH11;1326103;;BL1114;1326103;BUILDING template;;Museumstraat;5;
ANTWERPEN-WEST - FH11;1340349;;BL1115;1340349;BUILDING template;Museumstraat 36-38-40;Museumstraat;40;
ANTWERPEN-WEST - FH11;1346848;;BL1114;1346848;BUILDING template;;Museumstraat;3;
ANTWERPEN-WEST - FH11;1451319;;BL1113;1451319;BUILDING template;;Verlatstraat;37;
ANTWERPEN-WEST - FH11;1466296;;BL1117;1466296;BUILDING template;;Pourbusstraat;10;
ANTWERPEN-WEST - FH11;1482441;;BL1115;1482441;BUILDING template;Museumstraat 12-12A-12B-12C-12D-14-14A;Museumstraat;14;
ANTWERPEN-WEST - FH11;1482664;;BL1113;1482664;BUILDING template;;Verlatstraat;7;
ANTWERPEN-WEST - FH11;1483358;;BL1116;1483358;BUILDING template;;Vlaamsekaai;49;
ANTWERPEN-WEST - FH11;1492179;;BL1115;1492179;BUILDING template;;Museumstraat;4;
ANTWERPEN-WEST - FH11;1506081;;BL1115;1506081;BUILDING template;;De Burburestraat;17;
ANTWERPEN-WEST - FH11;1514324;;BL1115;1514324;BUILDING template;;De Burburestraat;37;
ANTWERPEN-WEST - FH11;1785473;;BL1116;1785473;BUILDING template;;De Burburestraat;2;A
ANTWERPEN-WEST - FH11;1785485;;BL1116;1785485;BUILDING template;;De Burburestraat;4;
ANTWERPEN-WEST - FH11;1785493;;BL1116;1785493;BUILDING template;;De Burburestraat;6;
ANTWERPEN-WEST - FH11;1785513;;BL1115;1785513;BUILDING template;De Burburestraat 7-9;De Burburestraat;7;
ANTWERPEN-WEST - FH11;1785555;;BL1115;1785555;BUILDING template;De Burburestraat 7-9;De Burburestraat;9;
ANTWERPEN-WEST - FH11;1785560;;BL1116;1785560;BUILDING template;;De Burburestraat;10;
ANTWERPEN-WEST - FH11;1785562;;BL1115;1785562;BUILDING template;;De Burburestraat;11;
ANTWERPEN-WEST - FH11;1785578;;BL1116;1785578;BUILDING template;;De Burburestraat;12;
ANTWERPEN-WEST - FH11;1785584;;BL1115;1785584;BUILDING template;;De Burburestraat;13;
ANTWERPEN-WEST - FH11;1785591;;BL1116;1785591;BUILDING template;;De Burburestraat;14;
ANTWERPEN-WEST - FH11;1785594;;BL1115;1785594;BUILDING template;;De Burburestraat;15;
ANTWERPEN-WEST - FH11;1785598;;BL1116;1785598;BUILDING template;;De Burburestraat;16;
ANTWERPEN-WEST - FH11;1785607;;BL1116;1785607;BUILDING template;;De Burburestraat;18;
ANTWERPEN-WEST - FH11;1785617;;BL1116;1785617;BUILDING template;;De Burburestraat;24;
ANTWERPEN-WEST - FH11;1785618;;BL1115;1785618;BUILDING template;;De Burburestraat;25;
ANTWERPEN-WEST - FH11;1785623;;BL1116;1785623;BUILDING template;;De Burburestraat;26;
ANTWERPEN-WEST - FH11;1785625;;BL1116;1785625;BUILDING template;;De Burburestraat;28;
ANTWERPEN-WEST - FH11;1785628;;BL1115;1785628;BUILDING template;;De Burburestraat;29;
ANTWERPEN-WEST - FH11;1785641;;BL1116;1785641;BUILDING template;;De Burburestraat;30;
ANTWERPEN-WEST - FH11;1785646;;BL1115;1785646;BUILDING template;;De Burburestraat;33;
ANTWERPEN-WEST - FH11;1785663;;BL1115;1785663;BUILDING template;;De Burburestraat;41;
ANTWERPEN-WEST - FH11;1785671;;BL1115;1785671;BUILDING template;De Burburestraat 43_Leopold de Waelplaats 26A-28-30;De Burburestraat;43;
ANTWERPEN-WEST - FH11;1800053;;BL1111;1800053;BUILDING template;;Cockerillkaai;2;
ANTWERPEN-WEST - FH11;1800066;;BL1111;1800066;BUILDING template;;Cockerillkaai;3;
ANTWERPEN-WEST - FH11;1800102;;BL1110;1800102;BUILDING template;;Cockerillkaai;11;
ANTWERPEN-WEST - FH11;1800114;;BL1110;1800114;BUILDING template;;Cockerillkaai;13;
ANTWERPEN-WEST - FH11;1800136;;BL1110;1800136;BUILDING template;;Cockerillkaai;15;
ANTWERPEN-WEST - FH11;1800201;;BL1108;1800201;BUILDING template;Cockerillkaai 26-27-28-29-30-31_Luikstraat 1-3_Wapenstraat 6;Cockerillkaai;27;
ANTWERPEN-WEST - FH11;1800243;;BL1107;1800243;BUILDING template;Cockerillkaai 32-33-34-35_Luikstraat 2;Cockerillkaai;34;
ANTWERPEN-WEST - FH11;1800259;;BL1107;1800259;BUILDING template;;Cockerillkaai;36;
ANTWERPEN-WEST - FH11;1856750;;BL1112;1856750;BUILDING template;;Graaf van Egmontstraat;10;
ANTWERPEN-WEST - FH11;1856791;;BL1112;1856791;BUILDING template;;Graaf van Egmontstraat;12;
ANTWERPEN-WEST - FH11;1856814;;BL1112;1856814;BUILDING template;;Graaf van Egmontstraat;14;
ANTWERPEN-WEST - FH11;1856859;;BL1112;1856859;BUILDING template;;Graaf van Egmontstraat;16;
ANTWERPEN-WEST - FH11;1856935;;BL1112;1856935;BUILDING template;;Graaf van Egmontstraat;22;
ANTWERPEN-WEST - FH11;1856996;;BL1112;1856996;BUILDING template;;Graaf van Egmontstraat;26;
ANTWERPEN-WEST - FH11;1857025;;BL1112;1857025;BUILDING template;;Graaf van Egmontstraat;28;
ANTWERPEN-WEST - FH11;1857040;;BL1112;1857040;BUILDING template;;Graaf van Egmontstraat;30;
ANTWERPEN-WEST - FH11;1857074;;BL1112;1857074;BUILDING template;;Graaf van Egmontstraat;34;
ANTWERPEN-WEST - FH11;1857110;;BL1112;1857110;BUILDING template;;Graaf van Egmontstraat;36;
ANTWERPEN-WEST - FH11;1857128;;BL1112;1857128;BUILDING template;;Graaf van Egmontstraat;38;
ANTWERPEN-WEST - FH11;1857219;;BL1113;1857219;BUILDING template;;Graaf van Egmontstraat;46;
ANTWERPEN-WEST - FH11;1857234;;BL1113;1857234;BUILDING template;;Graaf van Egmontstraat;48;
ANTWERPEN-WEST - FH11;1857254;;BL1113;1857254;BUILDING template;;Graaf van Egmontstraat;50;
ANTWERPEN-WEST - FH11;1857266;;BL1113;1857266;BUILDING template;;Graaf van Egmontstraat;54;
