Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
HASSELT - FH04;701267;1;BL0410;701267;BL0410;BUILDING template;Alverbergstraat;1;
HASSELT - FH04;701614;3;BL0404;701614;BL0404;BUILDING template;Ambachtsschoolstraat;1;
HASSELT - FH04;2408077;3;BL0402;2408077;BL0402;BUILDING template;Ambachtsschoolstraat;2;
HASSELT - FH04;2408078;3;BL0404;2408078;BL0404;BUILDING template;Ambachtsschoolstraat;3;
HASSELT - FH04;701611;3;BL0402;701611;BL0402;BUILDING template;Ambachtsschoolstraat;4;
HASSELT - FH04;4888731;3;BL0404;4888731;BL0404;BUILDING template;Ambachtsschoolstraat;5;
HASSELT - FH04;2408079;3;BL0402;2408079;BL0402;BUILDING template;Ambachtsschoolstraat;6;
HASSELT - FH04;3987979;3;BL0404;3987979;BL0404;BUILDING template;Ambachtsschoolstraat;7;
HASSELT - FH04;4888743;3;BL0402;4888743;BL0402;BUILDING template;Ambachtsschoolstraat;8;
HASSELT - FH04;2408080;3;BL0404;2408080;BL0404;BUILDING template;Ambachtsschoolstraat;9;
HASSELT - FH04;2408082;3;BL0402;2408082;BL0402;BUILDING template;Ambachtsschoolstraat;10;
HASSELT - FH04;2408083;3;BL0404;2408083;BL0404;BUILDING template;Ambachtsschoolstraat;11;
HASSELT - FH04;2408084;3;BL0402;2408084;BL0402;BUILDING template;Ambachtsschoolstraat;12;
HASSELT - FH04;701617;3;BL0404;701617;BL0404;BUILDING template;Ambachtsschoolstraat;13;
HASSELT - FH04;701615;3;BL0402;701615;BL0402;BUILDING template;Ambachtsschoolstraat;14;
HASSELT - FH04;701608;3;BL0404;701608;BL0404;BUILDING template;Ambachtsschoolstraat;15;
HASSELT - FH04;701616;3;BL0402;701616;BL0402;BUILDING template;Ambachtsschoolstraat;16;
HASSELT - FH04;2408085;3;BL0404;2408085;BL0404;BUILDING template;Ambachtsschoolstraat;17;
HASSELT - FH04;2408086;3;BL0402;2408086;BL0402;BUILDING template;Ambachtsschoolstraat;18;
HASSELT - FH04;701607;3;BL0404;701607;BL0404;BUILDING template;Ambachtsschoolstraat;19;
HASSELT - FH04;2408087;3;BL0402;2408087;BL0402;BUILDING template;Ambachtsschoolstraat;20;
HASSELT - FH04;2408088;3;BL0402;2408088;BL0402;BUILDING template;Ambachtsschoolstraat;22;
HASSELT - FH04;2408089;3;BL0404;2408089;BL0404;BUILDING template;Ambachtsschoolstraat;23;
HASSELT - FH04;4888749;3;BL0402;4888749;BL0402;BUILDING template;Ambachtsschoolstraat;24;
HASSELT - FH04;2408090;3;BL0404;2408090;BL0404;BUILDING template;Ambachtsschoolstraat;25;
HASSELT - FH04;2408091;3;BL0402;2408091;BL0402;BUILDING template;Ambachtsschoolstraat;26;
