Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
KNOKKE-HEIST - FH09;4337458;1;BL0913;4337458;BL0913;BUILDING template;August Beernaertstraat;7;
KNOKKE-HEIST - FH09;302697;1;BL0916;302697;BL0916;BUILDING template;Louis Parentstraat;28;
KNOKKE-HEIST - FH09;5559096;1;BL0914;5559096;BL0914;BUILDING template;Parkstraat;19;
KNOKKE-HEIST - FH09;5561970;1;BL0913;5561970;BL0913;BUILDING template;Louis Parentstraat;12;
KNOKKE-HEIST - FH09;2756840;1;BL0908;2756840;BL0908;BUILDING template;Zeedijk-Heist;206;
KNOKKE-HEIST - FH09;5579232;1;BL0918;5579232;BL0918;BUILDING template;Albatrosstraat;18;
KNOKKE-HEIST - FH09;2756863;1;BL0910;2756863;BL0910;BUILDING template;Zeedijk-Heist;241;
KNOKKE-HEIST - FH09;5579278;1;BL0912;5579278;BL0912;BUILDING template;August Beernaertstraat;20;
KNOKKE-HEIST - FH09;2756885;1;BL0912;2756885;BL0912;BUILDING template;Zeedijk-Heist;262;
KNOKKE-HEIST - FH09;5579355;1;BL0915;5579355;BL0915;BUILDING template;Eerste-Geniestraat;14;
KNOKKE-HEIST - FH09;5579365;1;BL0907;5579365;BL0907;BUILDING template;Elizabetlaan;379;
KNOKKE-HEIST - FH09;2759165;1;BL0909;2759165;BL0909;BUILDING template;Duinenstraat;19;
KNOKKE-HEIST - FH09;5579523;1;BL0918;5579523;BL0918;BUILDING template;O.-L.-Vrouwstraat;4;
KNOKKE-HEIST - FH09;5579526;1;BL0915;5579526;BL0915;BUILDING template;Louis Parentstraat;15;
KNOKKE-HEIST - FH09;4018334;1;BL0908;4018334;BL0908;BUILDING template;Heldenplein;8;
KNOKKE-HEIST - FH09;5579527;1;BL0916;5579527;BL0916;BUILDING template;Louis Parentstraat;26;
KNOKKE-HEIST - FH09;2756860;1;BL0910;2756860;BL0910;BUILDING template;Zeedijk-Heist;239;
KNOKKE-HEIST - FH09;5579528;1;BL0914;5579528;BL0914;BUILDING template;Parkstraat;17;
KNOKKE-HEIST - FH09;2759159;1;BL0909;2759159;BL0909;BUILDING template;Duinenstraat;11;
KNOKKE-HEIST - FH09;4336994;1;BL0903;4336994;BL0903;BUILDING template;Zeedijk-Heist;132;
KNOKKE-HEIST - FH09;5579529;1;BL0915;5579529;BL0915;BUILDING template;Parkstraat;23;
KNOKKE-HEIST - FH09;4335302;1;BL0910;4335302;BL0910;BUILDING template;Heldenplein;15;
KNOKKE-HEIST - FH09;5579530;1;BL0915;5579530;BL0915;BUILDING template;Parkstraat;35;
KNOKKE-HEIST - FH09;2759161;1;BL0908;2759161;BL0908;BUILDING template;Duinenstraat;12;
KNOKKE-HEIST - FH09;5579550;1;BL0912;5579550;BL0912;BUILDING template;Serweytens de Mercxstraat;1;
KNOKKE-HEIST - FH09;5567528;1;BL0916;5567528;BL0916;BUILDING template;August Beernaertstraat;15;
KNOKKE-HEIST - FH09;2760292;1;BL0910;2760292;BL0910;BUILDING template;Heldenplein;13;
KNOKKE-HEIST - FH09;5579564;1;BL0915;5579564;BL0915;BUILDING template;Graaf d Ursellaan;51;
KNOKKE-HEIST - FH09;4337345;1;BL0912;4337345;BL0912;BUILDING template;Zeedijk-Heist;265;
KNOKKE-HEIST - FH09;5905456;1;BL0914;5905456;BL0914;BUILDING template;Eerste-Geniestraat;19;
KNOKKE-HEIST - FH09;2756714;1;BL0901;2756714;BL0901;BUILDING template;Zeedijk-Heist;67;
KNOKKE-HEIST - FH09;302700;1;BL0916;302700;BL0916;BUILDING template;Louis Parentstraat;16;
KNOKKE-HEIST - FH09;4337347;1;BL0912;4337347;BL0912;BUILDING template;Zeedijk-Heist;268;
KNOKKE-HEIST - FH09;297125;1;BL0915;297125;BL0915;BUILDING template;Louis Parentstraat;17;
KNOKKE-HEIST - FH09;4337482;1;BL0914;4337482;BL0914;BUILDING template;Zeedijk-Heist;296;
KNOKKE-HEIST - FH09;3939510;1;BL0907;3939510;BL0907;BUILDING template;Zeedijk-Heist;185;
KNOKKE-HEIST - FH09;2756911;1;BL0914;2756911;BL0914;BUILDING template;Zeedijk-Heist;297;
KNOKKE-HEIST - FH09;2759758;1;BL0907;2759758;BL0907;BUILDING template;Elizabetlaan;365;
KNOKKE-HEIST - FH09;2759740;1;BL0909;2759740;BL0909;BUILDING template;Elizabetlaan;329;
KNOKKE-HEIST - FH09;2756743;1;BL0902;2756743;BL0902;BUILDING template;Zeedijk-Heist;101;
KNOKKE-HEIST - FH09;297131;1;BL0914;297131;BL0914;BUILDING template;Zeedijk-Heist;298;
KNOKKE-HEIST - FH09;290625;1;BL0906;290625;BL0906;BUILDING template;Zeedijk-Heist;160;
KNOKKE-HEIST - FH09;4335301;1;BL0910;4335301;BL0910;BUILDING template;Heldenplein;5;
KNOKKE-HEIST - FH09;2760291;1;BL0909;2760291;BL0909;BUILDING template;Heldenplein;12;
KNOKKE-HEIST - FH09;2756837;1;BL0908;2756837;BL0908;BUILDING template;Zeedijk-Heist;203;
KNOKKE-HEIST - FH09;6396293;1;BL0917;6396293;BL0917;BUILDING template;Serweytens de Mercxstraat;23;
KNOKKE-HEIST - FH09;297135;1;BL0915;297135;BL0915;BUILDING template;Eerste-Geniestraat;12;
KNOKKE-HEIST - FH09;302632;1;BL0912;302632;BL0912;BUILDING template;Serweytens de Mercxstraat;7;
KNOKKE-HEIST - FH09;2759743;1;BL0909;2759743;BL0909;BUILDING template;Elizabetlaan;335;
KNOKKE-HEIST - FH09;2759749;1;BL0909;2759749;BL0909;BUILDING template;Elizabetlaan;341;
KNOKKE-HEIST - FH09;278;1;BL0917;278;BL0917;BUILDING template;Serweytens de Mercxstraat;21;
KNOKKE-HEIST - FH09;9883;1;BL0905;9883;BL0905;BUILDING template;Jozef Dhoorelaan;2;
KNOKKE-HEIST - FH09;9885;1;BL0905;9885;BL0905;BUILDING template;Jozef Dhoorelaan;18;
KNOKKE-HEIST - FH09;71496;1;BL0910;71496;BL0910;BUILDING template;Heldenplein;1;
KNOKKE-HEIST - FH09;71499;1;BL0918;71499;BL0918;BUILDING template;Heldenplein;33;
KNOKKE-HEIST - FH09;4103221;1;BL0915;4103221;BL0915;BUILDING template;Louis Parentstraat;33;
KNOKKE-HEIST - FH09;2756866;1;BL0910;2756866;BL0910;BUILDING template;Zeedijk-Heist;243;
KNOKKE-HEIST - FH09;71632;1;BL0911;71632;BL0911;BUILDING template;Serweytens de Mercxstraat;34;
KNOKKE-HEIST - FH09;71634;1;BL0911;71634;BL0911;BUILDING template;Serweytens de Mercxstraat;24;
KNOKKE-HEIST - FH09;2764997;1;BL0915;2764997;BL0915;BUILDING template;Louis Parentstraat;37;
KNOKKE-HEIST - FH09;71699;1;BL0911;71699;BL0911;BUILDING template;Albatrosstraat;21;
KNOKKE-HEIST - FH09;71700;1;BL0911;71700;BL0911;BUILDING template;Albatrosstraat;19;
KNOKKE-HEIST - FH09;71705;1;BL0918;71705;BL0918;BUILDING template;Albatrosstraat;8;
KNOKKE-HEIST - FH09;71706;1;BL0911;71706;BL0911;BUILDING template;Albatrosstraat;13;
KNOKKE-HEIST - FH09;71710;1;BL0918;71710;BL0918;BUILDING template;Graaf d Ursellaan;18;
KNOKKE-HEIST - FH09;71712;1;BL0911;71712;BL0911;BUILDING template;Graaf d Ursellaan;21;
KNOKKE-HEIST - FH09;71713;1;BL0918;71713;BL0918;BUILDING template;Graaf d Ursellaan;2;
KNOKKE-HEIST - FH09;4335285;1;BL0909;4335285;BL0909;BUILDING template;Elizabetlaan;343;
KNOKKE-HEIST - FH09;71737;1;BL0909;71737;BL0909;BUILDING template;Elizabetlaan;325;
KNOKKE-HEIST - FH09;71741;1;BL0909;71741;BL0909;BUILDING template;Duinenstraat;1;
KNOKKE-HEIST - FH09;2756718;1;BL0901;2756718;BL0901;BUILDING template;Zeedijk-Heist;74;
KNOKKE-HEIST - FH09;71743;1;BL0908;71743;BL0908;BUILDING template;Duinenstraat;2;
KNOKKE-HEIST - FH09;2756841;1;BL0908;2756841;BL0908;BUILDING template;Zeedijk-Heist;207;
KNOKKE-HEIST - FH09;71747;1;BL0910;71747;BL0910;BUILDING template;O.-L.-Vrouwstraat;3;
KNOKKE-HEIST - FH09;71739;1;BL0909;71739;BL0909;BUILDING template;Elizabetlaan;353;
KNOKKE-HEIST - FH09;71748;1;BL0918;71748;BL0918;BUILDING template;O.-L.-Vrouwstraat;2;
KNOKKE-HEIST - FH09;4337540;1;BL0902;4337540;BL0902;BUILDING template;Zeedijk-Heist;102;
KNOKKE-HEIST - FH09;290493;1;BL0907;290493;BL0907;BUILDING template;Vuurtorenstraat;1;
KNOKKE-HEIST - FH09;5579364;1;BL0907;5579364;BL0907;BUILDING template;Elizabetlaan;355;
KNOKKE-HEIST - FH09;290495;1;BL0907;290495;BL0907;BUILDING template;Vuurtorenstraat;3;
KNOKKE-HEIST - FH09;71744;1;BL0910;71744;BL0910;BUILDING template;O.-L.-Vrouwstraat;1;
KNOKKE-HEIST - FH09;290499;1;BL0907;290499;BL0907;BUILDING template;Kardinaal Mercierstraat;4;
KNOKKE-HEIST - FH09;2759760;1;BL0907;2759760;BL0907;BUILDING template;Elizabetlaan;371;
KNOKKE-HEIST - FH09;290630;1;BL0906;290630;BL0906;BUILDING template;Elizabetlaan;411;
KNOKKE-HEIST - FH09;2756869;1;BL0910;2756869;BL0910;BUILDING template;Zeedijk-Heist;246;
KNOKKE-HEIST - FH09;290632;1;BL0906;290632;BL0906;BUILDING template;Elizabetlaan;399;
KNOKKE-HEIST - FH09;5579219;1;BL0906;5579219;BL0906;BUILDING template;Zeedijk-Heist;166;
KNOKKE-HEIST - FH09;292334;1;BL0904;292334;BL0904;BUILDING template;Vissershuldeplein;2;
KNOKKE-HEIST - FH09;292335;1;BL0902;292335;BL0902;BUILDING template;Graaf van Vlaanderenstraat;2;
KNOKKE-HEIST - FH09;292347;1;BL0905;292347;BL0905;BUILDING template;Jozef Dhoorelaan;14;
KNOKKE-HEIST - FH09;292348;1;BL0905;292348;BL0905;BUILDING template;Jozef Dhoorelaan;16;
KNOKKE-HEIST - FH09;292349;1;BL0905;292349;BL0905;BUILDING template;Jozef Dhoorelaan;4;
KNOKKE-HEIST - FH09;292350;1;BL0903;292350;BL0903;BUILDING template;de Maerestraat;4;
KNOKKE-HEIST - FH09;4337754;1;BL0907;4337754;BL0907;BUILDING template;Zeedijk-Heist;187;
KNOKKE-HEIST - FH09;292351;1;BL0903;292351;BL0903;BUILDING template;de Maerestraat;2;
KNOKKE-HEIST - FH09;292353;1;BL0904;292353;BL0904;BUILDING template;de Maerestraat;3;
KNOKKE-HEIST - FH09;4337755;1;BL0907;4337755;BL0907;BUILDING template;Zeedijk-Heist;188;
KNOKKE-HEIST - FH09;292682;1;BL0905;292682;BL0905;BUILDING template;Jozef Dhoorelaan;34;
KNOKKE-HEIST - FH09;292684;1;BL0905;292684;BL0905;BUILDING template;Jozef Dhoorelaan;28;
KNOKKE-HEIST - FH09;292686;1;BL0905;292686;BL0905;BUILDING template;Jozef Dhoorelaan;30;
KNOKKE-HEIST - FH09;297116;1;BL0915;297116;BL0915;BUILDING template;Parkstraat;33;
KNOKKE-HEIST - FH09;1491084;1;BL0907;1491084;BL0907;BUILDING template;Zeedijk-Heist;190;
KNOKKE-HEIST - FH09;297117;1;BL0915;297117;BL0915;BUILDING template;Parkstraat;31;
KNOKKE-HEIST - FH09;2756872;1;BL0910;2756872;BL0910;BUILDING template;Zeedijk-Heist;248;
KNOKKE-HEIST - FH09;297122;1;BL0914;297122;BL0914;BUILDING template;Parkstraat;13;
KNOKKE-HEIST - FH09;297126;1;BL0914;297126;BL0914;BUILDING template;Louis Parentstraat;1;
KNOKKE-HEIST - FH09;302698;1;BL0916;302698;BL0916;BUILDING template;Louis Parentstraat;24;
KNOKKE-HEIST - FH09;297128;1;BL0915;297128;BL0915;BUILDING template;Graaf d Ursellaan;52;
KNOKKE-HEIST - FH09;297132;1;BL0915;297132;BL0915;BUILDING template;Eerste-Geniestraat;2;
KNOKKE-HEIST - FH09;302686;1;BL0917;302686;BL0917;BUILDING template;August Beernaertstraat;52;
KNOKKE-HEIST - FH09;297133;1;BL0914;297133;BL0914;BUILDING template;Eerste-Geniestraat;1;
KNOKKE-HEIST - FH09;297134;1;BL0915;297134;BL0915;BUILDING template;Eerste-Geniestraat;10;
KNOKKE-HEIST - FH09;6525363;1;BL0906;6525363;BL0906;BUILDING template;Elizabetlaan;393;
KNOKKE-HEIST - FH09;2764635;1;BL0918;2764635;BL0918;BUILDING template;O.-L.-Vrouwstraat;10;
KNOKKE-HEIST - FH09;2758020;1;BL0917;2758020;BL0917;BUILDING template;August Beernaertstraat;50;
KNOKKE-HEIST - FH09;297136;1;BL0914;297136;BL0914;BUILDING template;Eerste-Geniestraat;13;
KNOKKE-HEIST - FH09;302627;1;BL0917;302627;BL0917;BUILDING template;Serweytens de Mercxstraat;19;
KNOKKE-HEIST - FH09;5579366;1;BL0906;5579366;BL0906;BUILDING template;Elizabetlaan;397;
KNOKKE-HEIST - FH09;302679;1;BL0917;302679;BL0917;BUILDING template;Graaf d Ursellaan;25;
KNOKKE-HEIST - FH09;302681;1;BL0917;302681;BL0917;BUILDING template;Graaf d Ursellaan;33;
KNOKKE-HEIST - FH09;3939631;1;BL0910;3939631;BL0910;BUILDING template;O.-L.-Vrouwstraat;11;
KNOKKE-HEIST - FH09;302683;1;BL0916;302683;BL0916;BUILDING template;Graaf d Ursellaan;34;
KNOKKE-HEIST - FH09;2756778;1;BL0904;2756778;BL0904;BUILDING template;Zeedijk-Heist;145;
KNOKKE-HEIST - FH09;302684;1;BL0916;302684;BL0916;BUILDING template;Graaf d Ursellaan;36;
KNOKKE-HEIST - FH09;302685;1;BL0916;302685;BL0916;BUILDING template;Graaf d Ursellaan;44;
KNOKKE-HEIST - FH09;302687;1;BL0916;302687;BL0916;BUILDING template;August Beernaertstraat;23;
KNOKKE-HEIST - FH09;302689;1;BL0917;302689;BL0917;BUILDING template;August Beernaertstraat;48;
KNOKKE-HEIST - FH09;2756894;1;BL0912;2756894;BL0912;BUILDING template;Zeedijk-Heist;273;
KNOKKE-HEIST - FH09;302692;1;BL0912;302692;BL0912;BUILDING template;August Beernaertstraat;22;
KNOKKE-HEIST - FH09;302693;1;BL0913;302693;BL0913;BUILDING template;August Beernaertstraat;9;
KNOKKE-HEIST - FH09;302699;1;BL0916;302699;BL0916;BUILDING template;Louis Parentstraat;18;
KNOKKE-HEIST - FH09;302702;1;BL0913;302702;BL0913;BUILDING template;Louis Parentstraat;2;
KNOKKE-HEIST - FH09;302703;1;BL0917;302703;BL0917;BUILDING template;Visserskapelstraat;2;
KNOKKE-HEIST - FH09;302704;1;BL0912;302704;BL0912;BUILDING template;Visserskapelstraat;3;
