Projectnummer;LU Key;CLUSTER_NR;LAM MK;BLOCK_NR;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
EVERE - FH05;1325304;;1325304;BL0503;BL0503;BUILDING template;Francois Villonlaan - Avenue Francois Villon;29;
EVERE - FH05;1437988;;1437988;BL0502;BL0502;BUILDING template;Galgelaan - Avenue du Gibet;16;
EVERE - FH05;1475527;;1475527;BL0503;BL0503;BUILDING template;Platolaan - Avenue Platon;16;
EVERE - FH05;1621278;;1621278;BL0504;BL0504;BUILDING template;Platolaan - Avenue Platon;2;
EVERE - FH05;1621279;;1621279;BL0504;BL0504;BUILDING template;Platolaan - Avenue Platon;3;
EVERE - FH05;1621280;;1621280;BL0504;BL0504;BUILDING template;Platolaan - Avenue Platon;4;
EVERE - FH05;1621281;;1621281;BL0504;BL0504;BUILDING template;Platolaan - Avenue Platon;5;
EVERE - FH05;1621282;;1621282;BL0504;BL0504;BUILDING template;Platolaan - Avenue Platon;6;
EVERE - FH05;1621283;;1621283;BL0504;BL0504;BUILDING template;Platolaan - Avenue Platon;7;
EVERE - FH05;1621284;;1621284;BL0504;BL0504;BUILDING template;Platolaan - Avenue Platon;8;
EVERE - FH05;1621285;;1621285;BL0504;BL0504;BUILDING template;Platolaan - Avenue Platon;9;
EVERE - FH05;1621286;;1621286;BL0504;BL0504;BUILDING template;Platolaan - Avenue Platon;10;
EVERE - FH05;1621287;;1621287;BL0504;BL0504;BUILDING template;Platolaan - Avenue Platon;11;
EVERE - FH05;1621288;;1621288;BL0503;BL0503;BUILDING template;Platolaan - Avenue Platon;14;
EVERE - FH05;1621289;;1621289;BL0503;BL0503;BUILDING template;Platolaan - Avenue Platon;15;
EVERE - FH05;1621290;;1621290;BL0503;BL0503;BUILDING template;Platolaan - Avenue Platon;19;
EVERE - FH05;1621291;;1621291;BL0501;BL0501;BUILDING template;Platolaan - Avenue Platon;21;
EVERE - FH05;1621554;;1621554;BL0501;BL0501;BUILDING template;Zaventemstraat;60;
EVERE - FH05;1622424;;1622424;BL0501;BL0501;BUILDING template;Duiveltjesgaarde - Clos des Diablotins;2;
EVERE - FH05;1622425;;1622425;BL0501;BL0501;BUILDING template;Duiveltjesgaarde - Clos des Diablotins;3;
EVERE - FH05;1622426;;1622426;BL0501;BL0501;BUILDING template;Duiveltjesgaarde - Clos des Diablotins;4;
EVERE - FH05;1622427;;1622427;BL0501;BL0501;BUILDING template;Duiveltjesgaarde - Clos des Diablotins;6;
EVERE - FH05;1622428;;1622428;BL0501;BL0501;BUILDING template;Duiveltjesgaarde - Clos des Diablotins;7;
EVERE - FH05;1622429;;1622429;BL0501;BL0501;BUILDING template;Duiveltjesgaarde - Clos des Diablotins;8;
EVERE - FH05;1622430;;1622430;BL0501;BL0501;BUILDING template;Duiveltjesgaarde - Clos des Diablotins;9;
EVERE - FH05;1622431;;1622431;BL0501;BL0501;BUILDING template;Duiveltjesgaarde - Clos des Diablotins;10;
EVERE - FH05;1622432;;1622432;BL0501;BL0501;BUILDING template;Duiveltjesgaarde - Clos des Diablotins;11;
