Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
ANTWERPEN-WEST - FH08;BL0008;4511100;Schoytestraat;70;;;152267;211625;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;1752910;Bogaardestraat;37;;;152207,04;211637,496;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49180;Sint-Rochusstraat;1;;;152024,873;211437,32;MDU;;4;1;0;5;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;4511103;Schoytestraat;84;;;152302;211608;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;1752913;Bogaardestraat;39;;;152206,379;211632,603;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49181;Sint-Rochusstraat;55;;;152230,063;211375,161;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0009;4511148;Schoytestraat;10;;;152127;211664;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0008;1752923;Bogaardestraat;41;;;152201,222;211629,031;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49182;Aalmoezenierstraat;44;;;152178,235;211569,169;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0009;4511151;Schoytestraat;32;;;152173;211657;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0009;1752956;Bogaardestraat;54;;;152177,313;211626,319;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49184;Aalmoezenierstraat;48;;;152195,403;211571,935;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;4511167;Bogaardestraat;19;;;152220;211699;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
