Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Building comment;Building exists;Opdrachttemplate
KNOKKE-HEIST - FH04;BL0401;2758570;Van Bunnenplein;18;;;74850,151;227583,778;MDU;;7;1;0;8;N;IRREG;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2768078;Zeedijk-Het Zoute;815;;;75914,352;227957,426;MDU;;7;0;1;8;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2759116;Duindistelstraat;5;;;75276,424;227736,626;MDU;;7;0;1;8;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2768081;Zeedijk-Het Zoute;817;;;75923,605;227962,504;SDU;;0;1;0;1;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2759118;Duindistelstraat;7;;;75274,165;227729,376;MDU;;10;0;0;10;Y;NA;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2768082;Zeedijk-Het Zoute;818;;;75928,368;227964,504;SDU;;0;1;0;1;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2759119;Duindistelstraat;9;;;75272,146;227722,01;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;3923027;Antoine Breartstraat;16;;;75324,189;227761,203;MDU;;12;0;1;13;N;IRREG;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2759121;Duindistelstraat;11;;;75270,594;227717,123;MDU;;12;1;0;13;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;3939667;Zandstraat;16;;;75183,319;227681,096;MDU;;8;0;0;8;Y;NA;5;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2759123;Duindistelstraat;12;;;75239,3;227703,597;MDU;;15;1;0;16;Y;NA;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0411;3954195;Kustlaan;213;;;75657,632;227792,457;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2759125;Duindistelstraat;15;;;75267,97;227712,401;MDU;;16;0;1;17;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;4067471;Zeedijk-Het Zoute;723;;;75326,818;227776,888;MDU;;17;0;0;17;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0413;2759447;Ebbestraat;3;;;75850,946;227892,983;MDU;;10;0;1;11;Y;NA;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0411;4070277;Strandstraat;10;;;75677,94;227836,707;MDU;;2;0;0;2;Y;NA;4;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2759448;Ebbestraat;4;;;75884,421;227889,628;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0406;4073573;Duindistelstraat;14;;;75239,135;227694,885;SDU;;1;0;0;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0413;2759449;Ebbestraat;5;;;75848,174;227900,537;MDU;;6;0;1;7;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0406;4091179;Zandstraat;11;;;75207,434;227687,764;MDU;;13;0;0;13;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2759451;Ebbestraat;8;;;75878,971;227901,695;MDU;;10;0;1;11;Y;NA;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;4128652;Zeedijk-Het Zoute;741;;;75410,059;227783,905;SDU;;0;1;0;1;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0410;2760023;Golvenstraat;4;;;75583,939;227796,435;MDU;;23;0;1;24;N;IRREG;10;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;4342854;Zeedijk-Het Zoute;753;;;75535,475;227810,71;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0411;2760024;Golvenstraat;5;;;75609,045;227810,586;MDU;;6;0;1;7;Y;NA;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;4343060;Zeedijk-Het Zoute;725;;;75332,411;227777,524;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0411;2760025;Golvenstraat;7;;;75605,105;227809,441;SDU;;0;1;0;1;Y;NA;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0411;4343871;Strandstraat;16;;;75687,138;227827,39;SDU;;0;1;0;1;Y;NA;4;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0411;2760027;Golvenstraat;9;;;75610,754;227805,363;MDU;;8;0;1;9;Y;NA;8;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0411;4343877;Kustlaan;191;;;75625,681;227783,768;MDU;;6;1;2;9;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0411;2760029;Golvenstraat;11;;;75606,906;227804,337;SDU;;0;1;0;1;Y;NA;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0411;4343880;Kustlaan;223;;;75678,373;227802,902;MDU;;6;0;1;7;N;ORN;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0411;2760031;Golvenstraat;13;;;75606,863;227798,902;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;4345021;Kustlaan;69;;;75270,139;227691,114;SDU;;1;0;0;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0411;2760032;Golvenstraat;15;;;75608,591;227793,647;MDU;;17;0;1;18;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0406;4345048;Zeedijk-Het Zoute;710;;;75242,335;227755,245;SDU;;1;0;0;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0401;NB-830011A1466;Kustlaan;11;A;;74876,07;227565,26;SDU;;0;1;0;1;N;IRREG;8;_;;BUILDING template
KNOKKE-HEIST - FH04;BL0411;2760033;Golvenstraat;17;;;75610,425;227789,293;SDU;;1;0;0;1;Y;NA;7;_;Y;BUILDING template
