Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Building comment;Building exists;Opdrachttemplate
KNOKKE-HEIST - FH04;BL0407;4345065;Zeedijk-Het Zoute;717;;;75287,009;227771,641;SDU;;0;1;0;1;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;2761457;Zeedijk-Knokke;648;A;;74837,053;227628,715;SDU;;0;1;0;1;N;IRREG;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;4345067;Antoine Breartstraat;11;;;75314,547;227730,565;SDU;;0;1;0;1;Y;NA;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;2761459;Zeedijk-Knokke;651;;;74851,905;227628,673;MDU;;18;0;0;18;N;IRREG;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0414;4345256;Kustlaan;329;;;75928,785;227900,604;SDU;;;1;;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0401;2761461;Zeedijk-Knokke;653;;;74861,92;227634,18;MDU;;16;0;0;16;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0414;4345257;Kustlaan;333;;;75939,492;227899,819;MDU;;6;0;1;7;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;2761464;Zeedijk-Knokke;654;;;74868,272;227636,38;SDU;;0;1;0;1;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0403;4346484;Zeedijk-Knokke;665;;;74978,132;227669,828;SDU;;0;1;0;1;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;2761466;Zeedijk-Knokke;657;;;74874,768;227639,816;MDU;;8;0;0;8;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;4346486;Kustlaan;3;;;74870,158;227555,833;SDU;;1;;;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0401;2761468;Zeedijk-Knokke;658;;;74877,024;227640,609;SDU;;0;1;0;1;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;4346487;Kustlaan;7;;;74886,606;227560,823;SDU;;1;;;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0402;2761472;Zeedijk-Knokke;660;;;74922,484;227641,85;SDU;;0;1;0;1;N;IRREG;2;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;4346488;Kustlaan;9;;;74890,822;227562,233;SDU;;1;;;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0403;2761475;Zeedijk-Knokke;662;;;74961,546;227665,172;MDU;;8;1;0;9;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;4347674;Kustlaan;33;;;75100,994;227631,225;SDU;;0;1;0;1;N;IRREG;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0403;2761477;Zeedijk-Knokke;663;;;74970,408;227668,27;SDU;;0;1;0;1;N;IRREG;4;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;4347685;Zeedijk-Knokke;674;;;75039,538;227691,145;SDU;;0;1;0;1;Y;NA;8;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0403;2761479;Zeedijk-Knokke;666;;;74984,999;227673,046;MDU;;8;1;0;9;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;4347699;Zeedijk-Knokke;683;;;75083,076;227704,582;SDU;;0;1;0;1;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0403;2761482;Zeedijk-Knokke;667;;;74990,991;227674,538;SDU;;0;1;0;1;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;4347702;Marie-Josestraat;3;;;75036,57;227679,7;SDU;;1;0;0;1;Y;NA;8;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0403;2761483;Zeedijk-Knokke;668;;;74997;227677;MDU;;16;0;0;16;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;4347703;Marie-Josestraat;5;;;75038,45;227674,86;SDU;;1;0;0;1;Y;NA;8;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0403;2761485;Zeedijk-Knokke;669;;;75001,454;227678,574;MDU;;8;1;0;9;N;ORN;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0412;4348169;Zeedijk-Het Zoute;783;;;75713,823;227871,498;SDU;;0;1;0;1;N;ORN;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0403;2761490;Zeedijk-Knokke;672;;;75014,12;227682,249;SDU;;0;1;0;1;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0412;4348172;Zeewindstraat;10;;;75768,573;227857,142;SDU;;;1;;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0404;2761492;Zeedijk-Knokke;675;;;75044,07;227692,714;SDU;;0;1;0;1;Y;NA;8;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0412;4348174;Kustlaan;247;;;75735,071;227823,358;SDU;;1;;;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0404;2761494;Zeedijk-Knokke;676;;;75050,45;227694,801;MDU;;15;0;0;15;Y;NA;8;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0412;4348177;Kustlaan;253;;;75738,887;227828,42;SDU;;0;1;0;1;N;ORN;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;NB-830065996b686;Zeedijk-Knokke;659;;;74883,7617;227636,0848;SDU;;0;1;0;1;N;IRREG;9;_;;BUILDING template
KNOKKE-HEIST - FH04;BL0401;NB-83002148a433;Van Bunnenplein;21;;;74858,00;227563,00;SDU;;0;1;0;1;Y;NA;8;_;;BUILDING template
KNOKKE-HEIST - FH04;BL0404;2761501;Zeedijk-Knokke;682;;;75078,413;227702,708;MDU;;7;1;0;8;N;IRREG;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0413;4348188;Zeedijk-Het Zoute;801;;;75819,9;227917,082;MDU;;8;0;1;9;N;ORN;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;2761502;Zeedijk-Knokke;684;;;75084,095;227701,08;MDU;;8;0;0;8;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0413;4348190;Ebbestraat;7;;;75846,804;227904;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;2761504;Zeedijk-Knokke;686;;;75092,28;227707,457;MDU;;14;0;0;16;N;IRREG;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0413;4348192;Ebbestraat;11;;;75840,133;227919,12;SDU;;1;;;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2761505;Zeedijk-Knokke;689;;;75119,69;227716,601;SDU;;0;1;0;1;N;IRREG;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;4348200;Zeedijk-Het Zoute;745;;;75429,427;227787,288;SDU;;0;1;0;1;Y;NA;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2761506;Zeedijk-Knokke;690;;;75120,943;227713,05;MDU;;6;0;0;6;N;IRREG;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;4348202;Albertplein;9;;;75442,06;227766,374;SDU;;0;1;0;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2761507;Zeedijk-Knokke;691;;;75124,88;227718,696;SDU;;0;1;0;1;N;ORN;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;5446596;Lichttorenplein;6;A;;74879,764;227558,821;SDU;;;1;;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2761510;Zeedijk-Knokke;692;;;75125,8;227714,924;MDU;;8;1;0;9;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0413;5567537;Zeewindstraat;9;;;75794,268;227869,198;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2761511;Zeedijk-Knokke;693;;;75130,212;227720,458;SDU;;0;1;0;1;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;5579236;Albertplein;4;;;75445,292;227744,853;SDU;;0;1;1;2;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2761513;Zeedijk-Knokke;694;;;75130,443;227716,451;MDU;;8;0;0;8;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;5579237;Albertplein;6;;;75444,049;227752,643;MDU;;8;0;1;9;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2761514;Zeedijk-Knokke;695;;;75135,117;227722,338;SDU;;0;1;0;1;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;5579238;Albertplein;11;;;75441,294;227775,788;MDU;;36;0;3;39;Y;NA;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2761516;Zeedijk-Knokke;696;;;75140,157;227724,041;MDU;;8;0;0;8;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0410;5579240;Albertplein;17;;;75512,831;227761,841;SDU;;0;1;0;1;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2761517;Zeedijk-Knokke;697;;;75145,182;227725,146;MDU;;29;0;0;29;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;5579288;Antoine Breartstraat;3;;;75328,491;227723,351;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2761519;Zeedijk-Knokke;699;;;75166,096;227732,198;SDU;;0;1;0;1;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;5579289;Antoine Breartstraat;5;;;75323,824;227724,621;MDU;;27;0;1;28;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;2762273;Kustlaan;5;;;74873,786;227556,741;SDU;;0;1;0;1;Y;NA;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;5579290;Antoine Breartstraat;15;;;75304,408;227742,983;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0403;2762279;Kustlaan;13;A;;74992,649;227597,312;SDU;;0;1;0;1;N;IRREG;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;5579293;Van Bunnenplein;13;;;74838,539;227611,385;MDU;;25;0;0;25;N;IRREG;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0403;2762280;Kustlaan;13;B;;74998,726;227599,347;SDU;;0;1;0;1;N;IRREG;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0406;5579334;Duindistelstraat;16;;;75237,693;227689,843;SDU;;0;1;0;1;N;ORN;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0403;2762281;Kustlaan;15;;;75005,112;227601,565;MDU;;10;1;0;11;N;IRREG;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0414;5579354;Ebbestraat;6;;;75882,364;227893,887;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0403;2762283;Kustlaan;17;;;75012,512;227603,757;MDU;;2;1;0;3;Y;NA;3;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;5579394;Zeedijk-Knokke;652;;;74856,702;227630,003;SDU;;0;1;0;1;N;IRREG;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;2762292;Kustlaan;29;;;75090,292;227628,105;MDU;;5;1;0;6;Y;NA;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0403;5579395;Zeedijk-Knokke;671;;;75008,994;227681;MDU;;21;0;0;21;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;2762294;Kustlaan;31;;;75095,583;227629,727;MDU;;5;1;0;6;N;ORN;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;5579396;Zeedijk-Knokke;677;;;75055,677;227695,343;SDU;;0;1;0;1;Y;NA;8;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;2762299;Kustlaan;35;;;75105,849;227632,979;MDU;;10;0;0;10;N;IRREG;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;5579397;Zeedijk-Knokke;679;;;75066,137;227699,377;SDU;;0;1;0;1;Y;NA;8;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;2762300;Kustlaan;37;;;75111,558;227632,81;SDU;;0;1;0;1;N;IRREG;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;5579398;Zeedijk-Knokke;681;;;75073,691;227698,035;MDU;;6;0;0;6;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2762308;Kustlaan;45;;;75151,601;227647,537;MDU;;24;2;0;26;Y;NA;4;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0404;5579419;Kustlaan;27;;;75082,002;227625,71;MDU;;10;1;0;11;Y;NA;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2762309;Kustlaan;47;;;75162,25;227650,639;MDU;;23;0;0;23;N;ORN;7;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;5579420;Kustlaan;41;;;75119,89;227634,637;SDU;;0;1;0;1;N;IRREG;4;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2762312;Kustlaan;49;;;75172,271;227653,298;SDU;;0;1;0;1;N;ORN;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;5579422;Kustlaan;65;;;75260,002;227686,073;MDU;;11;0;0;11;Y;NA;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2762313;Kustlaan;51;;;75179,727;227656,306;SDU;;0;1;0;1;Y;NA;2;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;5579428;Kustlaan;101;;;75353,536;227728,831;MDU;;6;1;0;7;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2762318;Kustlaan;59;;;75229,864;227677,39;MDU;;28;0;1;29;N;ORN;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;5579430;Kustlaan;129;;;75430,581;227724,914;MDU;;6;0;1;7;N;ORN;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2762329;Kustlaan;67;;;75266,059;227690,558;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;5579432;Kustlaan;137;;;75448,297;227730,254;SDU;;0;1;0;1;Y;NA;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2762333;Kustlaan;71;;;75274,296;227694,941;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0410;5579434;Kustlaan;145;;;75529,177;227746,237;MDU;;37;0;2;39;Y;NA;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2762335;Kustlaan;73;;;75278,692;227695,476;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0410;5579435;Kustlaan;149;;;75536,951;227752,236;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0413;NB-8300299837516;Kustlaan;299;;;75861,0;227866,0;MDU;;6;0;1;7;Y;NA;7;_;;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2762336;Kustlaan;75;;;75283,401;227699,647;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0410;5579436;Kustlaan;173;;;75575,301;227763,698;SDU;;0;1;0;1;N;IRREG;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2762339;Kustlaan;77;;;75290,219;227703,174;MDU;;24;0;1;25;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0410;5579437;Kustlaan;183;;;75590,981;227769,978;SDU;;0;1;1;2;Y;NA;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2762341;Kustlaan;79;;;75295,463;227703,026;SDU;;0;1;1;2;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0411;5579438;Kustlaan;189;;;75619,697;227779,741;MDU;;6;0;0;6;Y;NA;4;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2762343;Kustlaan;81;;;75298,184;227706,449;MDU;;6;1;2;9;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0412;5579442;Kustlaan;241;;;75722,297;227818,335;SDU;;0;1;0;1;N;ORN;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2762344;Kustlaan;83;;;75303,892;227708,935;MDU;;6;1;1;8;N;GLASS;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0414;5579446;Kustlaan;311;;;75900,655;227885,396;SDU;;1;;;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2762347;Kustlaan;87;;;75314,128;227712,543;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;5579464;Lichttorenplein;12;;;74892,893;227605,602;MDU;;14;0;0;14;N;IRREG;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2762349;Kustlaan;89;;;75317,893;227713,647;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0401;5579466;Lichttorenplein;20;;;74884,466;227638,871;MDU;;32;0;0;32;N;IRREG;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2762351;Kustlaan;91;;;75322,057;227714,118;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;5579489;Marie-Josestraat;1;;;75034,88;227685,67;MDU;;13;0;0;13;Y;NA;8;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0413;NB-8300297cb8d17;Kustlaan;297;;;75854,0;227866,0;MDU;;6;1;1;8;Y;NA;7;_;;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2762354;Kustlaan;93;;;75326,212;227714,26;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;5579490;Marie-Josestraat;19;;;75057,819;227615,123;MDU;;4;1;0;5;Y;NA;5;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2762363;Kustlaan;103;;;75360,285;227725,788;MDU;;6;1;0;7;N;ORN;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0405;5579559;Swolfsstraat;3;;;75122,936;227701,234;SDU;;1;;;1;Y;NA;2;;N;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2762365;Kustlaan;105;;;75365,824;227724,682;SDU;;0;1;0;1;N;ORN;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;5579560;Swolfsstraat;8;;;75105,517;227670,358;MDU;;15;0;0;15;Y;NA;6;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2762366;Kustlaan;107;;;75372,317;227724,285;MDU;;6;1;0;7;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0404;5579561;Swolfsstraat;16;;;75117,859;227638,072;SDU;;0;1;0;1;N;IRREG;4;Review Required;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2762369;Kustlaan;113;;;75384,451;227723,272;MDU;;6;0;0;6;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0413;5579580;Zeewindstraat;1;;;75781,5;227898,017;MDU;;28;0;1;29;Y;NA;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2762370;Kustlaan;115;;;75392,326;227722,687;MDU;;5;0;2;7;Y;NA;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0412;5579581;Zeewindstraat;12;;;75771,544;227851,871;SDU;;0;1;0;1;Y;NA;8;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2762372;Kustlaan;117;;;75392,2;227726,106;SDU;;0;1;0;1;Y;NA;6;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0406;5579585;Zeedijk-Het Zoute;707;;;75233,757;227753,513;SDU;;0;1;0;1;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2762373;Kustlaan;119;;;75400,446;227723,069;MDU;;6;1;0;7;Y;NA;7;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;5579586;Zeedijk-Het Zoute;720;;;75313,196;227774,373;SDU;;0;1;0;1;N;ORN;9;_;Y;BUILDING template
KNOKKE-HEIST - FH04;BL0408;2762376;Kustlaan;121;;;75408,201;227722,751;MDU;;6;1;0;7;Y;NA;7;_;Y;BUILDING template
