Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate;FT Distributie;FT Distributie Opmerking
EVERE - FH04;BL0035;1620671;Haachtsesteenweg - Chaussee de Haecht;945;;;152221,663;173707,896;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0002;1621534;Walkiersstraat - Rue Walkiers;8;;;151591,651;174182,313;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template;;
EVERE - FH04;BL0015;1622496;H. Van Hammestraat - Rue H. Van Hamme;84;;;151998,462;173994,734;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0030;1623138;Edward Stuckensstraat - Rue Edouard Stuckens;40;;;151820,891;173922,112;MDU;;5;0;0;5;Y;NA;4;;;;;BUILDING template;;
EVERE - FH04;BL0035;1623541;Jaak Ballingsstraat - Rue Jacques Ballings;4;;;152053,894;173713,132;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template;;
EVERE - FH04;BL0011;3916114;Picardiestraat - Rue Picardie;74;;;151788,349;174154,087;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0032;827981;Haachtsesteenweg - Chaussee de Haecht;817;;;151847,945;173485,825;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0007;830407;Fr. Van Cutsemstraat - Rue Fr. Van Cutsem;15;;;152622,953;174596,242;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template;;
EVERE - FH04;BL0028;1621151;Vredeplein - Place de la Paix;33;;;152224;174038;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0035;1620672;Haachtsesteenweg - Chaussee de Haecht;947;;;152228,612;173711,437;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template;;
EVERE - FH04;BL0002;1621535;Walkiersstraat - Rue Walkiers;10;;;151588,994;174187,163;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template;;
EVERE - FH04;BL0015;1622497;H. Van Hammestraat - Rue H. Van Hamme;86;;;152003,62;173998,335;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0030;1623139;Edward Stuckensstraat - Rue Edouard Stuckens;44;;;151827,838;173924,353;MDU;;5;0;0;5;Y;NA;4;;;;;BUILDING template;;
EVERE - FH04;BL0035;1623543;Jaak Ballingsstraat - Rue Jacques Ballings;8;;;152065,445;173716,806;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template;;
EVERE - FH04;BL0030;3916128;P. Van Obberghenstraat - Rue P. Van Obberghen;4;;;151908,528;173918,455;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template;;
EVERE - FH04;BL0032;827982;Haachtsesteenweg - Chaussee de Haecht;827;;;151870,092;173511,401;MDU;;12;0;0;12;Y;NA;4;;;;;BUILDING template;;
EVERE - FH04;BL0007;830408;Fr. Van Cutsemstraat - Rue Fr. Van Cutsem;5;;;152593,927;174629,09;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0018;1621168;Parijsstraat - Rue de Paris;34;;;152251;174112;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0035;1620673;Haachtsesteenweg - Chaussee de Haecht;949;;;152233,008;173716,005;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0002;1621536;Walkiersstraat - Rue Walkiers;12;;;151580,032;174188,442;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0015;1622499;H. Van Hammestraat - Rue H. Van Hamme;88;;;152009,128;173999,749;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0015;1623140;Edward Stuckensstraat - Rue Edouard Stuckens;45;;;151861,508;173950,982;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template;;
EVERE - FH04;BL0034;1623544;Jaak Ballingsstraat - Rue Jacques Ballings;9;;;152058,039;173738,737;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0029;3916129;P. Van Obberghenstraat - Rue P. Van Obberghen;15;;;151962,877;173887,869;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0032;827983;Haachtsesteenweg - Chaussee de Haecht;843;;;151935,846;173527,487;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template;;
EVERE - FH04;BL0007;830409;Houtweg - Chemin Du Bois;24;;;152732,181;174535,112;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH04;BL0027;1621175;Parijsstraat - Rue de Paris;45;A;;152340;174048;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
