Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate;FT Distributie;FT Distributie Opmerking
EVERE - FH05;BL0504;5583150;Leuvensesteenweg;955;;;153762,066;172319,183;MDU;;8;0;0;8;Y;NA;4;;;;;BUILDING template;;
EVERE - FH05;BL0501;5583209;Clos des Lauriers Roses - Oleandergaard;8;;;153741,201;172563,619;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH05;BL0501;5583210;Clos des Lauriers Roses - Oleandergaard;14;;;153733,74;172607,554;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH05;BL0501;5583211;Clos des Lauriers Roses - Oleandergaard;20;;;153770,38;172570,752;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH05;BL0501;5583212;Clos des Lauriers Roses - Oleandergaard;24;;;153774,391;172600,24;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH05;BL0501;5583213;Clos des Lauriers Roses - Oleandergaard;31;;;153814,266;172558,844;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH05;BL0501;5583214;Clos des Lauriers Roses - Oleandergaard;36;;;153807,699;172595,421;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH05;BL0501;5583215;Clos des Lauriers Roses - Oleandergaard;44;;;153847,774;172550,653;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH05;BL0501;5583216;Clos des Lauriers Roses - Oleandergaard;50;;;153853,282;172594,761;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
EVERE - FH05;BL0501;5583217;Clos des Lauriers Roses - Oleandergaard;56;;;153857,229;172618,72;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
