Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;Opdrachttemplate
KNOKKE-HEIST - FH06;BL0616;2762816;Leopoldlaan;79;;;74652,143;227208,861;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;4344284;Sylvain Dupuisstraat;21;;;74516,548;227411,169;MDU;;3;0;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2762830;Leopoldlaan;87;;;74654,549;227233,17;SDU;;0;1;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;4344932;Leopoldlaan;77;;;74651,55;227201,17;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;2762833;Leopoldlaan;89;;;74654,874;227238,693;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;4345484;Koningslaan;105;;;74486,55;227192,169;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2762842;Leopoldlaan;97;;;74660,351;227315,119;MDU;;11;0;0;11;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;5368122;D Hooghestraat;2;D;;74645,19;227515,48;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2762843;Leopoldlaan;99;;;74662,179;227336,35;MDU;;19;0;0;19;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;5377687;D Hooghestraat;2;A;;74648,2;227535,43;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2762851;Leopoldlaan;105;;;74665;227346,661;MDU;;2;0;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;5432872;D Hooghestraat;2;C;;74646,827;227524,29;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2762852;Leopoldlaan;107;;;74667;227351,661;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;5437537;Canadasquare;13;;;74104,851;227150,46;MDU;;12;0;0;12;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2762856;Leopoldlaan;109;;;74667;227370,661;MDU;;29;1;0;30;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;5579271;Bayauxlaan;12;;;74636,55;227130,17;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2762861;Leopoldlaan;113;;;74669,274;227374,776;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;5579297;Canadasquare;6;;;74123,105;227107,67;SDU;;0;1;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0611;2762866;Leopoldlaan;115;;;74672,599;227390,47;MDU;;5;1;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;5579298;Canadasquare;14;;;73978,176;227079,789;MDU;;29;1;0;30;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;2762870;Leopoldlaan;121;;;74676,14;227434,444;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0612;5579350;Sylvain Dupuisstraat;4;;;74487,548;227370,169;SDU;;0;1;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0610;2762875;Leopoldlaan;127;;;74690,547;227494,17;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;5579411;Koningslaan;153;;;74457,326;227344,379;MDU;;16;0;0;16;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0610;2762878;Leopoldlaan;129;;;74690,87;227502,92;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;5579495;Meerminlaan;19;;;74341,209;227270,919;MDU;;15;0;0;15;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0610;2762883;Leopoldlaan;133;;;74691,547;227520,17;MDU;;53;0;0;53;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;5579516;Jozef Nellenslaan;155;;;73970,099;227026,226;MDU;;33;0;0;33;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2763665;Meerlaan;82;;;73793,943;226964,167;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0602;5579558;Sterrenlaan;8;;;73942,465;227046,544;MDU;;31;0;0;31;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2763667;Meerlaan;84;;;73791,399;226970,031;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;5579584;Zonnelaan;34;;;74203,839;227208,179;MDU;;36;2;0;38;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2763669;Meerlaan;86;;;73788,107;226978,296;MDU;;22;0;0;22;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;5579600;Zwaluwenlaan;15;;;74241,421;227221,346;SDU;;0;1;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2763702;Meerminlaan;8;;;74439,55;227166,168;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;5697759;Sylvain Dupuisstraat;51;;;74656,909;227423,71;MDU;;3;0;0;3;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2763705;Meerminlaan;10;;;74436,55;227172,168;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0608;5805836;Zeedijk-Knokke;632;;;74590,777;227529,659;SDU;;0;1;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2763706;Meerminlaan;12;;;74433,55;227176,168;MDU;;0;5;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0609;5831123;Sylvain Dupuisstraat;41;A;;74613,986;227426,995;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2763708;Meerminlaan;14;;;74429,55;227181,168;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0616;6210672;Leopoldlaan;67;A;;74640,34;227165,945;MDU;;6;0;2;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2763710;Meerminlaan;16;;;74426,55;227189,168;MDU;;5;1;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2763712;Meerminlaan;18;;;74423,55;227194,168;MDU;;11;0;0;11;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2763714;Meerminlaan;20;;;74418,85;227202,64;MDU;;9;0;0;9;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2763715;Meerminlaan;22;;;74414,55;227207,168;SDU;;0;1;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2763716;Meerminlaan;24;;;74412,55;227213,168;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2763717;Meerminlaan;26;;;74408,55;227219,168;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2763719;Meerminlaan;30;;;74401,77;227232,48;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2763720;Meerminlaan;36;;;74383,674;227262,154;SDU;;0;1;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2763722;Meerminlaan;40;;;74379,674;227270,154;MDU;;6;1;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0613;2763723;Meerminlaan;44;;;74374,816;227281,888;MDU;;1;1;0;2;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2764161;Jozef Nellenslaan;125;;;73829,968;226966,053;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2764164;Jozef Nellenslaan;127;;;73842,958;226968,717;MDU;;11;0;0;11;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2764167;Jozef Nellenslaan;129;;;73854,534;226973,264;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2764171;Jozef Nellenslaan;131;;;73862,416;226976,432;MDU;;4;0;0;4;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2764173;Jozef Nellenslaan;135;;;73874,702;226981,018;MDU;;21;0;0;21;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2764175;Jozef Nellenslaan;137;;;73885,891;226984,3;MDU;;6;0;0;6;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2764179;Jozef Nellenslaan;139;;;73893,077;226987,303;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2764180;Jozef Nellenslaan;141;;;73901,305;226989,967;MDU;;8;0;0;8;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0601;2764181;Jozef Nellenslaan;143;;;73911,109;226993,493;MDU;;7;0;0;7;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2764203;Jozef Nellenslaan;166;;;74415,55;227246,168;MDU;;10;0;0;10;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0605;1168840;Zeedijk-Albertstrand;530;;;74216;227231;MDU;;16;0;0;16;Y;NA;4;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0604;2764205;Jozef Nellenslaan;167;;;74162,894;227101,806;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0606;12846;Meerminlaan;11;;;74369;227247;SDU;;1;0;0;1;Y;NA;1;;;;BUILDING template
KNOKKE-HEIST - FH06;BL0614;2764206;Jozef Nellenslaan;168;;;74426,33;227250,798;MDU;;5;0;0;5;Y;NA;4;;;;BUILDING template
