Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
HASSELT - FH08;BL0018;2407618;Acaciastraat;61;;;217145,276;180145,173;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0019;2414686;Ertbeekstraat;40;;;217368,989;180252,556;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0017;2446492;Vredestraat;98;;;217071,884;180067,887;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
HASSELT - FH08;BL0020;707019;Spoorwegstraat;56;;;217455,297;180381,204;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0018;4895215;Acaciastraat;5;;;217306;180127;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0017;2407621;Acaciastraat;78;;;217108,317;180131,565;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0020;2414688;Ertbeekstraat;43;;;217372,154;180299,297;MDU;;10;0;0;10;Y;NA;4;;;;;BUILDING template
HASSELT - FH08;BL0016;2446494;Vredestraat;100;;;217068,466;180039,959;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0022;707020;Spoorwegstraat;53;;;217482,669;180377,052;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0022;4895299;Runkstersteenweg;19;;;217598;180322;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0021;NB-3500700881;Monseigneur Kerkhofsstraat;7;;;217473;180226;SDU;;1;0;0;1;N;HEIGHT;1;Bouwgrond;;Y;;BUILDING template
HASSELT - FH08;BL0017;2407623;Acaciastraat;82;;;217095,133;180135,055;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0019;2414689;Ertbeekstraat;44;;;217367,58;180238,073;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0016;2446496;Vredestraat;106;;;217059,746;179998,872;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0022;707021;Spoorwegstraat;54;;;217477,229;180377,387;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0015;4895713;Djef Swennenstraat;35;;;216959;180007;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0010;2407624;Acaciastraat;83;;;217029,357;180195,341;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0020;2414691;Ertbeekstraat;45;;;217363,761;180288,698;MDU;;10;0;0;10;Y;NA;4;;;;;BUILDING template
HASSELT - FH08;BL0014;2446498;Vredestraat;107;;;216996,394;179892,186;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
HASSELT - FH08;BL0022;707022;Spoorwegstraat;51;;;217493,601;180377,727;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
