Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
KNOKKE-HEIST - FH03;BL0322;1366078;Koningslaan;162;;;74499,551;226997,169;MDU;;12;0;0;12;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;2763320;Lippenslaan;289;;;74741,7;227206,55;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0317;319311;Jozef Nellenslaan;150;;;74269,551;227121,167;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0332;5407363;Leopoldlaan;156;A;;74710,06;227470,974;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;1366430;Lippenslaan;304;;;74787,548;227352,171;MDU;;11;1;0;12;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;2763323;Lippenslaan;293;;;74736,819;227216,947;MDU;;1;1;0;2;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0317;319319;Bayauxlaan;46;;;74363,551;227102,168;MDU;;9;0;0;9;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;5438092;Piers de Raveschootlaan;169;;;74815,55;227120,172;SDU;;0;1;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;1373457;Paul Parmentierlaan;169;;;74553,551;226989,17;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;2763325;Lippenslaan;295;;;74743,549;227225,171;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0317;319320;Bayauxlaan;58;;;74264,551;227063,167;MDU;;14;0;0;14;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0309;5545220;Elizabetlaan;158;E;;74130,326;226865,154;MDU;;8;0;0;8;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0323;1373535;Leopoldlaan;45;;;74635,37;227033,2;MDU;;16;0;0;16;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;2763326;Lippenslaan;297;;;74743,549;227225,171;MDU;;7;0;0;7;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0317;319321;Bayauxlaan;56;;;74295,551;227074,167;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0327;5547100;Zoutelaan;29;A;;74842,715;227163,188;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0323;1390145;Paul Parmentierlaan;130;;;74579,552;226959,17;MDU;;14;1;0;15;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2763329;Lippenslaan;302;;;74785,548;227343,171;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0318;319348;Meerminlaan;7;;;74392,24;227175,588;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0317;5553539;Bayauxlaan;48;;;74341,551;227091,168;MDU;;7;0;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;1447535;Lippenslaan;227;;;74716,551;227018,171;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;2763330;Lippenslaan;303;;;74745,74;227247,12;MDU;;13;1;0;14;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0318;319349;Meerminlaan;3;;;74419,55;227153,168;MDU;;0;3;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0331;5573001;Van Bunnenlaan;22;;;74900,652;227442,103;MDU;;10;0;0;10;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0323;1447603;Paul Parmentierlaan;170;;;74589,551;227095,17;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2763334;Lippenslaan;308;;;74793,538;227359,861;MDU;;7;1;0;8;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0318;319353;Zwaluwenlaan;20;;;74375,888;227134,487;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0323;1451221;Leopoldlaan;39;;;74630,551;227001,17;MDU;;19;0;0;19;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0329;2763335;Lippenslaan;309;;;74733,599;227295,721;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
