Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Opdrachttemplate
MECHELEN - FH01;Frederik de Merodestraat;4;;157832,464;190947,891;SDU;;0;1;2;3;Y;NA;4;BUILDING template
MECHELEN - FH01;Korte Schipstraat;29;;157830,337;190520,723;SDU;;1;0;0;1;Y;NA;3;BUILDING template
MECHELEN - FH01;Sint-Janstraat;16;;157814,102;191195,918;SDU;;1;0;0;1;N;IRREG;3;BUILDING template
MECHELEN - FH01;Frederik de Merodestraat;5;;157812,086;190951,823;MDU;D;1;1;0;2;Y;NA;3;BUILDING template
MECHELEN - FH01;Lange Schipstraat;1;;157689,298;190635,883;SDU;;1;0;0;1;Y;NA;4;BUILDING template
MECHELEN - FH01;Sint-Janstraat;8;B;157894,426;191237,43;MDU;;5;0;1;6;N;IRREG;3;BUILDING template
MECHELEN - FH01;Dobbelhuizen;16;;157326,345;190904,121;MDU;;2;0;0;2;Y;NA;3;BUILDING template
MECHELEN - FH01;Frederik de Merodestraat;6;;157840,563;190961,089;MDU;;2;1;1;4;N;IRREG;4;BUILDING template
MECHELEN - FH01;Lange Schipstraat;2;;157663,021;190637,295;MDU;;2;0;0;2;Y;NA;5;BUILDING template
MECHELEN - FH01;Sint-Janstraat;10;A;157844,331;191193,695;MDU;;7;0;1;8;N;IRREG;4;BUILDING template
MECHELEN - FH01;Frederik de Merodestraat;7;;157814,91;190955,153;SDU;;0;1;0;1;Y;NA;3;BUILDING template
MECHELEN - FH01;Lange Schipstraat;3;;157694,638;190634,057;MDU;;1;1;0;2;Y;NA;4;BUILDING template
MECHELEN - FH01;Sint-Katelijnestraat;1;;157634,968;191054,646;SDU;;1;0;0;1;Y;NA;2;BUILDING template
MECHELEN - FH01;Frederik de Merodestraat;8;;157845,266;190964,007;SDU;;1;0;0;1;N;IRREG;3;BUILDING template
MECHELEN - FH01;Lange Schipstraat;4;;157665,444;190630,304;SDU;;0;1;0;1;Y;NA;3;BUILDING template
MECHELEN - FH01;Sint-Katelijnestraat;2;;157652,189;191054,83;SDU;;0;1;0;1;Y;NA;2;BUILDING template
MECHELEN - FH01;Frederik de Merodestraat;9;;157817,718;190958,187;SDU;;1;0;0;1;Y;NA;3;BUILDING template
MECHELEN - FH01;Lange Schipstraat;5;;157701,499;190632,217;SDU;;1;0;0;1;N;IRREG;4;BUILDING template
MECHELEN - FH01;Sint-Katelijnestraat;3;;157632,331;191059,613;SDU;;0;1;0;1;Y;NA;3;BUILDING template
MECHELEN - FH01;Goswin de Stassartstraat;27;A;157804,917;191257,641;SDU;;1;0;0;1;Y;NA;2;BUILDING template
MECHELEN - FH01;Frederik de Merodestraat;10;;157845,337;190968,27;SDU;;1;0;0;1;N;IRREG;4;BUILDING template
MECHELEN - FH01;Lange Schipstraat;6;;157670,883;190628,564;MDU;;3;1;0;4;Y;NA;4;BUILDING template
MECHELEN - FH01;Sint-Katelijnestraat;4;;157648,063;191058,341;SDU;;0;1;0;1;Y;NA;3;BUILDING template
MECHELEN - FH01;Drabstraat;12;;157530,02;190836,917;MDU;;10;0;0;10;N;IRREG;4;BUILDING template
MECHELEN - FH01;Frederik de Merodestraat;11;;157819,534;190961,95;SDU;;1;0;0;1;Y;NA;3;BUILDING template
