Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Building comment;Opdrachttemplate
KNOKKE-HEIST - FH04;BL0403;334982;Marie-Josestraat;4;;;75020,525;227660,668;MDU;;8;0;0;8;N;IRREG;5;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2766775;Swolfsstraat;5;;;75123,163;227696,361;MDU;;12;1;;13;Y;NA;4;;BUILDING template
KNOKKE-HEIST - FH04;BL0403;334983;Marie-Josestraat;2;;;75018,99;227665,725;SDU;;1;;;1;Y;NA;2;;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2766776;Swolfsstraat;7;;;75123,855;227692,865;SDU;;1;;;1;Y;NA;2;;BUILDING template
KNOKKE-HEIST - FH04;BL0405;335025;Kustlaan;53;;;75188,983;227656,649;SDU;;0;1;0;1;N;IRREG;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2766782;Swolfsstraat;9;;;75126,45;227685,408;MDU;;16;0;0;16;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;335026;Kustlaan;43;;;75146,39;227643,878;MDU;;0;2;0;2;N;IRREG;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2766785;Swolfsstraat;11;;;75131,76;227671,878;MDU;;10;0;0;10;N;IRREG;5;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;335027;Swolfsstraat;1;;;75118,163;227710,134;MDU;;6;0;0;6;N;IRREG;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;2766786;Swolfsstraat;12;;;75112,26;227658,595;MDU;;12;0;0;12;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;335028;Swolfsstraat;15;;;75137,567;227654,628;MDU;;14;0;0;14;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2766787;Swolfsstraat;13;;;75134,88;227661,448;SDU;;0;1;0;1;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;335029;Zeedijk-Knokke;688;;;75116,43;227715,71;SDU;;0;1;0;1;N;IRREG;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0404;2766788;Swolfsstraat;14;;;75115,403;227650,648;MDU;;5;0;0;5;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;335030;Zeedijk-Knokke;698;;;75162,72;227731,237;SDU;;0;1;0;1;N;IRREG;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2766791;Swolfsstraat;17;;;75139,598;227648,247;MDU;;13;0;0;13;N;IRREG;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;335031;Zandstraat;22;;;75190,076;227662,158;MDU;;6;0;0;6;N;IRREG;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2767771;De Wielingen;3;;;75965,654;227920,602;MDU;;5;1;1;7;N;ORN;6;_;BUILDING template
KNOKKE-HEIST - FH04;;NB-830080680eb62;Zeedijk-Het Zoute;806;;;75842,3918;227922,7030;SDU;;0;1;0;1;N;IRREG;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;335032;Zandstraat;6;;;75176,602;227704,062;MDU;;5;0;0;5;N;ORN;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2767773;De Wielingen;5;;;75964,227;227925,944;MDU;;4;1;1;6;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;;NB-83007342d6850;Zeedijk-Het Zoute;734;;;75436,3103;227783,8805;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;335033;Zandstraat;4;;;75172,483;227713,897;MDU;;11;0;0;11;N;IRREG;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2767775;De Wielingen;7;;;75963,028;227929,496;MDU;;6;0;1;7;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;335034;Zandstraat;2;;;75168,819;227725,662;MDU;;16;1;0;17;N;IRREG;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2767776;De Wielingen;9;;;75962,765;227932,092;SDU;;0;1;0;1;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;;NB-8300219b2f099;Kustlaan;219;;;75670,0;227796,0;MDU;;5;0;1;6;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335093;Zeedijk-Het Zoute;700;;;75187,51;227739,803;MDU;;8;1;0;9;N;GLASS;10;_;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2767788;De Wielingen;19;;;75937,137;227962,259;SDU;;1;;;1;Y;NA;2;;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335094;Zeedijk-Het Zoute;713;;;75255,095;227761,311;SDU;;0;1;1;2;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2767790;De Wielingen;21;;;75939,179;227956,274;SDU;;1;0;0;1;Y;NA;2;;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335095;Zeedijk-Het Zoute;705;;;75225,165;227751,216;SDU;;0;1;0;1;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2767792;De Wielingen;23;;;75942,426;227948,045;MDU;;52;2;2;56;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335096;Zeedijk-Het Zoute;708;;;75235,344;227754,919;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2767838;Zandstraat;5;;;75198,402;227707,884;MDU;;15;0;0;15;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;335097;Zeedijk-Het Zoute;714;;;75270,861;227766,892;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2767840;Zandstraat;8;;;75178,592;227698,076;MDU;;5;0;0;5;N;IRREG;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;335098;Zeedijk-Het Zoute;718;;;75291,651;227773,639;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2767841;Zandstraat;9;;;75204,215;227694,103;MDU;;11;0;1;12;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335099;Kustlaan;55;;;75215,392;227662,501;SDU;;0;1;0;1;N;IRREG;7;Review Required;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2767843;Zandstraat;10;;;75180,5;227692,783;MDU;;9;1;0;10;N;IRREG;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335100;Kustlaan;57;;;75226,506;227673,127;SDU;;0;1;0;1;N;ORN;4;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2767845;Zandstraat;12;;;75182,38;227688,623;SDU;;0;1;0;1;N;IRREG;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335101;Kustlaan;61;;;75235,414;227678,749;SDU;;0;1;0;1;N;ORN;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2767846;Zandstraat;13;;;75208,442;227682,134;SDU;;0;1;1;2;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;335102;Kustlaan;95;;;75331,383;227712,48;SDU;;0;1;0;1;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2767847;Zandstraat;14;;;75183,973;227683,931;SDU;;0;1;0;1;Y;NA;4;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;335103;Kustlaan;85;;;75311,545;227708,175;SDU;;0;1;0;1;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2767848;Zandstraat;18;;;75186,24;227675,11;MDU;;5;1;0;6;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;335104;Kustlaan;63;;;75257,075;227683,422;SDU;;0;1;1;2;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;2767849;Zandstraat;20;;;75188,14;227669,35;MDU;;5;1;0;6;Y;NA;6;Review Required;BUILDING template
KNOKKE-HEIST - FH04;;NB-83001773a739;De Wielingen;17;;;75935,0;227970,0;SDU;;1;0;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335105;Zandstraat;1;;;75190,288;227731,132;MDU;;7;0;0;7;Y;NA;4;;BUILDING template
KNOKKE-HEIST - FH04;BL0412;2767893;Zeewindstraat;4;;;75763,625;227876,414;SDU;;1;;;1;Y;NA;2;;BUILDING template
KNOKKE-HEIST - FH04;BL0406;335107;Zandstraat;3;;;75194,478;227719,897;MDU;;20;0;1;21;Y;NA;9;_;BUILDING template
