Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
KNOKKE-HEIST - FH05;BL0506;2759255;Dumortierlaan;42;;;74888,62;227326,38;MDU;;10;2;0;12;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0516;6089749;Kustlaan;6;;;74884;227525;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0509;2759279;Dumortierlaan;58;;;74990,547;227417,173;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0507;6382973;Ferdinand Mosselmanstraat;30;;;74869;227175;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0509;2759281;Dumortierlaan;60;;;74994,547;227420,173;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0515;6419836;Kustlaan;46;A;;75039;227586;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0509;2759284;Dumortierlaan;62;;;74998,547;227424,173;MDU;;5;0;0;5;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0511;6430502;Dumortierlaan;104;A;;75130;227546;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0509;2759287;Dumortierlaan;64;;;75004,5;227429,14;MDU;;0;2;0;2;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0514;6433115;Kustlaan;58;B;;75095;227605;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0509;2759288;Dumortierlaan;68;;;75013,21;227437,17;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0506;6462591;Dumortierlaan;30;A;;74870;227303;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0509;2759290;Dumortierlaan;70;;;75017,547;227442,173;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0505;6524118;Heilig-Hartlaan;6;;;75016;227331;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0509;2759294;Dumortierlaan;72;;;75021,547;227446,173;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0516;6524258;Diksmuidestraat;51;;;74952;227542;MDU;;7;0;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0510;2759308;Dumortierlaan;80;;;75049,547;227470,173;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0507;6525402;Duinviooltjesstraat;13;;;74903;227217;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0510;2759310;Dumortierlaan;82;;;75053,01;227476,39;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0501;6526789;Piers de Raveschootlaan;92;;;74846;227136;SDU;;1;0;0;1;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0510;2759312;Dumortierlaan;84;;;75059,547;227481,173;MDU;;16;2;0;18;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0505;72418;Zoutelaan;61;;;75031;227217;SDU;;1;0;0;1;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0511;2759320;Dumortierlaan;94;;;75107,786;227520,103;MDU;;10;2;0;12;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0505;72421;Zoutelaan;67;;;75063;227226;SDU;;1;0;0;1;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0511;2759327;Dumortierlaan;96;;;75117,546;227534,173;MDU;;17;2;0;19;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0505;72440;Jef Mennekenslaan;23;;;74999;227252;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0516;2759329;Dumortierlaan;97;;;74975,08;227445,392;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0505;72442;Jef Mennekenslaan;3;;;74968;227290;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0516;2759333;Dumortierlaan;99;;;74977,688;227448,304;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0509;76546;Diksmuidestraat;29;;;75041;227437;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0516;2759336;Dumortierlaan;101;;;74983,64;227453,732;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0511;2759338;Dumortierlaan;102;;;75125,546;227540,173;MDU;;5;0;0;5;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0516;2759340;Dumortierlaan;103;;;74988,688;227458,304;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0516;2759341;Dumortierlaan;105;;;74992,558;227461,184;MDU;;9;2;0;11;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0516;2759346;Dumortierlaan;109;;;74998,283;227468,485;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0511;2759350;Dumortierlaan;114;;;75152,73;227567,43;MDU;;4;1;0;5;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0515;2759352;Dumortierlaan;115;;;75031,978;227499,402;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0515;2759353;Dumortierlaan;117;;;75039,978;227506,402;MDU;;10;2;0;12;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0515;2759358;Dumortierlaan;123;;;75046,978;227512,402;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0515;2759360;Dumortierlaan;125;;;75047,09;227522,06;MDU;;5;1;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0515;2759362;Dumortierlaan;127;;;75055,978;227520,402;MDU;;0;2;0;2;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0514;2759365;Dumortierlaan;135;;;75099,64;227560,258;MDU;;8;2;0;10;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0514;2759374;Dumortierlaan;151;;;75122,674;227581,925;MDU;;10;2;0;12;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0514;2759377;Dumortierlaan;157;;;75133,19;227590,702;MDU;;8;0;0;8;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0509;2760061;Heilig-Hartlaan;7;;;75042,097;227397,215;MDU;;9;0;0;9;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0514;2760529;Ieperstraat;3;;;75068,546;227584,173;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0515;2760531;Ieperstraat;4;;;75052,19;227564,92;MDU;;9;0;0;9;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0514;2760532;Ieperstraat;5;;;75071,57;227578,11;MDU;;25;0;0;25;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0515;2760534;Ieperstraat;6;;;75050,16;227554,2;MDU;;8;1;0;9;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH05;BL0514;2760538;Ieperstraat;11;;;75077,78;227559,53;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
