Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate;FT Distributie;FT Distributie Opmerking
KNOKKE-HEIST - FH10;BL1017;2762686;Leeuwerikenlaan;17;;;73247,25;226650,64;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1041;295417;Elizabetlaan;307;;;72661,058;226261,842;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1033;2762687;Leeuwerikenlaan;20;;;73210,11;226631,35;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1040;295419;Elizabetlaan;299;;;72719,721;226260,292;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1033;2762688;Leeuwerikenlaan;22;;;73196,937;226616,678;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1043;295420;Elizabetlaan;295;;;72754,205;226259,512;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1033;2762690;Leeuwerikenlaan;24;;;73227,556;226619,16;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1043;295421;Elizabetlaan;285;;;72814,43;226256,26;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1017;2762725;Lentelaan;2;A;;73297,416;226732,241;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1041;295423;Zeegrasstraat;38;;;72637,878;226318,013;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1017;2762730;Lentelaan;6;;;73298,952;226693,81;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1027;295424;Zeegrasstraat;17;;;72640,605;226390,059;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1034;NB-830024901419;Elizabetlaan;249;;;73201;226505;SDU;;1;0;0;1;Y;NA;2;Bouwgrond;;Y;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1017;2762732;Lentelaan;8;;;73275,21;226680,86;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1027;295425;Zeegrasstraat;19;;;72646,336;226374,821;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1046;2763463;Lommergang;4;;;73008,7;226346,93;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1041;295426;Zeegrasstraat;42;;;72647,212;226292,79;MDU;;12;0;0;12;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1046;2763464;Lommergang;6;;;72991,487;226363,874;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1040;295427;Zeegrasstraat;29;;;72686,01;226279,92;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1051;2763512;Margrietenpad;4;;;73252,59;226361,23;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
