Projectnummer;Blok;Straat;Huisnummer;Huisnummer Toevoeging;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Opdrachttemplate
ANTWERPEN-WEST - FH07;BL0721;Willem Lepelstraat;23;A;151964;211454;MDU;D;5;0;1;6;N;IRREG;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Nationalestraat;74;;152087,045;211726,0405;MDU;D;4;1;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Lange Vlierstraat;31;;152032,4151;211592,7838;SDU;;0;1;0;1;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Oever;29;A;151932,3225;211932,302;SDU;;1;0;0;1;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Nationalestraat;78;;152088,842;211715,8451;SDU;;0;1;0;1;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Lange Vlierstraat;33;;152039,2534;211589,6002;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Bergstraat;2;A;152145,0683;212068,1585;SDU;;1;0;0;1;N;MON;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Gierstraat;2;;152138,9648;212040,4259;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Pompstraat;1;;152047,2694;211784,39;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Nationalestraat;102;;152054,7566;211619,521;SDU;;0;1;0;1;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Gierstraat;4;;152146,8687;212036,0508;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Pompstraat;3;;152044,3753;211777,9283;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Nationalestraat;104;;152052,6028;211613,202;MDU;D;1;1;0;2;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Gierstraat;6;;152153,3097;212036,8871;SDU;;1;0;0;1;N;ORN;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Pompstraat;7;;152045,6216;211770,0893;MDU;D;6;0;0;6;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Nationalestraat;106;;152050,3692;211608,223;MDU;D;4;1;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0709;Nationalestraat;40;;152116,4048;211866,8337;SDU;;0;1;0;1;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0720;Kloosterstraat;143;;151792,92;211576,84;MDU;C;6;0;1;7;N;IRREG;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Gierstraat;8;;152158,9339;212035,876;MDU;D;2;1;0;3;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Pompstraat;9;;152040,0136;211767,2033;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Nationalestraat;108;;152048,3988;211603,164;MDU;D;2;1;0;3;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Gierstraat;10;;152164,8741;212034,6753;SDU;;1;0;0;1;Y;NA;2;BUILDING template
