Projectnummer;Blok;Straat;Huisnummer;Huisnummer Toevoeging;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Opdrachttemplate
ANTWERPEN-WEST - FH07;BL0708;Muntstraat;3;;151944,3293;211929,332;SDU;;1;0;0;1;N;ORN;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Prekersstraat;65;;151998,9221;211574,1076;MDU;D;6;1;0;7;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Kloosterstraat;85;;151809;211665;MDU;D;6;2;0;8;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Muntstraat;5;;151953,0499;211924,9084;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Prekersstraat;69;;152006,562;211571,4237;MDU;D;2;0;0;2;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0704;Nationalestraat;10;;152225,2733;212064,9946;MDU;A;12;0;1;13;Y;NA;6;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Muntstraat;7;;151959,4391;211919,623;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Prekersstraat;73;;152012,3365;211568,5565;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0704;Nationalestraat;12;;152217,5049;212040,3401;SDU;;0;1;0;1;Y;NA;15;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Muntstraat;9;;151964,4844;211916,1757;MDU;D;2;0;0;2;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Prekersstraat;75;;152022,0403;211571,1107;MDU;D;6;0;0;6;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0704;Nationalestraat;14;;152214,6429;212034,6507;SDU;;0;1;0;1;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Muntstraat;11;;151968,9074;211914,798;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Lange Riddersstraat;29;;151961,2879;211821,2592;SDU;;1;0;0;1;N;ORN;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Sint-Andriesplaats;22;;151926,1743;211635,965;SDU;;0;1;0;1;N;MON;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0704;Nationalestraat;16;;152209,1641;212025,5392;SDU;;0;1;0;1;N;MON;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Muntstraat;15;;151981,8661;211909,6156;MDU;D;2;1;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Lange Riddersstraat;31;;151960,6414;211817,273;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Sint-Andriesplaats;23;;151914,7511;211645,1174;SDU;;0;1;0;1;N;ORN;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Oever;1;;151981,537;212021,965;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Lange Riddersstraat;33;;151958,8286;211813,3575;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Sint-Andriesplaats;24;;151862,8885;211634,1994;SDU;;0;1;0;1;Y;NA;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Oever;3;;151983,8251;212016,2228;MDU;D;2;1;0;3;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Lange Riddersstraat;35;;151957,9585;211808,7894;MDU;D;3;0;0;3;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Oever;5;;151981,9293;212011,7993;SDU;;0;1;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Lange Riddersstraat;37;;151956,4725;211804,1057;MDU;D;2;0;0;2;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Oever;7;;151978,9592;212007,439;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Lange Riddersstraat;39;;151955,5657;211798,9281;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Heilige Geeststraat;3;;152032,4069;212112,4657;MDU;D;2;0;0;2;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Oever;9;;151978,2641;212002,6995;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Lange Riddersstraat;41;;151954,188;211795,2301;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Heilige Geeststraat;5;;152037,1454;212109,1261;SDU;;1;0;0;1;N;ORN;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Oever;11;;151972,6399;211988,6705;MDU;X;47;0;0;47;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Lange Riddersstraat;45;;151951,7952;211787,6892;MDU;D;4;0;0;4;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Heilige Geeststraat;7;;152042,7865;212105,7866;SDU;;0;1;1;2;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Lange Riddersstraat;51;;151948,8734;211778,7718;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Heilige Geeststraat;9;;152057,8145;212108,2687;SDU;;1;0;0;1;N;MON;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Oever;21;;151947,8681;211949,4274;MDU;D;0;4;0;4;N;MON;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Pompstraat;6;;152005,0896;211759,338;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Heilige Geeststraat;11;;152049,6461;212102,6276;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Oever;23;;151939,0842;211945,0671;MDU;;7;0;0;7;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Pompstraat;8;;152003,0593;211755,205;MDU;D;2;2;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Kloosterstraat;87;;151809;211665;MDU;D;6;2;0;8;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Heilige Geeststraat;13;;152054,7005;212100,7322;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Oever;27;;151936,4933;211936,7256;MDU;D;2;1;0;3;N;MON;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Rijke Beukelaarstraat;1;;151953,4629;211776,3777;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Heilige Geeststraat;17;;152065,4413;212095,4521;SDU;;0;1;0;1;N;MON;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Oever;29;;151930,0476;211935,3985;SDU;;0;1;0;1;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Rijke Beukelaarstraat;3;;151959,5537;211773,8399;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Heilige Geeststraat;19;;152074,2865;212090,3977;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Steenhouwersvest;1;;151995,3263;212041,753;MDU;XC;8;3;0;11;Y;NA;6;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Rijke Beukelaarstraat;5;;151966,0796;211771,157;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Heilige Geeststraat;21;;152078,5286;212088,2315;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Steenhouwersvest;2;;151987,4903;212022,8581;SDU;;0;1;0;1;N;ORN;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Rijke Beukelaarstraat;9;;151975,2882;211766,879;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Heilige Geeststraat;23;;152089,0516;212080,7262;MDU;XC;1;2;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Steenhouwersvest;4;;151993,6201;212020,1408;MDU;D;3;0;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Rijke Beukelaarstraat;11;;151981,3065;211763,036;MDU;D;2;0;0;2;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Heilige Geeststraat;25;;152078,7994;212077,942;MDU;D;6;1;0;7;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Steenhouwersvest;6;;151997,7277;212018,1186;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Rijke Beukelaarstraat;13;;151985,1495;211761,8033;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Hoogstraat;39;;152049,5559;212165,763;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Steenhouwersvest;8;;152002,9727;212015,4645;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Rijke Beukelaarstraat;15;;151990,9503;211758,3229;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Lange Vlierstraat;1;B;151966,71;211637,14;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Hoogstraat;41;;152051,8574;212156,0151;MDU;D;2;1;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Steenhouwersvest;12;;152007,2067;212008,3237;SDU;;0;1;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Rijke Beukelaarstraat;17;;151995,0405;211756,3748;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Hoogstraat;43;;152058,6719;212128,3962;MDU;D;3;2;0;5;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Steenhouwersvest;14;;152016,0537;212005,6064;MDU;D;2;1;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Rijke Beukelaarstraat;19;;151997,9837;211752,3771;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Hoogstraat;45;;152035,8333;212139,5763;MDU;D;4;2;0;6;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Steenhouwersvest;16;;152026,2279;212003,0786;MDU;;5;1;0;6;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0713;Sint-Andriesstraat;2;;151994,3872;211791,3311;SDU;;0;1;0;1;N;ORN;6;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Hoogstraat;47;;152031,1569;212131,8667;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Steenhouwersvest;18;;152033,7479;212000,8668;SDU;;0;1;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Hoogstraat;49;;152028,5028;212127,5696;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Steenhouwersvest;20;;152039,8776;212000,1717;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Hoogstraat;51;;152025,7223;212123,9043;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Steenhouwersvest;22;;152046,4497;211998,2127;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Hoogstraat;53;;152028,882;212116,5739;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Hoogstraat;57;;152018,0127;212112,5295;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Leeuwenstraat;4;;152129,2331;212103,9352;MDU;D;3;0;0;3;N;MON;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Leeuwenstraat;6;;152129,865;212099,1325;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Leeuwenstraat;8;;152128,3483;212094,709;MDU;D;3;0;0;3;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Leeuwenstraat;10;;152127,8997;212092,4736;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Leeuwenstraat;12;;152124,9359;212086,873;MDU;XC;4;1;0;5;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Leeuwenstraat;14;;152122,2818;212081,5648;MDU;XC;9;0;0;9;N;MON;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Leeuwenstraat;16;;152120,0068;212074,7399;MDU;D;1;2;0;3;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Leeuwenstraat;18;;152124,9359;212066,6511;MDU;D;2;0;0;2;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Reyndersstraat;4;;152076,9942;212152,4048;MDU;D;3;1;0;4;N;MON;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Reyndersstraat;8;;152081,7779;212149,4263;SDU;;0;1;0;1;N;ORN;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Reyndersstraat;10;;152086,3811;212145,9965;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Reyndersstraat;12;;152091,255;212142,3861;MDU;D;1;1;0;2;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Reyndersstraat;14;;152096,3094;212138,5954;SDU;;0;1;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Reyndersstraat;16;;152101,6347;212135,0753;MDU;D;2;0;0;2;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Reyndersstraat;18;;152111,2861;212131,3612;SDU;;0;1;0;1;N;MON;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Reyndersstraat;20;;152124,304;212125,5474;MDU;D;1;1;0;2;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Reyndersstraat;22;;152133,6566;212121,7558;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Reyndersstraat;24;;152141,8717;212113,667;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Reyndersstraat;2;B;152069,232;212156,1054;MDU;D;1;1;0;2;N;MON;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Vrijdagmarkt;1;;152087,399;212077,0149;SDU;;0;1;0;1;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Vrijdagmarkt;2;;152094,2335;212073,0681;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Vrijdagmarkt;3;;152100,5516;212070,8117;MDU;D;7;0;0;7;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Vrijdagmarkt;4;;152107,7722;212067,5624;MDU;XC;5;0;0;5;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Heilige Geeststraat;4;;152018,3919;212102,9241;SDU;;0;1;0;1;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0702;Reyndersstraat;26;;152152,1091;212115,0573;SDU;;0;1;0;1;N;MON;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Vrijdagmarkt;5;;152112,6461;212064,4034;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Heilige Geeststraat;8;;152030,6514;212096,7312;SDU;;0;1;0;1;N;MON;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Vrijdagmarkt;6;;152117,2492;212061,8761;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Hoogstraat;59;;152012,7045;212106,6525;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Vrijdagmarkt;7;;152123,116;212058,4464;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Hoogstraat;61;;152012,3885;212098,311;SDU;;0;1;0;1;N;MON;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Hoogstraat;63;;152010,2399;212092,8764;MDU;D;4;1;0;5;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Hoogstraat;65;;152006,9539;212088,8952;MDU;D;2;1;0;3;N;MON;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Hoogstraat;67;;152003,5356;212083,3078;MDU;XC;8;1;0;9;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Hoogstraat;69;;151997,9804;212070,8851;MDU;XC;12;2;0;14;N;MON;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Hoogstraat;71;;151992,4194;212063,1755;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0702;Reyndersstraat;30;;152159,8961;212106,0574;SDU;;1;0;0;1;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Hoogstraat;73;;151989,3903;212059,1328;MDU;D;3;1;1;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Hoogstraat;75;;151987,2376;212054,2652;MDU;D;2;1;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Hoogstraat;77;;151984,773;212050,3473;MDU;D;1;1;0;2;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Hoogstraat;79;;151982,4084;212046,3504;SDU;;0;1;0;1;N;ORN;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0711;Kloosterstraat;1;;151907;211925;MDU;D;8;0;1;9;N;IRREG;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Hoogstraat;81;;151977,7474;212042,9977;SDU;;0;1;0;1;N;ORN;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Kloosterstraat;77;;151815,256;211688,4216;SDU;;0;1;0;1;N;ORN;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Steenhouwersvest;9;;152005,7136;212033,9209;MDU;D;3;1;0;4;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Steenhouwersvest;11;;152010,9471;212031,2224;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0709;Augustijnenstraat;1;;152004,363;211896,2186;SDU;;1;0;0;1;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Steenhouwersvest;13;;152014,4633;212029,9959;MDU;D;1;1;0;2;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Kloosterstraat;139;;151800;211641;MDU;C;16;0;2;18;N;IRREG;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0706;Steenhouwersvest;27;;152064,5862;212013,1264;SDU;;0;1;0;1;N;ORN;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0725;Scheldestraat;47;;151807,83;211333,1;MDU;XC;6;0;0;6;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0724;Graaf van Egmontstraat;1;;151784,3627;211362,1706;MDU;D;3;1;0;4;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Steenhouwersvest;15;;152019,615;212028,524;MDU;D;3;1;0;4;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0706;Drukkerijstraat;2;;152108,6952;212013,3791;MDU;XC;7;1;0;8;N;ORN;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0724;Graaf van Egmontstraat;5;;151784,7884;211350,1608;MDU;D;6;1;0;7;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0725;Graaf van Egmontstraat;13;;151784,686;211304,207;MDU;D;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Steenhouwersvest;17;;152026,7842;212025,5799;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Steenhouwersvest;7;;152000,9708;212036,3741;MDU;D;3;0;0;3;N;MON;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0724;Kronenburgstraat;2;;151785,3458;211368,4473;MDU;D;3;0;0;3;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0725;Graaf van Egmontstraat;15;;151786,0626;211298,6806;MDU;D;3;0;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Steenhouwersvest;23;;152037,605;212024,19;MDU;D;3;0;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Kammenstraat;10;;152189,4833;212047,5309;SDU;;0;1;0;1;N;IRREG;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0716;Franckenstraat;6;;152020,9155;211724,3173;SDU;;1;0;0;1;N;ORN;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0724;Kronenburgstraat;6;;151797,6724;211365,5736;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0725;Graaf van Egmontstraat;17;;151787,146;211293,2868;MDU;D;4;0;0;4;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Steenhouwersvest;25;;152038,9951;212027,6245;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0701;Leeuwenstraat;20;;152123,7984;212062,2276;MDU;D;3;3;0;6;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0716;Franckenstraat;8;;152026,2137;211720,4891;MDU;X;5;0;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0724;Kronenburgstraat;8;;151802,6636;211363,9855;MDU;D;8;0;0;8;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0725;Graaf van Egmontstraat;19;;151788,4102;211287,5886;MDU;D;2;1;0;3;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0705;Vrijdagmarkt;22;;152051,0157;212058,6981;SDU;;0;1;0;1;N;MON;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0703;Bergstraat;14;;152175,7713;212056,7716;SDU;;1;0;0;1;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0709;Korte Riddersstraat;15;1;152058,55;211938,91;SDU;;1;0;0;1;N;IRREG;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0724;Kronenburgstraat;12;;151814,3852;211361,3387;MDU;D;4;1;0;5;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0725;Graaf van Egmontstraat;21;;151789,1402;211280,9183;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Nationalestraat;68;;152095;211749;MDU;XA;16;0;2;18;N;ORN;6;BUILDING template
ANTWERPEN-WEST - FH07;BL0716;Franckenstraat;16;;152046,8762;211713,2106;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0724;Kronenburgstraat;14;;151821,4938;211360,1287;MDU;D;6;1;0;7;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0725;Graaf van Egmontstraat;23;;151788,7769;211274,0104;SDU;;0;1;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0717;Franckenstraat;22;;152074;211695;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0709;Korte Riddersstraat;17;1;152059,86;211914,64;SDU;;1;0;0;1;N;IRREG;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0716;Franckenstraat;18;;152052,0822;211710,3591;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0725;Graaf van Egmontstraat;25;;151788,8655;211268,5867;MDU;D;3;0;0;3;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Steenbergstraat;40;;152046;211618;MDU;D;4;0;0;4;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0716;Pompstraat;25;;152004,8873;211719,7645;SDU;;1;0;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0724;Kronenburgstraat;20;;151834,9548;211358,2381;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0725;Graaf van Egmontstraat;27;;151788,0593;211260,9184;MDU;D;4;0;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0711;Kloosterstraat;11;;151876;211885;SDU;D;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0718;Lange Vlierstraat;35;;152038;211585;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0709;Korte Riddersstraat;23;3;152043,64;211900,89;SDU;;1;0;0;1;N;IRREG;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0711;Kloosterstraat;3;;151895,1336;211914,1874;MDU;D;8;0;1;9;N;IRREG;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0716;Pompstraat;27;;152018,9093;211702,2361;SDU;;0;1;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0724;Kronenburgstraat;22;;151841,761;211356,5744;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0725;Graaf van Egmontstraat;29;;151787,8809;211254,8527;MDU;D;2;0;0;2;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0714;Sint-Andriesstraat;44;;152098;211762;MDU;D;4;0;0;4;Y;NA;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0711;Kloosterstraat;5;;151890,0791;211900,6133;MDU;;5;1;0;6;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0716;Pompstraat;29;;152004,6962;211710,4982;SDU;;1;0;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0724;Kronenburgstraat;24;;151849,3233;211355,4401;SDU;;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0725;Graaf van Egmontstraat;31;;151802,5193;211256,7986;SDU;;1;0;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0702;Kammenstraat;2;;152174,1569;212083,8539;SDU;;0;1;0;1;N;IRREG;6;BUILDING template
ANTWERPEN-WEST - FH07;BL0707;Vrijdagmarkt;11;;152136;212024;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0709;Korte Riddersstraat;21;;152020,2;211917,28;MDU;D;5;0;0;5;N;IRREG;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0711;Kloosterstraat;7;;151881;211894;SDU;;0;1;0;1;N;ORN;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0716;Pompstraat;31;;152007,7819;211698,7624;MDU;D;3;0;0;3;Y;NA;4;BUILDING template
