"File SSV Action";"File SSV Status";"File SSV Error";"Area Type";"Area FID";"Area Version";"Area Name";"Zoning FID";"Zoning Version";"Zoning Name";"Zoning Id";"Zoning Tech";"BG Id";"BG Version";"BG Name";"BG SSV Action";"BG SSV Status";"BG SSV Error";"BG Building SSV Action";"BG Building SSV Status";"BG Building SSV Error";"Building FID";"Building Version";"LAM MK";"LAM City Code";"LAM Street Code";"Street";"Nr";"Suffix";"Zip";"Municipality";"Suburb";"xPos";"yPos";"Name";"Wall Mount";"SS Reason";"Number Floors";"Height Cable";"Orig VC Type";"New VC Type";"VC Method";"Intro Tube";"Prov Status";"Prov Reason";"Prov Planned";"Prov Mod By";"Prov Mod Date";"Comments";"SSV Flag";"SSV Action";"SSV Status";"SSV Error";"SSV Date";"Seq";"LU Key";"LAM SK";"Nature";"Nr TPs";"PBox";"App";"Block";"Floor";"OtherRef";"CAD";"CAD Details";"CAD Type";"CAD Type Descr";"CAD SubType";"Prov Status LU";"Prov Reason LU";"Prov Planned LU";"Prov Mod By LU";"Prov Mod Date LU";"Comments LU";"SSV Flag LU";"SSV Action LU";"SSV Status LU";"SSV Error LU";"SSV Date LU";"planrrr_bid";"planrrr_uid"
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";;"'";"'";;;;;;;967029;"'20191214201743";15086;"'890600";"'17571";"Kolonel Bourgstraat";"'142";"'";1140;"Evere";;"'153406,895";"'171720,574";;"N";"IRREG";5;0;"Unknown";"Unknown";"C - Precabled ONTP";"None";;;;;;;"Y";"MODIFY";;;"'";8;2583694;;"LU";1;"'402";"'402";"'";"'4";;"Y";"#A2/21/";;;"APPART";;;;;;;"N";"MODIFY";;;"'";15086;2583694
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";;"'";"'";;;;;;;967029;"'20191214201743";15086;"'890600";"'17571";"Kolonel Bourgstraat";"'142";"'";1140;"Evere";;"'153406,895";"'171720,574";;"N";"IRREG";5;0;"Unknown";"Unknown";"C - Precabled ONTP";"None";;;;;;;"Y";"MODIFY";;;"'";9;2583695;;"LU";1;"'403";"'403";"'";"'4";;"Y";"#A2/22/";;;"APPART";;;;;;;"N";"MODIFY";;;"'";15086;2583695
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";;"'";"'";;;;;;;967029;"'20191214201743";15086;"'890600";"'17571";"Kolonel Bourgstraat";"'142";"'";1140;"Evere";;"'153406,895";"'171720,574";;"N";"IRREG";5;0;"Unknown";"Unknown";"C - Precabled ONTP";"None";;;;;;;"Y";"MODIFY";;;"'";10;2583696;;"LU";1;"'2";"'2";"'";"'0";;"Y";"#A2/23/";;;"APPART";;;;;;;"N";"MODIFY";;;"'";15086;2583696
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";;"'";"'";;;;;;;967029;"'20191214201743";15086;"'890600";"'17571";"Kolonel Bourgstraat";"'142";"'";1140;"Evere";;"'153406,895";"'171720,574";;"N";"IRREG";5;0;"Unknown";"Unknown";"C - Precabled ONTP";"None";;;;;;;"Y";"MODIFY";;;"'";11;2583697;;"LU";1;"'3";"'3";"'";"'0";;"Y";"#A2/24/";;;"APPART";;;;;;;"N";"MODIFY";;;"'";15086;2583697
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";;"'";"'";;;;;;;967029;"'20191214201743";15086;"'890600";"'17571";"Kolonel Bourgstraat";"'142";"'";1140;"Evere";;"'153406,895";"'171720,574";;"N";"IRREG";5;0;"Unknown";"Unknown";"C - Precabled ONTP";"None";;;;;;;"Y";"MODIFY";;;"'";12;2583698;;"LU";1;"'4";"'4";"'";"'0";;"Y";"#A3/31/";;;"APPART";;;;;;;"N";"MODIFY";;;"'";15086;2583698
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";;"'";"'";;;;;;;967029;"'20191214201743";15086;"'890600";"'17571";"Kolonel Bourgstraat";"'142";"'";1140;"Evere";;"'153406,895";"'171720,574";;"N";"IRREG";5;0;"Unknown";"Unknown";"C - Precabled ONTP";"None";;;;;;;"Y";"MODIFY";;;"'";13;2583699;;"LU";1;"'101";"'101";"'";"'1";;"Y";"#A3/32/";;;"APPART";;;;;;;"N";"MODIFY";;;"'";15086;2583699
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";;"'";"'";;;;;;;967029;"'20191214201743";15086;"'890600";"'17571";"Kolonel Bourgstraat";"'142";"'";1140;"Evere";;"'153406,895";"'171720,574";;"N";"IRREG";5;0;"Unknown";"Unknown";"C - Precabled ONTP";"None";;;;;;;"Y";"MODIFY";;;"'";14;2583700;;"LU";1;"'102";"'102";"'";"'1";;"Y";"#A3/33/";;;"APPART";;;;;;;"N";"MODIFY";;;"'";15086;2583700
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";;"'";"'";;;;;;;967029;"'20191214201743";15086;"'890600";"'17571";"Kolonel Bourgstraat";"'142";"'";1140;"Evere";;"'153406,895";"'171720,574";;"N";"IRREG";5;0;"Unknown";"Unknown";"C - Precabled ONTP";"None";;;;;;;"Y";"MODIFY";;;"'";15;2583701;;"LU";1;"'103";"'103";"'";"'1";;"Y";"#A3/34/";;;"APPART";;;;;;;"N";"MODIFY";;;"'";15086;2583701
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";;"'";"'";;;;;;;967029;"'20191214201743";15086;"'890600";"'17571";"Kolonel Bourgstraat";"'142";"'";1140;"Evere";;"'153406,895";"'171720,574";;"N";"IRREG";5;0;"Unknown";"Unknown";"C - Precabled ONTP";"None";;;;;;;"Y";"MODIFY";;;"'";16;2583702;;"LU";1;"'201";"'201";"'";"'2";;"Y";"#A4/41/";;;"APPART";;;;;;;"N";"MODIFY";;;"'";15086;2583702
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";;"'";"'";;;;;;;967029;"'20191214201743";15086;"'890600";"'17571";"Kolonel Bourgstraat";"'142";"'";1140;"Evere";;"'153406,895";"'171720,574";;"N";"IRREG";5;0;"Unknown";"Unknown";"C - Precabled ONTP";"None";;;;;;;"Y";"MODIFY";;;"'";17;10892711;;"SU";1;"'SU1";"'SU1";"'";"'0";;"Y";;;;"APPART";;;;;;;"N";"MODIFY";;;"'";15086;10892711
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";;"'";"'";;;;;;;967029;"'20191214201743";15086;"'890600";"'17571";"Kolonel Bourgstraat";"'142";"'";1140;"Evere";;"'153406,895";"'171720,574";;"N";"IRREG";5;0;"Unknown";"Unknown";"C - Precabled ONTP";"None";;;;;;;"Y";"MODIFY";;;"'";18;11129394;;"SU";1;"'SU2";"'SU2";"'";"'0";;"Y";;;;"APPART";;;;;;;"N";"MODIFY";;;"'";15086;11129394
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";11444904;"'20191214101539";"'Cicerolaan_23_25_27";"MODIFY";;;"KEEP";;;5620899;"'20191214205452";23413;"'890600";"'2306";"Cicerolaan";"'25";"'";1140;"Evere";;"'153490,055";"'172535,751";;"N";"IRREG";14;0;"Unknown";"Unknown";"A - Floorbox";"None";;;;;;;"Y";"MODIFY";;;"'";1;2571572;;"LU";1;"'U101";"'U101";"'";"'-1";;"Y";"#A.GV/M/";;;"APPART";;;;;;;"N";"MODIFY";;;"'";23413;2571572
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";11444904;"'20191214101539";"'Cicerolaan_23_25_27";"MODIFY";;;"KEEP";;;5620899;"'20191214205452";23413;"'890600";"'2306";"Cicerolaan";"'25";"'";1140;"Evere";;"'153490,055";"'172535,751";;"N";"IRREG";14;0;"Unknown";"Unknown";"A - Floorbox";"None";;;;;;;"Y";"MODIFY";;;"'";2;2571573;;"LU";1;"'12";"'102";"'";"'1";;"Y";"#A.OG1/K/";;;"APPART";;;;;;;"N";"MODIFY";;;"'";23413;2571573
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";11444904;"'20191214101539";"'Cicerolaan_23_25_27";"MODIFY";;;"KEEP";;;5620899;"'20191214205452";23413;"'890600";"'2306";"Cicerolaan";"'25";"'";1140;"Evere";;"'153490,055";"'172535,751";;"N";"IRREG";14;0;"Unknown";"Unknown";"A - Floorbox";"None";;;;;;;"Y";"MODIFY";;;"'";3;2571574;;"LU";1;"'31";"'301";"'";"'3";;"Y";"#A.REZ/H/E.137";;;"APPART";;;;;;;"N";"MODIFY";;;"'";23413;2571574
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";11444904;"'20191214101539";"'Cicerolaan_23_25_27";"MODIFY";;;"KEEP";;;5620899;"'20191214205452";23413;"'890600";"'2306";"Cicerolaan";"'25";"'";1140;"Evere";;"'153490,055";"'172535,751";;"N";"IRREG";14;0;"Unknown";"Unknown";"A - Floorbox";"None";;;;;;;"Y";"MODIFY";;;"'";4;2571575;;"LU";1;"'46";"'406";"'";"'4";;"Y";"#A.REZ/I/P132";;;"APPART";;;;;;;"N";"MODIFY";;;"'";23413;2571575
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";11444904;"'20191214101539";"'Cicerolaan_23_25_27";"MODIFY";;;"KEEP";;;5620899;"'20191214205452";23413;"'890600";"'2306";"Cicerolaan";"'25";"'";1140;"Evere";;"'153490,055";"'172535,751";;"N";"IRREG";14;0;"Unknown";"Unknown";"A - Floorbox";"None";;;;;;;"Y";"MODIFY";;;"'";5;2571576;;"LU";1;"'65";"'605";"'";"'6";;"Y";"#A.REZ/K/C45";;;"APPART";;;;;;;"N";"MODIFY";;;"'";23413;2571576
;;;"Zoning";5688370;"'20191203125258";"W02-D-Evere-FH01";5688370;"'20191203125258";"W02-D-Evere-FH01";15485;"FTTH-Cu";11444904;"'20191214101539";"'Cicerolaan_23_25_27";"MODIFY";;;"KEEP";;;5620899;"'20191214205452";23413;"'890600";"'2306";"Cicerolaan";"'25";"'";1140;"Evere";;"'153490,055";"'172535,751";;"N";"IRREG";14;0;"Unknown";"Unknown";"A - Floorbox";"None";;;;;;;"Y";"MODIFY";;;"'";6;2571577;;"LU";1;"'72";"'702";"'";"'7";;"Y";"#A.REZ/L/";;;"APPART";;;;;;;"N";"MODIFY";;;"'";23413;2571577
