Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate;FT Distributie;FT Distributie Opmerking
KNOKKE-HEIST - FH08;BL0809;2757896;Arcadelaan;19;;;73460,42;226417,14;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0819;320223;Kapellaan;49;;;73839,25;226471,022;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0809;2757899;Arcadelaan;21;;;73488,06;226414,32;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0818;320225;Kapellaan;48;;;73903,557;226412,165;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0809;2757902;Arcadelaan;25;;;73483,61;226441,24;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0821;320227;Meerlaan;109;;;73934,321;226546,393;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0809;2757903;Arcadelaan;27;;;73504,05;226422,224;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0820;320228;Meerlaan;111;;;73913,632;226577,572;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0809;2757906;Arcadelaan;31;;;73497,91;226451,24;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0823;320230;Eeuwfeestlaan;41;;;73957,16;226430,31;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0809;2757908;Arcadelaan;33;;;73504,96;226456,21;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0821;320232;Eeuwfeestlaan;39;;;73911,03;226481,65;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0816;2757914;Arcadelaan;54;;;73524,557;226401,162;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0820;320233;Eeuwfeestlaan;33;;;73863,803;226550,007;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0815;2757915;Arcadelaan;60;;;73636,557;226465,163;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0819;320234;Eeuwfeestlaan;32;;;73827,782;226537,881;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0811;2757924;Azalealaan;3;;;73798,554;226775,164;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0821;320235;Eeuwfeestlaan;35;;;73877,82;226524,06;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0810;2757925;Azalealaan;6;;;73780,665;226796,83;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0823;320236;Eeuwfeestlaan;47;;;73999,97;226399,37;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0823;2758021;Begoniapad;3;;;73992,81;226425,79;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0823;320237;Eeuwfeestlaan;49;;;74006,72;226395,72;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0822;2758022;Begoniapad;4;;;74022,06;226437,82;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0821;320238;Kapellaan;51;;;73918,84;226496,83;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0823;2758023;Begoniapad;5;;;73974,25;226439,55;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0822;320239;Kapellaan;52;;;73942,16;226472,11;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0822;2758024;Begoniapad;6;;;74005,21;226448,39;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0822;320240;Kapellaan;54;;;73953,86;226489,14;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0823;2758025;Begoniapad;7;;;73967,87;226443,81;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0821;320241;Kapellaan;55;;;73930,4;226515,177;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0822;2758026;Begoniapad;8;;;74000;226452,23;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0823;320242;Begoniapad;1;;;74013,02;226412,85;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0822;2758027;Begoniapad;10;;;73985,3;226464,49;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0823;320243;Begoniapad;9;;;73943,91;226442,72;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0816;2758028;Beiaardlaan;4;;;73569,08;226404,09;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0822;320244;Begoniapad;12;;;73965,06;226473,32;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0815;2758029;Beiaardlaan;5;;;73639,61;226445,67;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0822;320245;Begoniapad;2;;;74046,24;226423,61;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0815;2758030;Beiaardlaan;7;;;73646,319;226444,321;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0821;320246;Sneppenpad;2;;;73892,839;226537,561;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0816;2758031;Beiaardlaan;12;;;73669,619;226419,909;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0820;320247;Sneppenpad;3;;;73878,084;226559,213;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0815;2758032;Beiaardlaan;13;;;73704,86;226455,28;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0821;320248;Sneppenpad;4;;;73910,463;226546,185;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0816;2758033;Beiaardlaan;14;;;73688,557;226424,164;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0820;320249;Sneppenpad;5;;;73882,053;226561,297;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0815;2758034;Beiaardlaan;15;;;73720,32;226462,84;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0821;320250;Sneppenpad;6;;;73927,72;226554,644;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0816;2758035;Beiaardlaan;18;;;73725,557;226435,164;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0818;320258;Acacialaan;27;;;73757,034;226414,4;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0811;2759470;Eeuwfeestlaan;7;;;73770,443;226757,941;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0818;320260;Acacialaan;39;;;73862,018;226405,323;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH08;BL0811;2759471;Eeuwfeestlaan;9;;;73773,301;226742,814;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
