LAM MK;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor
1513931;1;2105969;;LU;1;;;;
1513932;1;2107720;;LU;1;;;;
1513933;1;2108653;;LU;1;;;;
1513934;1;2109115;;LU;1;;;;
1513936;1;2109935;;LU;1;;;;
1513936;2;11093942;;LU;1;;;;
1513936;3;11093943;;LU;1;;;;
1513936;4;11093944;;LU;1;;;;
1513936;5;11093945;;LU;1;;;;
1513936;6;11093946;;LU;1;;;;
1513936;7;11093947;;LU;1;;;;
1513937;2;10642283;;LU;1;;;;
1513937;3;11096650;;BU;1;;;;
1513938;1;2111141;;LU;1;;;;
1513938;2;2111142;;LU;1;;;;
1513938;3;2111143;;LU;1;;;;
1513938;4;2111144;;LU;1;;;;
1513938;5;2111145;;LU;1;;;;
1513938;6;2111146;;LU;1;;;;
1513938;7;11093948;;LU;1;;;;
1513938;8;11093949;;LU;1;;;;
1517529;2;10643704;;LU;1;;;;
1517529;3;10643705;;BU;1;;;;
1517529;4;10643984;;LU;1;;;;
1517529;5;11194576;;LU;1;;;;
1517529;6;11194577;;LU;1;;;;
342;1;10406711;;BU;1;;;;
3484726;1;2126696;;BU;1;;;;
3484728;1;2096624;;BU;1;;;;
3484730;1;2099298;;LU;1;;;;
3484730;2;11093887;;LU;1;;;;
3484732;1;2101178;;BU;1;;;;
3484734;1;11194325;;LU;1;;;;
3484741;1;2108743;;LU;1;;;;
3484741;2;2108744;;LU;1;;;;
3484741;3;2108745;;LU;1;;;;
3484741;4;11093889;;LU;1;;;;
3484741;5;11194560;;SU;1;;;;
3484748;1;2112771;;LU;1;;;;
3484750;1;2113357;;LU;1;;;;
3484753;1;2113926;;BU;1;;;;
3484753;2;11093907;;LU;1;;;;
3484753;3;11093908;;LU;1;;;;
3484753;4;11093909;;LU;1;;;;
3484754;1;11093167;;BU;1;;;;
3484754;2;11093168;;BU;1;;;;
3484754;3;11093169;;LU;1;;;;
3484754;4;11093170;;SU;1;;;;
3484754;5;11194566;;LU;1;;;;
3484754;6;11194567;;LU;1;;;;
3484754;7;11194568;;LU;1;;;;
3484755;1;2115463;;LU;1;;;;
3484758;1;2115921;;LU;1;;;;
3484758;2;11093890;;BU;1;;;;
3484760;1;2116374;;LU;1;;;;
3484760;2;11093891;;BU;1;;;;
3484766;1;2118242;;LU;1;;;;
3484767;1;2118728;;LU;1;;;;
3484770;1;2119160;;LU;1;;;;
3484773;1;2119566;;BU;1;;;;
3484774;1;2120408;;BU;1;;;;
3484776;1;2120816;;LU;1;;;;
3484776;2;11194563;;SU;1;;;;
3484778;1;2121303;;LU;1;;;;
3484779;1;2121717;;LU;1;;;;
3484781;1;2122089;;LU;1;;;;
3484783;1;2122891;;LU;1;;;;
3484784;1;2123273;;LU;1;;;;
3484786;1;2123619;;LU;1;;;;
3484788;1;2123935;;LU;1;;;;
