OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
7772,"LEUVEN - FH03","(L/B/S)U template",1917732,,Sint-Maartenstraat,41,,,,BU,
7773,"LEUVEN - FH03","(L/B/S)U template",1918423,,Sint-Maartenstraat,43,,,,LU,
7774,"LEUVEN - FH03","(L/B/S)U template",1918425,,Sint-Maartenstraat,43,,,,LU,
7775,"LEUVEN - FH03","(L/B/S)U template",1918427,,Sint-Maartenstraat,43,,,,LU,
7776,"LEUVEN - FH03","(L/B/S)U template",1918444,,Sint-Maartenstraat,43,,,,LU,
7777,"LEUVEN - FH03","(L/B/S)U template",1918445,,Sint-Maartenstraat,43,,,,LU,
7778,"LEUVEN - FH03","(L/B/S)U template",1918447,,Sint-Maartenstraat,43,,,,LU,
7779,"LEUVEN - FH03","(L/B/S)U template",1918449,,Sint-Maartenstraat,43,,,,LU,
7780,"LEUVEN - FH03","(L/B/S)U template",1918467,,Sint-Maartenstraat,43,,,,LU,
7781,"LEUVEN - FH03","(L/B/S)U template",1918468,,Sint-Maartenstraat,43,,,,LU,
7782,"LEUVEN - FH03","(L/B/S)U template",1918469,,Sint-Maartenstraat,43,,,,LU,
7783,"LEUVEN - FH03","(L/B/S)U template",1918470,,Sint-Maartenstraat,43,,,,LU,
7784,"LEUVEN - FH03","(L/B/S)U template",1918486,,Sint-Maartenstraat,43,,,,LU,
7785,"LEUVEN - FH03","(L/B/S)U template",1918487,,Sint-Maartenstraat,43,,,,LU,
7786,"LEUVEN - FH03","(L/B/S)U template",1918488,,Sint-Maartenstraat,43,,,,LU,
7787,"LEUVEN - FH03","(L/B/S)U template",1918489,,Sint-Maartenstraat,43,,,,LU,
7788,"LEUVEN - FH03","(L/B/S)U template",1918491,,Sint-Maartenstraat,43,,,,LU,
7789,"LEUVEN - FH03","(L/B/S)U template",1918492,,Sint-Maartenstraat,43,,,,LU,
7790,"LEUVEN - FH03","(L/B/S)U template",1918493,,Sint-Maartenstraat,43,,,,LU,
7791,"LEUVEN - FH03","(L/B/S)U template",1918494,,Sint-Maartenstraat,43,,,,LU,
7792,"LEUVEN - FH03","(L/B/S)U template",1918497,,Sint-Maartenstraat,43,,,,LU,
7793,"LEUVEN - FH03","(L/B/S)U template",1918498,,Sint-Maartenstraat,43,,,,LU,
7794,"LEUVEN - FH03","(L/B/S)U template",10917588,,Sint-Maartenstraat,43,,,,LU,
7795,"LEUVEN - FH03","(L/B/S)U template",1919407,,Sint-Maartenstraat,45,,,,LU,
7796,"LEUVEN - FH03","(L/B/S)U template",1920191,,Sint-Maartenstraat,47,,,,LU,
7797,"LEUVEN - FH03","(L/B/S)U template",1920954,,Sint-Maartenstraat,49,,,,LU,
7798,"LEUVEN - FH03","(L/B/S)U template",1923206,,Sint-Maartenstraat,51,,,,LU,
7799,"LEUVEN - FH03","(L/B/S)U template",1924248,,Sint-Maartenstraat,53,,,,LU,
7800,"LEUVEN - FH03","(L/B/S)U template",10917589,,Sint-Maartenstraat,53,,,,BU,
7801,"LEUVEN - FH03","(L/B/S)U template",1924730,,Sint-Maartenstraat,55,,,,LU,
7802,"LEUVEN - FH03","(L/B/S)U template",1924733,,Sint-Maartenstraat,55,,,,LU,
7803,"LEUVEN - FH03","(L/B/S)U template",1924753,,Sint-Maartenstraat,55,,,,LU,
7804,"LEUVEN - FH03","(L/B/S)U template",1924755,,Sint-Maartenstraat,55,,,,LU,
7805,"LEUVEN - FH03","(L/B/S)U template",1924758,,Sint-Maartenstraat,55,,,,LU,
7806,"LEUVEN - FH03","(L/B/S)U template",1924759,,Sint-Maartenstraat,55,,,,LU,
7807,"LEUVEN - FH03","(L/B/S)U template",1924761,,Sint-Maartenstraat,55,,,,LU,
7808,"LEUVEN - FH03","(L/B/S)U template",1924777,,Sint-Maartenstraat,55,,,,LU,
7809,"LEUVEN - FH03","(L/B/S)U template",1924778,,Sint-Maartenstraat,55,,,,LU,
7810,"LEUVEN - FH03","(L/B/S)U template",1924781,,Sint-Maartenstraat,55,,,,LU,
7811,"LEUVEN - FH03","(L/B/S)U template",1924782,,Sint-Maartenstraat,55,,,,LU,
7812,"LEUVEN - FH03","(L/B/S)U template",1924784,,Sint-Maartenstraat,55,,,,LU,
7813,"LEUVEN - FH03","(L/B/S)U template",1924798,,Sint-Maartenstraat,55,,,,LU,
7814,"LEUVEN - FH03","(L/B/S)U template",1924799,,Sint-Maartenstraat,55,,,,LU,
7815,"LEUVEN - FH03","(L/B/S)U template",1924802,,Sint-Maartenstraat,55,,,,LU,
7816,"LEUVEN - FH03","(L/B/S)U template",1924803,,Sint-Maartenstraat,55,,,,LU,
7817,"LEUVEN - FH03","(L/B/S)U template",1924805,,Sint-Maartenstraat,55,,,,LU,
7818,"LEUVEN - FH03","(L/B/S)U template",1924818,,Sint-Maartenstraat,55,,,,LU,
7819,"LEUVEN - FH03","(L/B/S)U template",1924819,,Sint-Maartenstraat,55,,,,LU,
7820,"LEUVEN - FH03","(L/B/S)U template",1924821,,Sint-Maartenstraat,55,,,,LU,
7821,"LEUVEN - FH03","(L/B/S)U template",1924822,,Sint-Maartenstraat,55,,,,LU,
7822,"LEUVEN - FH03","(L/B/S)U template",1924823,,Sint-Maartenstraat,55,,,,LU,
7823,"LEUVEN - FH03","(L/B/S)U template",1924829,,Sint-Maartenstraat,55,,,,LU,
7824,"LEUVEN - FH03","(L/B/S)U template",1924830,,Sint-Maartenstraat,55,,,,LU,
7825,"LEUVEN - FH03","(L/B/S)U template",1924831,,Sint-Maartenstraat,55,,,,LU,
7826,"LEUVEN - FH03","(L/B/S)U template",1924832,,Sint-Maartenstraat,55,,,,LU,
7827,"LEUVEN - FH03","(L/B/S)U template",1924833,,Sint-Maartenstraat,55,,,,LU,
7828,"LEUVEN - FH03","(L/B/S)U template",1924834,,Sint-Maartenstraat,55,,,,LU,
7829,"LEUVEN - FH03","(L/B/S)U template",1924835,,Sint-Maartenstraat,55,,,,LU,
7830,"LEUVEN - FH03","(L/B/S)U template",1925254,,"Vital Decosterstraat",56,,,,BU,
7831,"LEUVEN - FH03","(L/B/S)U template",1925844,,"Vital Decosterstraat",58,,,,BU,
7832,"LEUVEN - FH03","(L/B/S)U template",1927621,,"Vital Decosterstraat",60,,,,BU,
7833,"LEUVEN - FH03","(L/B/S)U template",1928947,,"Vital Decosterstraat",64,,,,BU,
7834,"LEUVEN - FH03","(L/B/S)U template",1929348,,"Vital Decosterstraat",66,,,,LU,
7846,"LEUVEN - FH03","(L/B/S)U template",1929877,,"Vital Decosterstraat",68,,,,BU,
7906,"LEUVEN - FH03","(L/B/S)U template",1931196,,"Vital Decosterstraat",70,,,,LU,
7907,"LEUVEN - FH03","(L/B/S)U template",1931197,,"Vital Decosterstraat",70,,,,LU,
7908,"LEUVEN - FH03","(L/B/S)U template",1931628,,"Vital Decosterstraat",72,,,,LU,
7909,"LEUVEN - FH03","(L/B/S)U template",10917755,,"Vital Decosterstraat",72,,,,BU,
7911,"LEUVEN - FH03","(L/B/S)U template",1931950,,"Vital Decosterstraat",74,,,,BU,
7912,"LEUVEN - FH03","(L/B/S)U template",1931951,,"Vital Decosterstraat",74,,,,LU,
7913,"LEUVEN - FH03","(L/B/S)U template",1932813,,"Vital Decosterstraat",76,,,,LU,
7914,"LEUVEN - FH03","(L/B/S)U template",1933179,,"Vital Decosterstraat",78,,,,LU,
7915,"LEUVEN - FH03","(L/B/S)U template",1934512,,"Vital Decosterstraat",80,,,,BU,
7917,"LEUVEN - FH03","(L/B/S)U template",1934861,,"Vital Decosterstraat",82,,,,BU,
7918,"LEUVEN - FH03","(L/B/S)U template",1935163,,"Vital Decosterstraat",84,,,,BU,
7921,"LEUVEN - FH03","(L/B/S)U template",1935479,,"Vital Decosterstraat",86,,,,BU,
7922,"LEUVEN - FH03","(L/B/S)U template",1935919,,"Vital Decosterstraat",88,,,,LU,
7923,"LEUVEN - FH03","(L/B/S)U template",1937244,,"Vital Decosterstraat",90,,,,LU,
7924,"LEUVEN - FH03","(L/B/S)U template",1937663,,"Vital Decosterstraat",92,,,,BU,
7926,"LEUVEN - FH03","(L/B/S)U template",1938041,,"Vital Decosterstraat",94,,,,BU,
7927,"LEUVEN - FH03","(L/B/S)U template",1938342,,"Vital Decosterstraat",96,,,,BU,
7928,"LEUVEN - FH03","(L/B/S)U template",1883311,,"Vital Decosterstraat",100,,,,LU,
7929,"LEUVEN - FH03","(L/B/S)U template",10916892,,"Vital Decosterstraat",102,,,,BU,
7930,"LEUVEN - FH03","BUILDING template",1097867,,Diestsestraat,79,,,,,
7931,"LEUVEN - FH03","BUILDING template",3014913,,Diestsestraat,81,,,,,
7932,"LEUVEN - FH03","BUILDING template",3014917,,Diestsestraat,83,,,,,
7933,"LEUVEN - FH03","BUILDING template",3014920,,Diestsestraat,85,,,,,
7934,"LEUVEN - FH03","BUILDING template",1097868,,Diestsestraat,87,,,,,
7935,"LEUVEN - FH03","BUILDING template",1097869,,Diestsestraat,89,,,,,
7936,"LEUVEN - FH03","BUILDING template",3014930,,Diestsestraat,93,,,,,
7937,"LEUVEN - FH03","BUILDING template",3014934,,Diestsestraat,95,,,,,
7938,"LEUVEN - FH03","BUILDING template",1357121,,Diestsestraat,97,,,,,
7940,"LEUVEN - FH03","BUILDING template",3014937,,Diestsestraat,101,,,,,
7941,"LEUVEN - FH03","BUILDING template",1190407,,Rijschoolstraat,22,,,,,
7942,"LEUVEN - FH03","BUILDING template",263428,,Rijschoolstraat,26,,,,,
7943,"LEUVEN - FH03","BUILDING template",1519913,,Sint-Maartenstraat,1,,,,,
7944,"LEUVEN - FH03","BUILDING template",4800046,,Sint-Maartenstraat,3,,,,,
7945,"LEUVEN - FH03","BUILDING template",3044837,,Sint-Maartenstraat,5,,,,,
7946,"LEUVEN - FH03","BUILDING template",174297,,Sint-Maartenstraat,17,,,,,
7947,"LEUVEN - FH03","BUILDING template",174295,,Sint-Maartenstraat,19,,,,,
