OpdrachtID,Projectnummer,Opdrachttemplate,Opdrachtnummer,"Opdrachtnummer extern","BUILDING KEY",Straat,Huisnummer,"Huisnummer Toevoeging","SSV Action","SSV Action LU",Nature,"Building exists"
777439,"EVERE - FH03","BUILDING template",1003567,,1003567,"J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck",19,,,,,Y
777440,"EVERE - FH03","BUILDING template",1003568,,1003568,"J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck",24,,,,,Y
777441,"EVERE - FH03","BUILDING template",1003570,,1003570,"J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck",16,,,,,Y
777442,"EVERE - FH03","BUILDING template",1003580,,1003580,"Godfroid Kurthstraat - Rue Godfroid Kurth",94,,,,,Y
777443,"EVERE - FH03","BUILDING template",1003583,,1003583,"Pater Damiaanstraat - Rue Pere Damien",83,,,,,Y
777444,"EVERE - FH03","BUILDING template",1003584,,1003584,"Godfroid Kurthstraat - Rue Godfroid Kurth",109,,,,,Y
777445,"EVERE - FH03","BUILDING template",1003585,,1003585,"Godfroid Kurthstraat - Rue Godfroid Kurth",119,,,,,Y
777446,"EVERE - FH03","BUILDING template",1003586,,1003586,"Godfroid Kurthstraat - Rue Godfroid Kurth",83,,,,,Y
777447,"EVERE - FH03","BUILDING template",1003587,,1003587,"Godfroid Kurthstraat - Rue Godfroid Kurth",88,,,,,Y
777448,"EVERE - FH03","BUILDING template",1003588,,1003588,"Godfroid Kurthstraat - Rue Godfroid Kurth",64,,,,,Y
777449,"EVERE - FH03","BUILDING template",1003589,,1003589,"Godfroid Kurthstraat - Rue Godfroid Kurth",121,,,,,Y
777450,"EVERE - FH03","BUILDING template",1003590,,1003590,"Godfroid Kurthstraat - Rue Godfroid Kurth",107,,,,,Y
777451,"EVERE - FH03","BUILDING template",1003591,,1003591,"Godfroid Kurthstraat - Rue Godfroid Kurth",86,,,,,Y
777452,"EVERE - FH03","BUILDING template",1003592,,1003592,"H. Consciencelaan - Avenue Henri Conscience",2,,,,,Y
