Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
LIÔGE - FH26;NO BLOCKS;1478675;;;507752;1478675;;;;Montagne Sainte-Walburge;20;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1478675;;;507752;1478675;;;;Montagne Sainte-Walburge;20;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1479750;;;507760;1479750;;;;Montagne Sainte-Walburge;110;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1479750;;;507760;1479750;;;;Montagne Sainte-Walburge;110;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1482088;;;507796;1482088;;;;Montagne Sainte-Walburge;86;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1482088;;;507796;1482088;;;;Montagne Sainte-Walburge;86;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1483296;;;37702450;1483296;;;;Rue de Campine;272;;;;;;MDU;0;3;0;3;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1483296;;;37702450;1483296;;;;Rue de Campine;272;;;;;;MDU;0;3;0;3;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1483903;;;507824;1483903;;;;Rue Naimette;10;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1483903;;;507824;1483903;;;;Rue Naimette;10;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1485471;;;507847;1485471;;;;Rue Isi Collin;29;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1485471;;;507847;1485471;;;;Rue Isi Collin;29;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1488288;;;507894;1488288;;;;Montagne Sainte-Walburge;124;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1488288;;;507894;1488288;;;;Montagne Sainte-Walburge;124;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1490870;;;507915;1490870;;;;Rue des Eglantiers;16;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1490870;;;507915;1490870;;;;Rue des Eglantiers;16;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1495834;;;5619624;1495834;;;;Rue Hocheporte;126;;;;;;MDU;0;2;0;2;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1495834;;;5619624;1495834;;;;Rue Hocheporte;126;;;;;;MDU;0;2;0;2;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1497367;;;507991;1497367;;;;Rue Henri Vieuxtemps;78;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1497367;;;507991;1497367;;;;Rue Henri Vieuxtemps;78;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1499653;;;38468709;1499653;;;;Montagne Sainte-Walburge;1;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1499653;;;38468709;1499653;;;;Montagne Sainte-Walburge;1;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1514111;;;508261;1514111;;;;Rue Xhov‚mont;63;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1514111;;;508261;1514111;;;;Rue Xhov‚mont;63;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1520119;;;508351;1520119;;;;Rue de Campine;254;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1520119;;;508351;1520119;;;;Rue de Campine;254;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;1550736;;;508402;1550736;;;;Rue Henri Vieuxtemps;5;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;1550736;;;508402;1550736;;;;Rue Henri Vieuxtemps;5;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;17842;;;508583;17842;;;;Rue de Campine;5;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;17842;;;508583;17842;;;;Rue de Campine;5;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;17844;;;508584;17844;;;;Rue de Campine;82;;;;;;MDU;1;14;0;15;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;17844;;;508584;17844;;;;Rue de Campine;82;;;;;;MDU;1;14;0;15;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;2272296;;;508652;2272296;;;;Rue Georges Rem;12;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;2272296;;;508652;2272296;;;;Rue Georges Rem;12;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;2272297;;;508653;2272297;;;;Rue Georges Rem;8;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;2272297;;;508653;2272297;;;;Rue Georges Rem;8;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;2272298;;;508654;2272298;;;;Rue Georges Rem;14;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;2272298;;;508654;2272298;;;;Rue Georges Rem;14;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;26195;;;508683;26195;;;;Rue de Campine;167;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;26195;;;508683;26195;;;;Rue de Campine;167;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;26197;;;508684;26197;;;;Rue Xhov‚mont;130;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;26197;;;508684;26197;;;;Rue Xhov‚mont;130;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
LIÔGE - FH26;NO BLOCKS;26207;;;508688;26207;;;;Montagne Sainte-Walburge;6;;;;;;MDU;1;52;0;53;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;26207;;;508688;26207;;;;Montagne Sainte-Walburge;6;;;;;;MDU;1;52;0;53;;;;;NA;;BUILDING template
LIÔGE - FH26;NO CLUSTERS;26213;;;508690;26213;;;;Rue Auguste Donnay;69;;;;;;SDU;0;1;0;1;;;;;NA;;BUILDING template
