Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;Wall Mount;Wall Mount IFH;Opdrachttemplate
;;;;;;;;;;Frankrijklei;46;;;;;;;;;;;;;;;;;
;;;;;;;;;;Frankrijklei;44;;;;;;;;;;;;;;;;;
;;;;;;;;;;Frankrijklei;40;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorpvest;45;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorpvest;42;;;;;;;;;;;;;;;;;
;;;;;;;;;;Pruynenstraat;17;;;;;;;;;;;;;;;;;
;;;;;;;;;;Pruynenstraat;19;;;;;;;;;;;;;;;;;
;;;;;;;;;;Borzestraat;29;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;59;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;69;;;;;;;;;;;;;;;;;
;;;;;;;;;;Leysstraat;30;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorpvest;33;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;154;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;151;;;;;;;;;;;;;;;;;
;;;;;;;;;;Molenbergstraat;10;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;124;;;;;;;;;;;;;;;;;
;;;;;;;;;;Jezusstraat;48;;;;;;;;;;;;;;;;;
;;;;;;;;;;Meir;127;;;;;;;;;;;;;;;;;
;;;;;;;;;;Prinsesstraat;43;;;;;;;;;;;;;;;;;
;;;;;;;;;;Sint-Jacobsmarkt;11;;;;;;;;;;;;;;;;;
;;;;;;;;;;Frankrijklei;64;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorpvest;38;;;;;;;;;;;;;;;;;
;;;;;;;;;;Teniersplaats;5;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;32;;;;;;;;;;;;;;;;;
;;;;;;;;;;Koningstraat;6;;;;;;;;;;;;;;;;;
;;;;;;;;;;Sint-Jacobsstraat;21;;;;;;;;;;;;;;;;;
;;;;;;;;;;Sint-Jacobsmarkt;104;;;;;;;;;;;;;;;;;
;;;;;;;;;;Sint-Jacobsmarkt;94;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;153;;;;;;;;;;;;;;;;;
;;;;;;;;;;Ambtmanstraat;7;;;;;;;;;;;;;;;;;
;;;;;;;;;;Sint-Katelijnevest;57;;;;;;;;;;;;;;;;;
;;;;;;;;;;Wapper;17;;;;;;;;;;;;;;;;;
;;;;;;;;;;Hopland;15;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kolveniersstraat;26;;;;;;;;;;;;;;;;;
;;;;;;;;;;Hopland;29;;;;;;;;;;;;;;;;;
;;;;;;;;;;Korte Klarenstraat;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;Gramayestraat;5;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorp;35;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorp;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;5;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;9;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;10;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;2;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;28;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;39;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;13;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;22;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;15;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;21;;;;;;;;;;;;;;;;;
;;;;;;;;;;Gratiekapelstraat;20;;;;;;;;;;;;;;;;;
;;;;;;;;;;Gratiekapelstraat;24;;;;;;;;;;;;;;;;;
;;;;;;;;;;Gratiekapelstraat;26;;;;;;;;;;;;;;;;;
;;;;;;;;;;Paternosterstraat;2;;;;;;;;;;;;;;;;;
;;;;;;;;;;Blindestraat;22;;;;;;;;;;;;;;;;;
;;;;;;;;;;Minderbroedersrui;49;;;;;;;;;;;;;;;;;
;;;;;;;;;;Minderbroedersrui;61;;;;;;;;;;;;;;;;;
;;;;;;;;;;Ambtmanstraat;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;Ambtmanstraat;5;;;;;;;;;;;;;;;;;
;;;;;;;;;;Ambtmanstraat;9;;;;;;;;;;;;;;;;;
;;;;;;;;;;Frans Halsplein;2;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Sint-Annastraat;40;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Sint-Annastraat;24;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Sint-Annastraat;2;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Sint-Annastraat;20;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Sint-Annastraat;31;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Sint-Annastraat;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Sint-Annastraat;36;;;;;;;;;;;;;;;;;
;;;;;;;;;;Korte Sint-Annastraat;12;;;;;;;;;;;;;;;;;
;;;;;;;;;;Korte Sint-Annastraat;10;;;;;;;;;;;;;;;;;
;;;;;;;;;;Korte Winkelstraat;2;;;;;;;;;;;;;;;;;
;;;;;;;;;;Korte Winkelstraat;28;;;;;;;;;;;;;;;;;
;;;;;;;;;;Sint-Jacobsmarkt;37;;;;;;;;;;;;;;;;;
;;;;;;;;;;Sint-Jacobsmarkt;49;;;;;;;;;;;;;;;;;
;;;;;;;;;;Sint-Jacobsmarkt;57;;;;;;;;;;;;;;;;;
;;;;;;;;;;Molenbergstraat;2;;;;;;;;;;;;;;;;;
;;;;;;;;;;Pieter van Hobokenstraat;2;;;;;;;;;;;;;;;;;
;;;;;;;;;;Pieter van Hobokenstraat;26;;;;;;;;;;;;;;;;;
;;;;;;;;;;Pieter van Hobokenstraat;28;;;;;;;;;;;;;;;;;
;;;;;;;;;;Pieter van Hobokenstraat;42;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kattenstraat;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kattenstraat;31;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kattenstraat;33;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kattenstraat;41;;;;;;;;;;;;;;;;;
;;;;;;;;;;Rozenstraat;2;;;;;;;;;;;;;;;;;
;;;;;;;;;;Rozenstraat;14;;;;;;;;;;;;;;;;;
;;;;;;;;;;Rozenstraat;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;Rozenstraat;19;;;;;;;;;;;;;;;;;
;;;;;;;;;;Paradijsstraat;14;;;;;;;;;;;;;;;;;
;;;;;;;;;;Paradijsstraat;17;;;;;;;;;;;;;;;;;
;;;;;;;;;;Prinsesstraat;17;;;;;;;;;;;;;;;;;
;;;;;;;;;;Ossenmarkt;24;;;;;;;;;;;;;;;;;
;;;;;;;;;;Ossenmarkt;21;;;;;;;;;;;;;;;;;
;;;;;;;;;;Ossenmarkt;20;;;;;;;;;;;;;;;;;
;;;;;;;;;;Ossenmarkt;17;;;;;;;;;;;;;;;;;
;;;;;;;;;;Ossenmarkt;27;;;;;;;;;;;;;;;;;
;;;;;;;;;;Ossenmarkt;29;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;44;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;62;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;60;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;86;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;46;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;48;;;;;;;;;;;;;;;;;
;;;;;;;;;;Sint-Jacobsmarkt;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;Sint-Jacobsmarkt;19;;;;;;;;;;;;;;;;;
;;;;;;;;;;Jan van Lierstraat;3;;;;;;;;;;;;;;;;;
;;;;;;;;;;Jan van Lierstraat;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;Prinsesstraat;19;;;;;;;;;;;;;;;;;
;;;;;;;;;;Prinsesstraat;38;;;;;;;;;;;;;;;;;
;;;;;;;;;;Frans Halsplein;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;Frans Halsplein;13;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorp;39;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorp;45;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorp;49;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorp;53;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorp;41;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorp;43;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kattenstraat;4;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kattenstraat;20;;;;;;;;;;;;;;;;;
;;;;;;;;;;Keizerstraat;53;;;;;;;;;;;;;;;;;
;;;;;;;;;;Prinsstraat;2;;;;;;;;;;;;;;;;;
;;;;;;;;;;Prinsstraat;18;;;;;;;;;;;;;;;;;
;;;;;;;;;;Koningstraat;2;;;;;;;;;;;;;;;;;
;;;;;;;;;;Koningstraat;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;Koningstraat;25;;;;;;;;;;;;;;;;;
;;;;;;;;;;Koningstraat;8;;;;;;;;;;;;;;;;;
;;;;;;;;;;Prinsesstraat;36;;;;;;;;;;;;;;;;;
;;;;;;;;;;Prinsesstraat;33;;;;;;;;;;;;;;;;;
;;;;;;;;;;Prinsesstraat;35;;;;;;;;;;;;;;;;;
;;;;;;;;;;Gratiekapelstraat;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;Gratiekapelstraat;7;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;29;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;39;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;43;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;53;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;31;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;33;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;35;;;;;;;;;;;;;;;;;
;;;;;;;;;;Lange Nieuwstraat;37;;;;;;;;;;;;;;;;;
;;;;;;;;;;Markgravestraat;1;;;;;;;;;;;;;;;;;
;;;;;;;;;;Kipdorp;44;;;;;;;;;;;;;;;;;
