File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;VC Method Source;Local Instructions;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;441320;'20200923114353;398319;'41630000;'30831;'t Plein;'20;';2800;Mechelen;;'157718,677;'190406,059;';Y;NA;4;12;Unknown;Unknown;D - Facade Box;;N;None;;;';IFH_BATCH;'23/09/2020 09:47:44;;Y;;;;'23/09/2020 09:16:31;2;1569638;5640933;LU;1;'101;'101;';'1;';Y;;HOUSE;WONING - MAISON;NA;;;';IFH_BATCH;'23/09/2020 10:55:48;;Y;;;;'23/09/2020 09:16:31
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;441320;'20200923114353;398319;'41630000;'30831;'t Plein;'20;';2800;Mechelen;;'157718,677;'190406,059;';Y;NA;4;12;Unknown;Unknown;D - Facade Box;;N;None;;;';IFH_BATCH;'23/09/2020 09:47:44;;Y;;;;'23/09/2020 09:16:31;3;1569639;5640934;LU;1;'201;'201;';'2;';Y;;HOUSE;WONING - MAISON;NA;;;';IFH_BATCH;'23/09/2020 10:55:50;;Y;;;;'23/09/2020 09:16:31
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;430482;'20200923114358;3035342;'41630000;'9904;Albert Geudensstraat;'1;';2800;Mechelen;;'157754,354;'190028,586;';Y;NA;3;10;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:02:58;;Y;;;;'23/09/2020 09:16:31;1;1557811;5641491;LU;1;'1;'1;';'0;';Y;;HOUSE;WONING - MAISON;NA;;;';IFH_BATCH;'17/02/2020 16:45:37;;Y;;;;'14/07/2020 07:57:48
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;430482;'20200923114358;3035342;'41630000;'9904;Albert Geudensstraat;'1;';2800;Mechelen;;'157754,354;'190028,586;';Y;NA;3;10;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:02:58;;Y;;;;'23/09/2020 09:16:31;10;11090250;5641492;LU;1;'2;'2;';'0;';;;;;;;;';IFH_BATCH;'17/02/2020 16:45:40;;Y;;;;'14/07/2020 07:57:48
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;430482;'20200923114358;3035342;'41630000;'9904;Albert Geudensstraat;'1;';2800;Mechelen;;'157754,354;'190028,586;';Y;NA;3;10;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:02:58;;Y;;;;'23/09/2020 09:16:31;2;11090242;5641493;LU;1;'3;'3;';'0;';;;;;;;;';IFH_BATCH;'17/02/2020 16:45:44;;Y;;;;'14/07/2020 07:57:48
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;430482;'20200923114358;3035342;'41630000;'9904;Albert Geudensstraat;'1;';2800;Mechelen;;'157754,354;'190028,586;';Y;NA;3;10;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:02:58;;Y;;;;'23/09/2020 09:16:31;3;11090243;5641494;LU;1;'4;'4;';'0;';;;;;;;;';IFH_BATCH;'17/02/2020 16:45:49;;Y;;;;'14/07/2020 07:57:48
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;430482;'20200923114358;3035342;'41630000;'9904;Albert Geudensstraat;'1;';2800;Mechelen;;'157754,354;'190028,586;';Y;NA;3;10;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:02:58;;Y;;;;'23/09/2020 09:16:31;4;11090244;5641495;LU;1;'101;'101;';'1;';;;;;;;;';IFH_BATCH;'17/02/2020 16:45:53;;Y;;;;'14/07/2020 07:57:48
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;430482;'20200923114358;3035342;'41630000;'9904;Albert Geudensstraat;'1;';2800;Mechelen;;'157754,354;'190028,586;';Y;NA;3;10;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:02:58;;Y;;;;'23/09/2020 09:16:31;5;11090245;5641496;LU;1;'102;'102;';'1;';;;;;;;;';IFH_BATCH;'17/02/2020 16:45:57;;Y;;;;'14/07/2020 07:57:48
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;430482;'20200923114358;3035342;'41630000;'9904;Albert Geudensstraat;'1;';2800;Mechelen;;'157754,354;'190028,586;';Y;NA;3;10;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:02:58;;Y;;;;'23/09/2020 09:16:31;6;11090246;5641497;LU;1;'103;'103;';'1;';;;;;;;;';IFH_BATCH;'17/02/2020 16:46:01;;Y;;;;'14/07/2020 07:57:48
EXPORT;;;Zoning;6833220;'20200304142057;W03-D-Mechelen-FH02;6833220;'20200304142057;W03-D-Mechelen-FH02;19107;FTTH-Cu;;';';;;;;;;430482;'20200923114358;3035342;'41630000;'9904;Albert Geudensstraat;'1;';2800;Mechelen;;'157754,354;'190028,586;';Y;NA;3;10;Unknown;Unknown;C - Precabled ONTP;;N;None;;;';IFH_BATCH;'23/09/2020 10:02:58;;Y;;;;'23/09/2020 09:16:31;7;11090247;5641498;LU;1;'201;'201;';'2;';;;;;;;;';IFH_BATCH;'17/02/2020 16:46:05;;Y;;;;'14/07/2020 07:57:48
