BUILDING KEY;BG_KEY;Straat;Huisnummer;Huisnummer_Toevoeging;Quadrant;TSA SIGNED;TSA SIGNED Planrrr;VCA Status;VCA Planrrr
3516648;Truweelstraat 18-20;;;;;2020-03-29;;;
3516651;Truweelstraat 18-20;;;;;2020-03-29;;;
3504491;Mercatorstraat 149-151;Mercatorstraat;151;;XA;2020-05-26;;;
63264;Mercatorstraat 149-151;Mercatorstraat;151;;XA;2020-05-26;;;
68435;Ankerstraat 95-97_Papenakkerstraat 1;;;;;;;NOK;
3484860;Ankerstraat 95-97_Papenakkerstraat 1;;;;;;;NOK;
68443;Ankerstraat 95-97_Papenakkerstraat 1;;;;;;;NOK;
3484804;Ankerstraat 21-23;;;;;2020-06-19;;;
68414;Ankerstraat 21-23;;;;;2020-06-19;;;
96728;Parklaan 13-13A-13B;;;;;2020-06-19;;;
5572099;Parklaan 13-13A-13B;;;;;2020-06-19;;;
5886425;Parklaan 13-13A-13B;;;;;2020-06-19;;;
4462457;Parklaan 25-27;;;;;;;NOK;
3509966;Parklaan 25-27;;;;;;;NOK;
72528;Parklaan 14-14A;;;;;;;NOK;
6169027;Parklaan 14-14A;;;;;;;NOK;
;800644;;;;;2020-02-13;;;
;7092949;;;;;2020-03-29;;;
;10473040;;;;;2020-03-29;;;
